Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,12.474357426166534,0.2508695125579834,0.0147,0.0216,0.037,0.0147,0.0202,0.023,0.0264,0.0066,0.006,0.066,0.116
HAGN,2,12.458539068698883,0.25090765953063965,0.0105,0.016,0.0288,0.0105,0.0151,0.015,0.0179,0.0048,0.0046,0.047,0.089
HAGN,3,12.416887998580933,0.24950695037841797,0.0067,0.0094,0.0167,0.0067,0.0093,0.0107,0.0124,0.0032,0.003,0.032,0.0575
HAGN,4,12.327156960964203,0.2529013156890869,0.0054,0.0081,0.0155,0.0054,0.0081,0.0082,0.0099,0.0026,0.0027,0.0265,0.053
HAGN,5,12.19793975353241,0.2522299289703369,0.0059,0.0091,0.0155,0.0059,0.0083,0.0087,0.0104,0.0028,0.0027,0.028,0.0535
HAGN,6,12.055515050888062,0.25054216384887695,0.0065,0.0104,0.0166,0.0065,0.0089,0.0094,0.0112,0.003,0.0028,0.03,0.055
HAGN,7,11.889256060123444,0.25006890296936035,0.0066,0.01,0.0208,0.0066,0.0106,0.0102,0.0128,0.0031,0.0034,0.0315,0.0675
HAGN,8,11.704221367835999,0.24922657012939453,0.0086,0.0132,0.0242,0.0086,0.0126,0.0129,0.0155,0.0041,0.0041,0.0415,0.0815
HAGN,9,11.463968932628632,0.24923110008239746,0.0101,0.016,0.0262,0.0101,0.0137,0.0142,0.0166,0.0049,0.0042,0.049,0.0835
HAGN,10,11.21286529302597,0.2494373321533203,0.0115,0.0181,0.0303,0.0115,0.0159,0.0163,0.0191,0.0055,0.005,0.0545,0.0965
HAGN,11,10.914765775203705,0.2497873306274414,0.0127,0.0188,0.0341,0.0127,0.018,0.0185,0.0217,0.0058,0.0054,0.0585,0.1055
HAGN,12,10.619611084461212,0.2503070831298828,0.014,0.0214,0.0385,0.014,0.02,0.0199,0.0233,0.0066,0.0062,0.066,0.118
