Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.243479073047638,0.2456369400024414,0.0018,0.0025,0.0058,0.0018,0.0032,0.003,0.0042,0.0012,0.0014,0.012,0.028
DiffNet,2,15.208816409111023,0.24340391159057617,0.0018,0.0027,0.0053,0.0018,0.0027,0.0027,0.0034,0.0014,0.0012,0.013,0.023
DiffNet,3,15.171020328998566,0.24237418174743652,0.0021,0.0029,0.0069,0.0021,0.0036,0.004,0.005,0.0015,0.0016,0.0145,0.0305
DiffNet,4,15.121912002563477,0.24693799018859863,0.0023,0.0028,0.007,0.0023,0.0039,0.0048,0.0061,0.0015,0.0017,0.014,0.0325
DiffNet,5,15.053065180778503,0.24369311332702637,0.0028,0.0036,0.0071,0.0028,0.0041,0.0057,0.0066,0.0018,0.0017,0.018,0.032
DiffNet,6,14.959554433822632,0.2395186424255371,0.0029,0.0035,0.0076,0.0029,0.0044,0.0061,0.0071,0.0019,0.0018,0.0185,0.0345
DiffNet,7,14.83476436138153,0.23948454856872559,0.0029,0.0034,0.0072,0.0029,0.0043,0.006,0.0071,0.0018,0.0017,0.017,0.033
DiffNet,8,14.676616370677948,0.2395482063293457,0.0033,0.0044,0.0067,0.0033,0.0042,0.0063,0.0071,0.0021,0.0017,0.021,0.033
DiffNet,9,14.479609549045563,0.24083709716796875,0.0032,0.0043,0.0075,0.0032,0.0045,0.0061,0.0071,0.0021,0.0018,0.02,0.035
DiffNet,10,14.246924102306366,0.3277111053466797,0.0031,0.0041,0.0071,0.0031,0.0043,0.0059,0.0068,0.002,0.0017,0.0195,0.033
DiffNet,11,13.973200559616089,0.23264169692993164,0.0031,0.0039,0.0072,0.0031,0.0044,0.0058,0.0068,0.0018,0.0017,0.018,0.0325
DiffNet,12,13.664679169654846,0.23162412643432617,0.0032,0.0043,0.0067,0.0032,0.0043,0.0061,0.007,0.0019,0.0017,0.019,0.032
DiffNet,13,13.319504857063293,0.23227500915527344,0.003,0.004,0.0067,0.003,0.0042,0.0058,0.0068,0.0018,0.0017,0.018,0.0325
DiffNet,14,12.950008630752563,0.2323319911956787,0.0028,0.0039,0.0066,0.0028,0.004,0.0052,0.0063,0.0017,0.0017,0.017,0.0335
DiffNet,15,12.570765018463135,0.23106718063354492,0.0026,0.0032,0.0069,0.0026,0.0042,0.0053,0.0067,0.0015,0.0017,0.0145,0.034
DiffNet,16,12.160935819149017,0.23941540718078613,0.0025,0.0033,0.0079,0.0025,0.0043,0.0047,0.0062,0.0015,0.0018,0.0145,0.036
DiffNet,17,11.740957736968994,0.23283052444458008,0.0026,0.0031,0.0073,0.0026,0.0043,0.0051,0.0065,0.0015,0.0018,0.015,0.036
DiffNet,18,11.3293576836586,0.23152494430541992,0.0027,0.0034,0.0079,0.0027,0.0044,0.0052,0.0066,0.0017,0.0018,0.0165,0.0365
DiffNet,19,10.8999502658844,0.23203492164611816,0.0025,0.0032,0.008,0.0025,0.0044,0.0049,0.0065,0.0015,0.0018,0.0145,0.0365
