Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,6.2320351004600525,0.14428997039794922,0.2098,0.2937,0.3615,0.2098,0.2293,0.2061,0.2124,0.039,0.0251,0.376,0.468
CSGCN,2,6.207080245018005,0.13909316062927246,0.2509,0.3548,0.4363,0.2509,0.2743,0.2464,0.2537,0.0478,0.0307,0.4565,0.5625
CSGCN,3,6.160073637962341,0.1460556983947754,0.2711,0.3884,0.4707,0.2711,0.2951,0.2654,0.2731,0.0521,0.0331,0.493,0.6005
CSGCN,4,6.08080130815506,0.14532732963562012,0.2834,0.4044,0.4832,0.2834,0.3065,0.2786,0.2855,0.0545,0.0341,0.514,0.613
CSGCN,5,5.963002145290375,0.14298200607299805,0.2864,0.4014,0.4913,0.2864,0.3124,0.2847,0.2925,0.0543,0.0347,0.5125,0.624
CSGCN,6,5.805104374885559,0.14899635314941406,0.2879,0.4077,0.499,0.2879,0.3144,0.285,0.2928,0.0553,0.0355,0.5185,0.6315
CSGCN,7,5.598828852176666,0.1471996307373047,0.2893,0.41,0.4997,0.2893,0.3153,0.2848,0.2927,0.0562,0.0357,0.5215,0.6335
CSGCN,8,5.352846622467041,0.1475212574005127,0.289,0.4101,0.4952,0.289,0.3137,0.2845,0.2919,0.0566,0.0354,0.524,0.629
CSGCN,9,5.0719263553619385,0.1420276165008545,0.2888,0.4122,0.4974,0.2888,0.3136,0.2845,0.2919,0.0568,0.0357,0.5275,0.633
CSGCN,10,4.753427505493164,0.14718103408813477,0.2912,0.4143,0.4972,0.2912,0.3154,0.2875,0.2945,0.0571,0.0358,0.5325,0.632
CSGCN,11,4.431505888700485,0.14108514785766602,0.2906,0.4123,0.497,0.2906,0.3151,0.2875,0.2946,0.0571,0.0358,0.53,0.6335
CSGCN,12,4.08529457449913,0.14214849472045898,0.2889,0.4075,0.4989,0.2889,0.3154,0.2871,0.2949,0.0564,0.0359,0.524,0.6355
CSGCN,13,3.7460561990737915,0.14116287231445312,0.2892,0.4119,0.5034,0.2892,0.3154,0.2858,0.2933,0.0571,0.0361,0.5295,0.639
