Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,289239.9599609375,0.15781855583190918,0.4083,0.5544,0.6448,0.4083,0.4351,0.404,0.4113,0.0763,0.0465,0.683,0.7895
SimGCL,2,268711.9953613281,0.15238308906555176,0.4867,0.6448,0.7295,0.4867,0.5128,0.4861,0.4919,0.0916,0.054,0.7945,0.872
SimGCL,3,257573.1162109375,0.1520392894744873,0.5306,0.693,0.7674,0.5306,0.5537,0.5311,0.5357,0.1002,0.0577,0.841,0.9055
SimGCL,4,250829.21533203125,0.15476107597351074,0.556,0.7202,0.7955,0.556,0.5795,0.5575,0.5617,0.1055,0.0605,0.866,0.9245
SimGCL,5,247508.0400390625,0.15922021865844727,0.5728,0.7376,0.8182,0.5728,0.5979,0.5735,0.5776,0.1088,0.0627,0.8815,0.939
SimGCL,6,244078.49243164062,0.15284466743469238,0.587,0.7574,0.8275,0.587,0.6094,0.5856,0.589,0.1123,0.0638,0.8965,0.9435
SimGCL,7,241240.98974609375,0.152632474899292,0.5987,0.7713,0.8359,0.5987,0.6196,0.5964,0.5996,0.115,0.0648,0.9055,0.948
SimGCL,8,240736.68530273438,0.15376019477844238,0.6075,0.7798,0.8442,0.6075,0.6283,0.6047,0.6077,0.1166,0.0657,0.913,0.953
SimGCL,9,237824.16162109375,0.1525282859802246,0.615,0.7874,0.8503,0.615,0.6354,0.6118,0.6146,0.1183,0.0663,0.9175,0.9565
SimGCL,10,235396.62744140625,0.15401124954223633,0.6215,0.7946,0.8557,0.6215,0.6414,0.6177,0.6203,0.1197,0.067,0.923,0.959
SimGCL,11,234197.98852539062,0.17330169677734375,0.6277,0.7989,0.86,0.6277,0.6477,0.625,0.6277,0.1205,0.0674,0.9255,0.9615
SimGCL,12,233778.25,0.26214098930358887,0.6325,0.8048,0.8645,0.6325,0.6522,0.6293,0.6316,0.1217,0.068,0.931,0.9625
SimGCL,13,232660.46923828125,0.15262556076049805,0.6374,0.8096,0.8676,0.6374,0.6563,0.6343,0.6365,0.1229,0.0682,0.9345,0.9645
SimGCL,14,231486.69262695312,0.15243148803710938,0.6411,0.8152,0.8712,0.6411,0.6593,0.6372,0.6392,0.1241,0.0685,0.938,0.966
SimGCL,15,230461.28051757812,0.1526806354522705,0.6449,0.8185,0.8735,0.6449,0.6629,0.6408,0.6431,0.1249,0.0689,0.937,0.9675
SimGCL,16,229353.80297851562,0.1527111530303955,0.6488,0.8222,0.8774,0.6488,0.6668,0.6448,0.6468,0.1256,0.0693,0.941,0.968
SimGCL,17,230692.62719726562,0.15236568450927734,0.652,0.8259,0.8796,0.652,0.6696,0.6478,0.6496,0.1262,0.0695,0.944,0.969
SimGCL,18,228309.44970703125,0.1517477035522461,0.6548,0.8291,0.8818,0.6548,0.6721,0.6505,0.6523,0.1269,0.0697,0.9455,0.9705
SimGCL,19,228571.47216796875,0.151763916015625,0.6563,0.8303,0.8836,0.6563,0.6737,0.6517,0.6536,0.1272,0.0699,0.9465,0.9715
SimGCL,20,227941.77880859375,0.1523265838623047,0.6586,0.8325,0.8859,0.6586,0.6761,0.6539,0.6556,0.1276,0.0702,0.948,0.9715
