Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.939938008785248,0.24797987937927246,0.0089,0.0112,0.0192,0.0089,0.012,0.0169,0.0191,0.0049,0.0042,0.0495,0.0825
LightGCN,2,15.934343457221985,0.24633359909057617,0.0112,0.0152,0.0253,0.0112,0.015,0.0203,0.0231,0.0059,0.0053,0.058,0.1
LightGCN,3,15.927032887935638,0.2436838150024414,0.0126,0.0162,0.0302,0.0126,0.0179,0.0239,0.0276,0.0066,0.0062,0.064,0.1175
LightGCN,4,15.916422605514526,0.2438971996307373,0.0149,0.0185,0.0347,0.0149,0.0211,0.0277,0.0319,0.0076,0.0073,0.0735,0.1355
LightGCN,5,15.900914192199707,0.24431943893432617,0.017,0.0221,0.0399,0.017,0.0237,0.0308,0.0352,0.0093,0.0082,0.0885,0.1535
LightGCN,6,15.879072189331055,0.24565863609313965,0.0192,0.024,0.043,0.0192,0.0263,0.0355,0.0405,0.0103,0.0092,0.096,0.1705
LightGCN,7,15.849375128746033,0.24512553215026855,0.0202,0.0249,0.0432,0.0202,0.027,0.0373,0.042,0.0108,0.0092,0.1015,0.1715
LightGCN,8,15.811556696891785,0.24475932121276855,0.0204,0.0262,0.0448,0.0204,0.0275,0.0375,0.0423,0.0114,0.0096,0.108,0.177
LightGCN,9,15.763422548770905,0.24392437934875488,0.022,0.0297,0.0465,0.022,0.0285,0.0386,0.0432,0.0123,0.0099,0.116,0.182
LightGCN,10,15.70548552274704,0.24367260932922363,0.0223,0.0303,0.0464,0.0223,0.0287,0.0394,0.0441,0.0124,0.01,0.1175,0.1845
LightGCN,11,15.635630011558533,0.24687790870666504,0.023,0.031,0.0482,0.023,0.0299,0.0406,0.0455,0.0126,0.0104,0.1205,0.192
LightGCN,12,15.55648398399353,0.24884796142578125,0.023,0.0304,0.0489,0.023,0.0303,0.0414,0.0466,0.0126,0.0105,0.1195,0.1945
LightGCN,13,15.465249300003052,0.2491743564605713,0.0234,0.0302,0.0481,0.0234,0.0304,0.0428,0.0477,0.0125,0.0104,0.12,0.192
LightGCN,14,15.364411175251007,0.24845576286315918,0.0235,0.0303,0.0498,0.0235,0.031,0.0427,0.0479,0.0127,0.0106,0.1195,0.1955
LightGCN,15,15.251105964183807,0.24697375297546387,0.0234,0.0298,0.0508,0.0234,0.0314,0.0424,0.048,0.0123,0.0107,0.1175,0.199
LightGCN,16,15.130871593952179,0.2465965747833252,0.024,0.03,0.0501,0.024,0.0317,0.0437,0.0492,0.0125,0.0106,0.1175,0.1965
LightGCN,17,14.999411702156067,0.24939966201782227,0.0239,0.0298,0.0513,0.0239,0.0321,0.0438,0.0493,0.0124,0.0107,0.1175,0.197
LightGCN,18,14.85793423652649,0.24715328216552734,0.0242,0.0308,0.051,0.0242,0.0319,0.0436,0.0488,0.0126,0.0106,0.1195,0.1955
LightGCN,19,14.706532061100006,0.346118688583374,0.0246,0.0311,0.051,0.0246,0.0321,0.0446,0.0497,0.0129,0.0106,0.1215,0.197
LightGCN,20,14.553155601024628,0.2479407787322998,0.0245,0.0308,0.0522,0.0245,0.0325,0.0448,0.0502,0.0129,0.0109,0.1215,0.2015
LightGCN,21,14.386191546916962,0.24845457077026367,0.0242,0.0309,0.052,0.0242,0.0321,0.0435,0.049,0.0128,0.0108,0.12,0.202
LightGCN,22,14.21787416934967,0.24941682815551758,0.0237,0.0297,0.0501,0.0237,0.0315,0.0435,0.049,0.0125,0.0106,0.1175,0.1975
LightGCN,23,14.040062069892883,0.24729156494140625,0.0238,0.0298,0.0506,0.0238,0.0319,0.0442,0.05,0.0121,0.0106,0.1135,0.197
LightGCN,24,13.864985525608063,0.2492368221282959,0.0239,0.0301,0.0488,0.0239,0.0312,0.0441,0.0496,0.0123,0.0104,0.116,0.193
LightGCN,25,13.677833437919617,0.24730658531188965,0.0234,0.0293,0.0491,0.0234,0.0312,0.0437,0.0493,0.0121,0.0106,0.114,0.196
LightGCN,26,13.492209196090698,0.24795818328857422,0.0234,0.0292,0.0487,0.0234,0.031,0.0434,0.0489,0.012,0.0104,0.113,0.193
LightGCN,27,13.29935759305954,0.24784207344055176,0.0238,0.0297,0.0487,0.0238,0.0312,0.0443,0.0496,0.0123,0.0104,0.1155,0.193
LightGCN,28,13.104711353778839,0.24736714363098145,0.0242,0.0307,0.0489,0.0242,0.0313,0.0448,0.05,0.0126,0.0105,0.1185,0.1955
LightGCN,29,12.912570357322693,0.24831819534301758,0.024,0.0304,0.0494,0.024,0.0315,0.044,0.0495,0.0124,0.0107,0.117,0.199
LightGCN,30,12.705307304859161,0.2468726634979248,0.0236,0.0304,0.0482,0.0236,0.0308,0.0429,0.0483,0.0124,0.0106,0.1165,0.196
