Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,9.206393271684647,0.6051139831542969,0.1885,0.2129,0.2758,0.1885,0.2128,0.303,0.312,0.0733,0.0504,0.559,0.691
MHCN,2,6.868229895830154,0.6025776863098145,0.2064,0.2326,0.2995,0.2064,0.2326,0.3381,0.3471,0.0818,0.0558,0.6055,0.734
MHCN,3,6.347880095243454,0.6088788509368896,0.2141,0.2403,0.31,0.2141,0.2413,0.3516,0.3601,0.0865,0.0591,0.6335,0.7575
MHCN,4,6.0987295508384705,0.6141746044158936,0.2141,0.2413,0.3118,0.2141,0.2413,0.3493,0.3579,0.0871,0.0593,0.6335,0.76
MHCN,5,5.848085030913353,0.6021814346313477,0.2171,0.2438,0.3171,0.2171,0.2454,0.3521,0.3603,0.0893,0.0607,0.6495,0.7665
MHCN,6,5.714965716004372,0.6021289825439453,0.2161,0.2396,0.3154,0.2161,0.2454,0.3567,0.3652,0.088,0.0609,0.6465,0.772
MHCN,7,5.548891514539719,0.6012253761291504,0.2197,0.2433,0.3182,0.2197,0.2488,0.3638,0.3723,0.0897,0.0616,0.647,0.771
MHCN,8,5.398288145661354,0.6597919464111328,0.2194,0.2407,0.3185,0.2194,0.2497,0.368,0.3764,0.0887,0.0617,0.647,0.7665
MHCN,9,5.336205273866653,0.7072992324829102,0.2213,0.2439,0.3161,0.2213,0.2494,0.3677,0.376,0.0908,0.0616,0.655,0.7735
MHCN,10,5.229433357715607,0.7252800464630127,0.2216,0.2459,0.3183,0.2216,0.2499,0.366,0.3751,0.0917,0.0625,0.6545,0.785
MHCN,11,5.1274819523096085,0.7105181217193604,0.2222,0.2459,0.3182,0.2222,0.2504,0.3682,0.3759,0.0919,0.0625,0.6645,0.776
MHCN,12,5.044940650463104,0.6781589984893799,0.2246,0.2483,0.3217,0.2246,0.2532,0.3724,0.381,0.0934,0.0635,0.6655,0.785
MHCN,13,5.054172977805138,0.6508033275604248,0.2204,0.2457,0.3186,0.2204,0.2487,0.3622,0.371,0.0925,0.0627,0.657,0.783
MHCN,14,4.95140577852726,0.642333984375,0.2232,0.2476,0.3233,0.2232,0.2531,0.3711,0.3798,0.0931,0.0644,0.667,0.7935
MHCN,15,4.842915505170822,0.6365170478820801,0.2202,0.2465,0.3186,0.2202,0.2482,0.3625,0.3706,0.0935,0.0632,0.664,0.7785
MHCN,16,4.7082839012146,0.653764009475708,0.224,0.2489,0.3213,0.224,0.2524,0.3703,0.3786,0.0946,0.0642,0.6725,0.791
MHCN,17,4.613706573843956,0.6432170867919922,0.2265,0.2567,0.3227,0.2265,0.2523,0.369,0.3761,0.0977,0.0645,0.682,0.785
MHCN,18,4.596907794475555,0.64162278175354,0.2218,0.2467,0.3212,0.2218,0.2509,0.3666,0.3744,0.0942,0.0643,0.6755,0.787
MHCN,19,4.5324816852808,0.6340644359588623,0.2199,0.2452,0.3189,0.2199,0.2489,0.3652,0.3735,0.0936,0.0641,0.672,0.7905
MHCN,20,4.528263866901398,0.6471953392028809,0.2215,0.2472,0.3198,0.2215,0.2501,0.3666,0.3744,0.0947,0.0644,0.676,0.786
MHCN,21,4.370882645249367,0.6416728496551514,0.2234,0.2515,0.3203,0.2234,0.2503,0.366,0.3738,0.097,0.0647,0.678,0.7925
MHCN,22,4.313535928726196,0.6471662521362305,0.2221,0.2469,0.3235,0.2221,0.2523,0.3696,0.3784,0.0955,0.0656,0.6725,0.7945
MHCN,23,4.278625726699829,0.7444591522216797,0.222,0.2484,0.3207,0.222,0.2505,0.3663,0.3742,0.0957,0.0651,0.677,0.788
MHCN,24,4.271103695034981,0.6511766910552979,0.2218,0.2483,0.3197,0.2218,0.2502,0.3676,0.376,0.095,0.0648,0.679,0.7975
MHCN,25,4.337460041046143,0.622821569442749,0.223,0.2505,0.3215,0.223,0.251,0.368,0.3763,0.0972,0.0655,0.6765,0.7935
MHCN,26,4.545245558023453,0.5896697044372559,0.2207,0.2457,0.3202,0.2207,0.2501,0.3692,0.3778,0.0947,0.0649,0.669,0.79
MHCN,27,4.359954133629799,0.5983383655548096,0.2222,0.2459,0.3201,0.2222,0.2515,0.372,0.3807,0.0948,0.0649,0.672,0.7925
MHCN,28,4.106621280312538,0.5889086723327637,0.2228,0.2487,0.3222,0.2228,0.2519,0.3734,0.3811,0.0966,0.0659,0.6845,0.7925
