Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,30.49190592765808,0.5854167938232422,0.0048,0.0043,0.0075,0.0048,0.006,0.0133,0.0155,0.0039,0.0036,0.0395,0.071
HAGN,2,30.39070290327072,0.5875096321105957,0.0027,0.0021,0.0045,0.0027,0.0037,0.0077,0.0093,0.0021,0.0024,0.02,0.0455
HAGN,3,30.115307211875916,0.5858328342437744,0.0021,0.0017,0.0045,0.0021,0.0032,0.0051,0.0069,0.0021,0.0025,0.021,0.049
HAGN,4,29.759945809841156,0.5863134860992432,0.0026,0.0022,0.0045,0.0026,0.0034,0.0063,0.0081,0.0026,0.0026,0.0255,0.051
HAGN,5,29.287257194519043,0.586439847946167,0.0028,0.0024,0.0061,0.0028,0.0045,0.0073,0.0101,0.0028,0.0035,0.028,0.068
HAGN,6,28.654069364070892,0.5874381065368652,0.0044,0.0041,0.0088,0.0044,0.0064,0.0108,0.0138,0.0041,0.0044,0.04,0.084
HAGN,7,27.844426810741425,0.5910484790802002,0.0054,0.005,0.01,0.0054,0.0074,0.014,0.0173,0.0045,0.0047,0.045,0.091
HAGN,8,26.888277411460876,0.5888252258300781,0.0067,0.0063,0.0114,0.0067,0.0087,0.0174,0.0207,0.0056,0.0054,0.0555,0.104
HAGN,9,25.827921152114868,0.5878665447235107,0.0083,0.0073,0.0126,0.0083,0.0102,0.0218,0.0249,0.007,0.0062,0.069,0.117
HAGN,10,24.716151118278503,0.5859684944152832,0.0087,0.0075,0.0145,0.0087,0.0116,0.0235,0.0278,0.007,0.0069,0.068,0.13
HAGN,11,23.602188169956207,0.5879800319671631,0.0093,0.0082,0.0159,0.0093,0.0125,0.0252,0.03,0.0072,0.0075,0.071,0.141
HAGN,12,22.50710219144821,0.5877749919891357,0.0098,0.0088,0.0162,0.0098,0.013,0.0266,0.0314,0.0077,0.0077,0.076,0.144
HAGN,13,21.49283865094185,0.5859813690185547,0.0107,0.0098,0.0168,0.0107,0.0134,0.0284,0.0324,0.0086,0.0077,0.0845,0.1435
HAGN,14,20.540655493736267,0.587073564529419,0.0107,0.0093,0.0172,0.0107,0.0138,0.0291,0.0335,0.0084,0.0079,0.082,0.1455
HAGN,15,19.61700314283371,0.5869324207305908,0.0111,0.0094,0.0168,0.0111,0.0139,0.0308,0.0352,0.0086,0.0078,0.0825,0.1445
HAGN,16,18.75403642654419,0.5882167816162109,0.0113,0.0098,0.0172,0.0113,0.014,0.031,0.0351,0.009,0.0078,0.0865,0.144
HAGN,17,17.972080051898956,0.5889873504638672,0.0114,0.0099,0.0172,0.0114,0.0142,0.0315,0.0356,0.009,0.0079,0.0865,0.1455
HAGN,18,17.29606384038925,0.5883312225341797,0.0119,0.0101,0.0177,0.0119,0.0147,0.0326,0.0366,0.0094,0.0081,0.0895,0.147
HAGN,19,16.701084673404694,0.5878660678863525,0.0121,0.0107,0.0176,0.0121,0.0147,0.0332,0.0372,0.0093,0.008,0.0905,0.148
HAGN,20,16.07351091504097,0.5874302387237549,0.0118,0.0104,0.0173,0.0118,0.0145,0.0321,0.0362,0.0091,0.0081,0.088,0.148
HAGN,21,15.493357807397842,0.576737642288208,0.012,0.0107,0.017,0.012,0.0144,0.0324,0.0363,0.0093,0.008,0.09,0.147
HAGN,22,15.050896376371384,0.5655560493469238,0.0119,0.0104,0.0169,0.0119,0.0144,0.0324,0.0363,0.009,0.0078,0.088,0.146
HAGN,23,14.565811663866043,0.5659847259521484,0.012,0.0102,0.0172,0.012,0.0147,0.0334,0.0373,0.009,0.008,0.0865,0.146
HAGN,24,14.140001863241196,0.5686612129211426,0.0124,0.0109,0.017,0.0124,0.0146,0.0337,0.0373,0.0094,0.0079,0.091,0.1455
HAGN,25,13.718977332115173,0.5715813636779785,0.012,0.0109,0.0168,0.012,0.0142,0.0322,0.0358,0.0093,0.0078,0.0905,0.145
HAGN,26,13.408293545246124,0.6128523349761963,0.0119,0.0104,0.0175,0.0119,0.0146,0.0328,0.0369,0.0091,0.0081,0.088,0.1495
HAGN,27,12.99904316663742,0.6081461906433105,0.012,0.0103,0.0175,0.012,0.0146,0.0334,0.0373,0.0092,0.0079,0.089,0.1465
HAGN,28,12.673974096775055,0.5888352394104004,0.0116,0.0098,0.0174,0.0116,0.0145,0.033,0.0373,0.0085,0.0078,0.0835,0.145
HAGN,29,12.40756106376648,0.5873606204986572,0.0112,0.0094,0.0177,0.0112,0.0144,0.032,0.0366,0.0083,0.0079,0.081,0.147
HAGN,30,12.143324196338654,0.5872318744659424,0.0106,0.0092,0.0177,0.0106,0.014,0.0297,0.0343,0.0082,0.0079,0.0805,0.1475
HAGN,31,11.89731028676033,0.585608959197998,0.0105,0.0087,0.0174,0.0105,0.0138,0.03,0.0346,0.0079,0.0077,0.078,0.146
HAGN,32,11.66635611653328,0.5876684188842773,0.0106,0.0091,0.0173,0.0106,0.0138,0.03,0.0343,0.0083,0.0079,0.0815,0.1475
HAGN,33,11.422243759036064,0.5873546600341797,0.011,0.0096,0.0173,0.011,0.0138,0.0305,0.0346,0.0086,0.0078,0.0835,0.1465
HAGN,34,11.250354304909706,0.5881936550140381,0.0106,0.0094,0.017,0.0106,0.0137,0.0294,0.0339,0.0082,0.0078,0.08,0.1465
HAGN,35,11.018140599131584,0.5883994102478027,0.0103,0.0091,0.0168,0.0103,0.0135,0.0287,0.0334,0.0079,0.0077,0.077,0.1455
