Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,38.81636381149292,0.553734302520752,0.0013,0.0017,0.0036,0.0013,0.0021,0.0028,0.0035,0.0008,0.0009,0.0084,0.0184
BPR,2,38.81599509716034,0.5475966930389404,0.0017,0.0026,0.0046,0.0017,0.0025,0.0025,0.0033,0.0012,0.0012,0.0118,0.0226
BPR,3,38.816240429878235,0.5572810173034668,0.0024,0.003,0.0059,0.0024,0.0035,0.0047,0.0056,0.0015,0.0014,0.0148,0.0282
BPR,4,38.81624221801758,0.5417690277099609,0.0016,0.002,0.0044,0.0016,0.0025,0.0031,0.0039,0.0011,0.0011,0.0112,0.022
BPR,5,38.81624221801758,0.675701379776001,0.0016,0.002,0.0038,0.0016,0.0023,0.0033,0.0039,0.001,0.001,0.0102,0.0192
BPR,6,38.81624221801758,0.5436689853668213,0.0016,0.0021,0.0041,0.0016,0.0024,0.003,0.0037,0.001,0.001,0.0102,0.0202
BPR,7,38.81624221801758,0.5483613014221191,0.0019,0.0025,0.0049,0.0019,0.0029,0.0036,0.0044,0.0012,0.0012,0.012,0.0242
BPR,8,38.81624221801758,0.5457887649536133,0.0016,0.0022,0.0045,0.0016,0.0025,0.003,0.0037,0.0011,0.0011,0.0108,0.0218
BPR,9,38.81624221801758,0.5431563854217529,0.0012,0.0018,0.0039,0.0012,0.002,0.0021,0.0028,0.0008,0.0009,0.0082,0.0184
BPR,10,38.81624221801758,0.5428299903869629,0.0018,0.0022,0.0048,0.0018,0.0028,0.0037,0.0046,0.0012,0.0013,0.012,0.0248
BPR,11,38.81624221801758,0.5420317649841309,0.0013,0.0018,0.0047,0.0013,0.0024,0.0023,0.0032,0.0009,0.0011,0.0092,0.0224
BPR,12,38.81624221801758,0.6623995304107666,0.0016,0.002,0.0043,0.0016,0.0025,0.0032,0.004,0.0011,0.0011,0.011,0.023
BPR,13,38.81624221801758,0.5483312606811523,0.0012,0.0018,0.0037,0.0012,0.002,0.002,0.0027,0.0009,0.0009,0.0086,0.0184
BPR,14,38.81624221801758,0.5442779064178467,0.0015,0.0019,0.0039,0.0015,0.0023,0.003,0.0036,0.001,0.0009,0.0096,0.0184
