Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,4.154454469680786,0.0754251480102539,0.1543,0.1796,0.2435,0.1543,0.1794,0.2574,0.268,0.0656,0.0472,0.498,0.648
HAGN,2,4.141266345977783,0.07554173469543457,0.1271,0.1486,0.2091,0.1271,0.1504,0.2153,0.2254,0.0556,0.0409,0.456,0.606
HAGN,3,4.1179662346839905,0.07407784461975098,0.0964,0.1131,0.1616,0.0964,0.1147,0.164,0.173,0.0412,0.0307,0.358,0.49
HAGN,4,4.079981803894043,0.07338237762451172,0.065,0.0793,0.1239,0.065,0.0819,0.108,0.1173,0.0286,0.0233,0.254,0.39
HAGN,5,4.022694528102875,0.07320284843444824,0.0481,0.0582,0.0882,0.0481,0.0591,0.085,0.0923,0.0214,0.0165,0.192,0.298
HAGN,6,3.9418457746505737,0.07302427291870117,0.0376,0.0415,0.0696,0.0376,0.0478,0.0734,0.0792,0.016,0.0133,0.152,0.238
HAGN,7,3.837207078933716,0.07343411445617676,0.0287,0.0346,0.0502,0.0287,0.0342,0.0534,0.0564,0.0144,0.0102,0.14,0.186
HAGN,8,3.705211043357849,0.08127498626708984,0.0235,0.0277,0.0457,0.0235,0.0302,0.0456,0.0497,0.012,0.0097,0.118,0.18
HAGN,9,3.5510160326957703,0.07482528686523438,0.0212,0.0248,0.0374,0.0212,0.0261,0.0411,0.0446,0.0104,0.0083,0.102,0.158
HAGN,10,3.4017924070358276,0.07375001907348633,0.02,0.0231,0.036,0.02,0.0248,0.0385,0.0418,0.01,0.0079,0.098,0.15
HAGN,11,3.241661787033081,0.08009934425354004,0.0198,0.0225,0.0333,0.0198,0.0243,0.0392,0.0427,0.0096,0.0077,0.094,0.148
HAGN,12,3.0764852166175842,0.07361650466918945,0.0195,0.0211,0.0379,0.0195,0.0257,0.0402,0.0446,0.009,0.0081,0.088,0.156
