Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,4.847956657409668,0.13016343116760254,0.2883,0.417,0.4926,0.2883,0.309,0.2652,0.2714,0.0486,0.0294,0.4697,0.5588
ASLGCN,2,4.83320689201355,0.13017773628234863,0.3506,0.4901,0.5748,0.3506,0.3737,0.3288,0.3354,0.0584,0.0349,0.5578,0.6525
ASLGCN,3,4.804708898067474,0.13762283325195312,0.3727,0.5264,0.606,0.3727,0.3944,0.3489,0.355,0.0631,0.0372,0.5974,0.687
ASLGCN,4,4.756768345832825,0.13480496406555176,0.3806,0.5337,0.6249,0.3806,0.4054,0.3576,0.3646,0.0644,0.0385,0.6054,0.7071
ASLGCN,5,4.684508740901947,0.13304471969604492,0.3828,0.5416,0.6352,0.3828,0.4084,0.358,0.3648,0.0656,0.0392,0.6144,0.7116
ASLGCN,6,4.583962500095367,0.13510942459106445,0.3858,0.5538,0.6346,0.3858,0.4081,0.3581,0.364,0.0667,0.0393,0.6254,0.7121
ASLGCN,7,4.4534952044487,0.1283879280090332,0.3837,0.5536,0.6399,0.3837,0.4074,0.3546,0.3607,0.0669,0.0396,0.6259,0.7146
ASLGCN,8,4.29096657037735,0.12938618659973145,0.3819,0.5508,0.6415,0.3819,0.4067,0.3527,0.3591,0.0664,0.0396,0.6234,0.7161
ASLGCN,9,4.0945159792900085,0.13028526306152344,0.381,0.5478,0.6394,0.381,0.4062,0.353,0.3596,0.066,0.0395,0.6194,0.7141
ASLGCN,10,3.8719091415405273,0.13008570671081543,0.3775,0.5458,0.6357,0.3775,0.4022,0.3483,0.3548,0.0659,0.0393,0.6174,0.7111
ASLGCN,11,3.6284795999526978,0.12975072860717773,0.378,0.5458,0.6331,0.378,0.402,0.349,0.3555,0.0658,0.0391,0.6154,0.7076
ASLGCN,12,3.3635803759098053,0.1310591697692871,0.3766,0.5429,0.6309,0.3766,0.4008,0.3485,0.355,0.0655,0.039,0.6129,0.7046
ASLGCN,13,3.0964252054691315,0.13198351860046387,0.3755,0.542,0.6278,0.3755,0.3993,0.3475,0.3539,0.0652,0.0388,0.6119,0.7021
ASLGCN,14,2.826218217611313,0.13387155532836914,0.3742,0.5417,0.6316,0.3742,0.399,0.3457,0.3522,0.0652,0.039,0.6119,0.7046
ASLGCN,15,2.5576602816581726,0.13396382331848145,0.3758,0.5444,0.633,0.3758,0.4,0.3465,0.3528,0.0657,0.0391,0.6144,0.7066
ASLGCN,16,2.3040044605731964,0.13498926162719727,0.3765,0.5456,0.634,0.3765,0.4007,0.3467,0.353,0.0658,0.0392,0.6154,0.7081
ASLGCN,17,2.0763662457466125,0.13321280479431152,0.378,0.5452,0.6361,0.378,0.4029,0.349,0.3556,0.0657,0.0394,0.6134,0.7081
