Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,31.185843884944916,0.6502666473388672,0.0047,0.0039,0.0073,0.0047,0.006,0.0131,0.0152,0.0038,0.0035,0.0375,0.068
HAGN,2,31.088733851909637,0.6498796939849854,0.0035,0.0027,0.0046,0.0035,0.0041,0.0096,0.011,0.0029,0.0026,0.0285,0.05
HAGN,3,30.895302891731262,0.6513442993164062,0.0024,0.0022,0.0046,0.0024,0.0034,0.0064,0.0079,0.0024,0.0025,0.0245,0.0485
HAGN,4,30.709616899490356,0.6652383804321289,0.0031,0.0028,0.0055,0.0031,0.0043,0.0088,0.0107,0.0027,0.0028,0.0265,0.0555
HAGN,5,30.45376694202423,0.646855354309082,0.0038,0.0034,0.0064,0.0038,0.0049,0.0103,0.0122,0.0034,0.0032,0.034,0.0625
HAGN,6,30.08793306350708,0.64737868309021,0.0047,0.0038,0.0071,0.0047,0.0059,0.013,0.0152,0.004,0.0036,0.039,0.0715
HAGN,7,29.59873390197754,0.6767747402191162,0.0051,0.0044,0.0078,0.0051,0.0064,0.0137,0.016,0.0042,0.004,0.042,0.0755
HAGN,8,29.003146827220917,0.6717550754547119,0.0062,0.0055,0.0106,0.0062,0.0082,0.016,0.0193,0.0054,0.0052,0.0535,0.1005
HAGN,9,28.289317786693573,0.6450169086456299,0.0075,0.0069,0.013,0.0075,0.0098,0.0189,0.0224,0.0068,0.0062,0.0665,0.119
HAGN,10,27.49681943655014,0.6429493427276611,0.0085,0.0075,0.0136,0.0085,0.0107,0.0223,0.0257,0.0071,0.0064,0.0695,0.1205
HAGN,11,26.62993186712265,0.7828004360198975,0.0091,0.0081,0.0141,0.0091,0.0115,0.0247,0.0285,0.0073,0.0067,0.0705,0.126
HAGN,12,25.678374886512756,0.6687304973602295,0.0092,0.008,0.0154,0.0092,0.0121,0.0241,0.0284,0.0074,0.0072,0.071,0.1335
HAGN,13,24.727822363376617,0.6467986106872559,0.01,0.0086,0.0162,0.01,0.0132,0.0265,0.0313,0.0078,0.0079,0.0725,0.142
HAGN,14,23.74850243330002,0.6243338584899902,0.0101,0.0087,0.0168,0.0101,0.0134,0.0265,0.0312,0.0081,0.0081,0.0745,0.145
HAGN,15,22.829462349414825,0.6807858943939209,0.0107,0.0095,0.0176,0.0107,0.014,0.0277,0.0324,0.0086,0.0086,0.082,0.1535
HAGN,16,21.87698656320572,0.6277601718902588,0.0113,0.0106,0.0182,0.0113,0.0144,0.0281,0.0329,0.0094,0.0089,0.0885,0.1595
HAGN,17,20.969272792339325,0.6112303733825684,0.0119,0.0106,0.0185,0.0119,0.015,0.0307,0.0355,0.0096,0.009,0.0905,0.1595
HAGN,18,20.13798475265503,0.6106562614440918,0.0125,0.0111,0.0186,0.0125,0.0153,0.0319,0.0364,0.0101,0.009,0.095,0.16
HAGN,19,19.279617220163345,0.6256930828094482,0.0127,0.0112,0.0194,0.0127,0.0158,0.0328,0.0375,0.0103,0.0095,0.097,0.167
HAGN,20,18.46436381340027,0.6312739849090576,0.0131,0.0116,0.0197,0.0131,0.0161,0.0336,0.0384,0.0107,0.0097,0.1005,0.1725
HAGN,21,17.752409160137177,0.6269669532775879,0.0132,0.0113,0.0197,0.0132,0.0163,0.034,0.0392,0.0106,0.0098,0.0975,0.174
HAGN,22,17.049541801214218,0.6269180774688721,0.0134,0.0115,0.0193,0.0134,0.0162,0.0344,0.0393,0.0108,0.0096,0.0995,0.1725
HAGN,23,16.459710270166397,0.6267797946929932,0.014,0.0118,0.0192,0.014,0.0165,0.0367,0.0414,0.011,0.0096,0.101,0.1705
HAGN,24,15.839680165052414,0.6282508373260498,0.0141,0.012,0.0188,0.0141,0.0163,0.0368,0.041,0.0114,0.0095,0.105,0.1665
HAGN,25,15.276876509189606,0.6215360164642334,0.0144,0.012,0.0192,0.0144,0.0167,0.038,0.0423,0.0114,0.0097,0.1055,0.17
HAGN,26,14.781865686178207,0.6340906620025635,0.0145,0.0121,0.0191,0.0145,0.0168,0.0384,0.0427,0.0114,0.0096,0.1055,0.169
HAGN,27,14.261596858501434,0.6141326427459717,0.0145,0.0118,0.0191,0.0145,0.0169,0.0386,0.043,0.0112,0.0096,0.1045,0.1695
HAGN,28,13.788463175296783,0.6081058979034424,0.015,0.0122,0.0188,0.015,0.017,0.0396,0.0436,0.0116,0.0095,0.1075,0.1655
HAGN,29,13.42463144659996,0.6395056247711182,0.0152,0.0123,0.02,0.0152,0.0177,0.0399,0.0445,0.0118,0.0099,0.108,0.176
HAGN,30,13.010008126497269,0.6327953338623047,0.0153,0.0122,0.0203,0.0153,0.0178,0.0405,0.045,0.0118,0.01,0.1095,0.1785
HAGN,31,12.64364954829216,0.612492561340332,0.0154,0.0124,0.021,0.0154,0.0183,0.0406,0.0454,0.0118,0.0103,0.11,0.182
HAGN,32,12.292394310235977,0.6094455718994141,0.0152,0.0122,0.0206,0.0152,0.018,0.0401,0.0447,0.0117,0.0101,0.1095,0.1775
HAGN,33,11.995163530111313,0.6052892208099365,0.015,0.0124,0.0211,0.015,0.0181,0.0394,0.0443,0.0116,0.0102,0.1085,0.181
HAGN,34,11.62036781013012,0.6122393608093262,0.0152,0.0124,0.0209,0.0152,0.018,0.0398,0.0445,0.0117,0.0102,0.11,0.1815
HAGN,35,11.330651566386223,0.6139411926269531,0.015,0.0124,0.0208,0.015,0.0179,0.0393,0.0442,0.0118,0.0101,0.1105,0.1815
HAGN,36,11.099289044737816,0.6079673767089844,0.0152,0.0124,0.021,0.0152,0.0181,0.0402,0.045,0.0117,0.01,0.11,0.181
HAGN,37,10.837836995720863,0.605729341506958,0.0147,0.0125,0.0211,0.0147,0.0177,0.0381,0.043,0.0117,0.0101,0.111,0.1825
