Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,4.159040808677673,0.056058645248413086,0.0012,0.0009,0.0028,0.0012,0.002,0.0029,0.0037,0.0006,0.0009,0.006,0.018
BPR,2,4.148871183395386,0.05214190483093262,0.0012,0.001,0.0022,0.0012,0.0018,0.0028,0.0034,0.0006,0.0008,0.006,0.016
BPR,3,4.142168700695038,0.05200839042663574,0.0014,0.0013,0.0023,0.0014,0.0018,0.0033,0.0036,0.0008,0.0007,0.008,0.014
BPR,4,4.135964393615723,0.05197548866271973,0.0016,0.0014,0.0028,0.0016,0.0022,0.0045,0.0051,0.0008,0.0008,0.008,0.016
BPR,5,4.1304585337638855,0.052065372467041016,0.0017,0.0021,0.0032,0.0017,0.0022,0.004,0.0045,0.001,0.0009,0.01,0.018
BPR,6,4.1257858872413635,0.05213594436645508,0.0014,0.0021,0.0034,0.0014,0.0021,0.0032,0.0037,0.001,0.0009,0.01,0.018
BPR,7,4.121572911739349,0.057579994201660156,0.0012,0.0016,0.0037,0.0012,0.0021,0.0028,0.0036,0.0008,0.001,0.008,0.02
BPR,8,4.117016911506653,0.051386117935180664,0.0007,0.0006,0.0043,0.0007,0.0023,0.0023,0.0036,0.0004,0.0012,0.004,0.024
BPR,9,4.113027513027191,0.05246472358703613,0.0006,0.0008,0.0053,0.0006,0.0021,0.0015,0.0023,0.0006,0.001,0.006,0.02
BPR,10,4.108552873134613,0.05253148078918457,0.0006,0.0008,0.0044,0.0006,0.0018,0.0015,0.0022,0.0006,0.0009,0.006,0.018
BPR,11,4.103685557842255,0.051972150802612305,0.0004,0.0006,0.004,0.0004,0.0016,0.0009,0.0017,0.0004,0.0008,0.004,0.016
BPR,12,4.099452435970306,0.05170917510986328,0.0002,0.0002,0.0043,0.0002,0.0017,0.0007,0.0018,0.0002,0.0009,0.002,0.018
BPR,13,4.094132840633392,0.05169534683227539,0.0006,0.0008,0.004,0.0006,0.0016,0.0011,0.0017,0.0006,0.0008,0.006,0.016
BPR,14,4.088599741458893,0.051435232162475586,0.0004,0.0004,0.0037,0.0004,0.0015,0.0011,0.0018,0.0004,0.0007,0.004,0.014
BPR,15,4.082444727420807,0.05119895935058594,0.0004,0.0004,0.0042,0.0004,0.0016,0.0009,0.0016,0.0004,0.0008,0.004,0.016
BPR,16,4.075905382633209,0.05136823654174805,0.0004,0.0004,0.0018,0.0004,0.001,0.001,0.0015,0.0004,0.0006,0.004,0.012
