Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,12.474296569824219,0.24972033500671387,0.0131,0.0205,0.0372,0.0131,0.0193,0.0183,0.022,0.0065,0.0063,0.064,0.1185
HAGN,2,12.45763909816742,0.24976396560668945,0.0087,0.0128,0.024,0.0087,0.0128,0.0131,0.0157,0.0041,0.0041,0.0405,0.0805
HAGN,3,12.413034200668335,0.24888920783996582,0.0062,0.0078,0.0166,0.0062,0.0096,0.0102,0.0124,0.003,0.0032,0.03,0.0615
HAGN,4,12.321114599704742,0.25760436058044434,0.0063,0.0088,0.0158,0.0063,0.0089,0.0094,0.0111,0.0032,0.003,0.032,0.0595
HAGN,5,12.188322961330414,0.2638988494873047,0.0063,0.0092,0.0155,0.0063,0.0087,0.0095,0.0111,0.0033,0.0029,0.0335,0.057
HAGN,6,12.038840234279633,0.26068973541259766,0.0065,0.0094,0.0159,0.0065,0.0089,0.01,0.0116,0.0035,0.003,0.035,0.0585
HAGN,7,11.871148586273193,0.2612600326538086,0.0073,0.0103,0.0198,0.0073,0.0106,0.0112,0.0133,0.004,0.0035,0.039,0.069
HAGN,8,11.68554675579071,0.2535276412963867,0.0089,0.0127,0.0229,0.0089,0.0126,0.0132,0.0156,0.0047,0.0042,0.046,0.0825
HAGN,9,11.466388821601868,0.2572343349456787,0.011,0.0154,0.0286,0.011,0.0157,0.0164,0.0194,0.0054,0.005,0.0525,0.0945
HAGN,10,11.198129653930664,0.2531285285949707,0.0127,0.0183,0.0327,0.0127,0.0178,0.0191,0.0223,0.0062,0.0057,0.0595,0.108
HAGN,11,10.91161733865738,0.25197625160217285,0.0147,0.0213,0.039,0.0147,0.0209,0.0222,0.0258,0.0069,0.0065,0.066,0.1215
HAGN,12,10.590042293071747,0.2462618350982666,0.0164,0.0239,0.0421,0.0164,0.023,0.0242,0.0284,0.0075,0.0071,0.071,0.132
HAGN,13,10.252776622772217,0.24854469299316406,0.0181,0.0257,0.0433,0.0181,0.0245,0.0276,0.0314,0.0082,0.0073,0.0805,0.1365
HAGN,14,9.917496025562286,0.2462012767791748,0.0199,0.0282,0.0449,0.0199,0.0258,0.0303,0.0338,0.009,0.0074,0.0875,0.14
HAGN,15,9.580770373344421,0.24801111221313477,0.0214,0.0291,0.0471,0.0214,0.0278,0.033,0.0371,0.0091,0.0079,0.0895,0.1495
HAGN,16,9.228429615497589,0.24583792686462402,0.022,0.0299,0.0494,0.022,0.0289,0.0343,0.0384,0.0096,0.0082,0.094,0.1555
HAGN,17,8.872775137424469,0.24814414978027344,0.0222,0.0295,0.0498,0.0222,0.0294,0.0347,0.0391,0.0098,0.0084,0.095,0.159
HAGN,18,8.571572870016098,0.24596953392028809,0.0229,0.0308,0.0508,0.0229,0.0298,0.0358,0.0401,0.0104,0.0085,0.1005,0.163
HAGN,19,8.2614686191082,0.24730372428894043,0.023,0.0318,0.0521,0.023,0.03,0.0359,0.0402,0.0108,0.0087,0.104,0.1675
HAGN,20,7.971636086702347,0.3456385135650635,0.024,0.034,0.0527,0.024,0.0306,0.037,0.0412,0.0113,0.0089,0.1085,0.171
HAGN,21,7.6872071623802185,0.2513723373413086,0.0242,0.0336,0.0544,0.0242,0.0315,0.0377,0.0423,0.0113,0.0092,0.109,0.177
HAGN,22,7.377958506345749,0.24536752700805664,0.024,0.0339,0.0546,0.024,0.0314,0.0368,0.0414,0.0112,0.0092,0.1085,0.1765
HAGN,23,7.126799046993256,0.24592065811157227,0.0246,0.0353,0.0568,0.0246,0.0321,0.0375,0.042,0.0116,0.0095,0.113,0.18
HAGN,24,6.90828749537468,0.2456986904144287,0.0245,0.035,0.0558,0.0245,0.032,0.0372,0.0419,0.0114,0.0094,0.1105,0.1785
HAGN,25,6.694418519735336,0.24703097343444824,0.025,0.0355,0.0562,0.025,0.0323,0.038,0.0425,0.0117,0.0095,0.1135,0.179
HAGN,26,6.45666691660881,0.24636101722717285,0.025,0.0355,0.0562,0.025,0.0324,0.0382,0.0426,0.0117,0.0095,0.1135,0.1775
HAGN,27,6.242343217134476,0.24762797355651855,0.0251,0.0347,0.0581,0.0251,0.0334,0.0392,0.0441,0.0115,0.0099,0.1115,0.1845
HAGN,28,6.0809250473976135,0.24586033821105957,0.0252,0.0348,0.0573,0.0252,0.0334,0.0395,0.0445,0.0115,0.0098,0.1115,0.1845
HAGN,29,5.8599629402160645,0.24814915657043457,0.0258,0.0367,0.0584,0.0258,0.0336,0.0395,0.0442,0.012,0.0099,0.1155,0.1845
HAGN,30,5.718636900186539,0.24611687660217285,0.0261,0.0375,0.0597,0.0261,0.034,0.0396,0.0443,0.0122,0.01,0.1175,0.1865
HAGN,31,5.554242700338364,0.24769973754882812,0.0262,0.037,0.06,0.0262,0.0343,0.0403,0.045,0.0122,0.0101,0.1175,0.1875
HAGN,32,5.431974947452545,0.2462139129638672,0.0263,0.0372,0.0604,0.0263,0.0345,0.0403,0.0451,0.0122,0.0101,0.1165,0.1865
HAGN,33,5.281116724014282,0.24738454818725586,0.0264,0.0368,0.0609,0.0264,0.0348,0.0404,0.0453,0.0121,0.0101,0.1155,0.188
HAGN,34,5.090863734483719,0.24563145637512207,0.0267,0.0373,0.0608,0.0267,0.035,0.0408,0.0456,0.0122,0.0101,0.1165,0.188
HAGN,35,4.991474539041519,0.2478015422821045,0.0264,0.0368,0.0616,0.0264,0.035,0.0405,0.0454,0.0121,0.0101,0.1165,0.189
HAGN,36,4.864092409610748,0.2481062412261963,0.0263,0.0367,0.0616,0.0263,0.0348,0.0405,0.0452,0.0122,0.01,0.117,0.187
HAGN,37,4.734373033046722,0.24887728691101074,0.0263,0.0362,0.0608,0.0263,0.0348,0.041,0.0458,0.0119,0.01,0.1145,0.1855
HAGN,38,4.656706869602203,0.25858426094055176,0.026,0.0359,0.0604,0.026,0.0346,0.0404,0.0452,0.0118,0.0099,0.113,0.185
HAGN,39,4.51048456132412,0.2542452812194824,0.0264,0.0358,0.0601,0.0264,0.0348,0.0414,0.0461,0.0118,0.0099,0.113,0.1825
HAGN,40,4.458284363150597,0.2528347969055176,0.0263,0.0359,0.0594,0.0263,0.0345,0.0412,0.0458,0.0118,0.0098,0.113,0.1815
HAGN,41,4.350149512290955,0.26320934295654297,0.0263,0.036,0.0602,0.0263,0.0347,0.0412,0.0458,0.0117,0.0098,0.1125,0.181
HAGN,42,4.24509197473526,0.27343058586120605,0.0267,0.0362,0.0598,0.0267,0.0348,0.0418,0.0462,0.0118,0.0097,0.114,0.1805
