Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,4.842894017696381,0.10346865653991699,0.0078,0.0154,0.0264,0.0078,0.0106,0.006,0.0068,0.0018,0.0016,0.018,0.0315
DiffNet,2,4.765524446964264,0.10306715965270996,0.01,0.0201,0.0308,0.01,0.0129,0.0073,0.0082,0.0022,0.0018,0.022,0.035
DiffNet,3,4.64890718460083,0.10347771644592285,0.012,0.0239,0.0365,0.012,0.0152,0.0089,0.0098,0.0026,0.002,0.026,0.0405
DiffNet,4,4.465231895446777,0.10352039337158203,0.0105,0.0203,0.0349,0.0105,0.0143,0.0081,0.0093,0.0023,0.002,0.023,0.04
DiffNet,5,4.1998103857040405,0.1039893627166748,0.0099,0.0184,0.0326,0.0099,0.0136,0.008,0.0091,0.0022,0.002,0.022,0.0385
DiffNet,6,3.849657714366913,0.10291194915771484,0.0089,0.0182,0.0357,0.0089,0.0135,0.0066,0.008,0.0022,0.0021,0.0215,0.042
DiffNet,7,3.4311488270759583,0.10393667221069336,0.0092,0.0197,0.0332,0.0092,0.0129,0.0065,0.0077,0.0023,0.002,0.023,0.039
DiffNet,8,2.96640083193779,0.10249447822570801,0.0092,0.0186,0.0327,0.0092,0.013,0.007,0.0083,0.0022,0.0019,0.022,0.0385
DiffNet,9,2.504614144563675,0.10488080978393555,0.0089,0.0168,0.0341,0.0089,0.0133,0.0069,0.0082,0.0021,0.002,0.0205,0.0395
DiffNet,10,2.0643762350082397,0.10640835762023926,0.0087,0.0157,0.0346,0.0087,0.0136,0.0071,0.0085,0.0019,0.002,0.019,0.04
DiffNet,11,1.683548241853714,0.10560464859008789,0.0092,0.0169,0.0336,0.0092,0.0135,0.0073,0.0087,0.002,0.002,0.02,0.039
DiffNet,12,1.3626732975244522,0.10295534133911133,0.0086,0.0149,0.0335,0.0086,0.0135,0.0072,0.0087,0.0018,0.002,0.018,0.039
DiffNet,13,1.1101369261741638,0.10337090492248535,0.0092,0.0169,0.0336,0.0092,0.0136,0.0076,0.0089,0.002,0.002,0.02,0.039
DiffNet,14,0.9049133807420731,0.1045527458190918,0.0097,0.0179,0.0349,0.0097,0.0141,0.0079,0.0092,0.0021,0.002,0.021,0.04
