Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,15.93742835521698,0.31142640113830566,0.019,0.0253,0.0427,0.019,0.0256,0.0306,0.035,0.0091,0.0082,0.0875,0.154
ASLGCN,2,15.900415599346161,0.3089175224304199,0.0128,0.0166,0.0305,0.0128,0.0179,0.0233,0.0266,0.0067,0.006,0.0655,0.114
ASLGCN,3,15.795633614063263,0.31136131286621094,0.0086,0.0113,0.0209,0.0086,0.0122,0.0157,0.0183,0.0044,0.0041,0.0445,0.0815
ASLGCN,4,15.573419272899628,0.31362414360046387,0.0062,0.0083,0.0147,0.0062,0.0084,0.0111,0.0125,0.0034,0.0028,0.034,0.0555
ASLGCN,5,15.221447765827179,0.30886292457580566,0.0043,0.0063,0.0139,0.0043,0.0071,0.0075,0.0095,0.0025,0.0027,0.0255,0.055
ASLGCN,6,14.76986813545227,0.30963134765625,0.0044,0.0068,0.0139,0.0044,0.007,0.0073,0.0091,0.0026,0.0026,0.026,0.0525
ASLGCN,7,14.25333422422409,0.30940723419189453,0.0057,0.0084,0.018,0.0057,0.0093,0.0091,0.0115,0.0032,0.0034,0.032,0.067
ASLGCN,8,13.64883041381836,0.3143794536590576,0.0088,0.0134,0.0244,0.0088,0.0128,0.014,0.0165,0.0051,0.0046,0.051,0.0885
ASLGCN,9,12.961286664009094,0.32433056831359863,0.0129,0.0186,0.0305,0.0129,0.0172,0.0221,0.0247,0.007,0.0058,0.069,0.108
ASLGCN,10,12.145011305809021,0.3206596374511719,0.0156,0.0222,0.0364,0.0156,0.0211,0.0265,0.0303,0.0081,0.0073,0.076,0.134
ASLGCN,11,11.26179125905037,0.32305431365966797,0.0186,0.0249,0.0422,0.0186,0.0252,0.0329,0.0374,0.0096,0.0084,0.091,0.1555
ASLGCN,12,10.321251600980759,0.3258779048919678,0.0224,0.0299,0.0478,0.0224,0.0291,0.0394,0.0438,0.0114,0.0095,0.107,0.174
ASLGCN,13,9.404705882072449,0.31742334365844727,0.0264,0.0343,0.0536,0.0264,0.0337,0.0475,0.0523,0.013,0.0106,0.122,0.194
ASLGCN,14,8.51920947432518,0.31675243377685547,0.0296,0.0376,0.056,0.0296,0.0366,0.0534,0.058,0.0143,0.0112,0.134,0.203
ASLGCN,15,7.614111453294754,0.31786656379699707,0.0312,0.0387,0.0601,0.0312,0.0393,0.0565,0.0616,0.015,0.0121,0.14,0.2175
ASLGCN,16,6.86448472738266,0.31783175468444824,0.0329,0.0416,0.0651,0.0329,0.0416,0.0596,0.065,0.0159,0.0129,0.1495,0.231
ASLGCN,17,6.141926109790802,0.3219306468963623,0.0345,0.0441,0.0685,0.0345,0.0437,0.0618,0.0676,0.0168,0.0135,0.1585,0.2425
ASLGCN,18,5.524725824594498,0.3141367435455322,0.0362,0.046,0.0709,0.0362,0.0456,0.0647,0.0707,0.0176,0.0141,0.1655,0.2525
ASLGCN,19,4.97990009188652,0.3086581230163574,0.0375,0.0477,0.0727,0.0375,0.0469,0.0673,0.0732,0.0182,0.0144,0.171,0.2585
ASLGCN,20,4.504247486591339,0.30808520317077637,0.0381,0.0486,0.0734,0.0381,0.0474,0.0681,0.074,0.0186,0.0146,0.174,0.2615
ASLGCN,21,4.140755072236061,0.3093748092651367,0.0392,0.0506,0.0753,0.0392,0.0485,0.0698,0.0758,0.019,0.0149,0.1785,0.2665
ASLGCN,22,3.7617835998535156,0.3071014881134033,0.0395,0.0506,0.0772,0.0395,0.0494,0.0713,0.0777,0.0191,0.0152,0.179,0.2735
ASLGCN,23,3.4501321762800217,0.306760311126709,0.04,0.0512,0.0787,0.04,0.0502,0.0718,0.0781,0.0192,0.0154,0.181,0.274
ASLGCN,24,3.201524093747139,0.30983901023864746,0.0405,0.0516,0.0778,0.0405,0.0504,0.073,0.0792,0.0194,0.0154,0.1815,0.272
ASLGCN,25,2.966459669172764,0.30850791931152344,0.0407,0.0521,0.0778,0.0407,0.0503,0.0732,0.0792,0.0195,0.0152,0.1825,0.27
ASLGCN,26,2.7488845884799957,0.31261277198791504,0.0406,0.0516,0.0783,0.0406,0.0507,0.0726,0.0788,0.0194,0.0155,0.182,0.274
ASLGCN,27,2.566484145820141,0.3117177486419678,0.0398,0.05,0.0804,0.0398,0.0512,0.0714,0.0781,0.0189,0.0157,0.179,0.277
ASLGCN,28,2.4247029051184654,0.3127329349517822,0.0401,0.0505,0.079,0.0401,0.0507,0.0721,0.0782,0.0191,0.0154,0.1805,0.2705
ASLGCN,29,2.3035148605704308,0.31415438652038574,0.0397,0.0496,0.0795,0.0397,0.0506,0.0715,0.0779,0.0189,0.0154,0.1775,0.27
ASLGCN,30,2.1286114752292633,0.3126864433288574,0.0393,0.0494,0.0809,0.0393,0.0508,0.071,0.0775,0.0188,0.0156,0.176,0.2725
ASLGCN,31,2.0470476150512695,0.3115713596343994,0.0393,0.05,0.0804,0.0393,0.0505,0.0703,0.0768,0.0189,0.0156,0.176,0.2735
ASLGCN,32,1.9185929968953133,0.31606149673461914,0.0394,0.0514,0.0789,0.0394,0.0495,0.0693,0.0751,0.0193,0.0153,0.18,0.266
ASLGCN,33,1.8224408477544785,0.3124382495880127,0.0392,0.0513,0.0788,0.0392,0.0493,0.0684,0.0741,0.0193,0.0153,0.181,0.266
ASLGCN,34,1.7081937342882156,0.3140127658843994,0.0393,0.0509,0.0771,0.0393,0.0489,0.069,0.0744,0.0192,0.0149,0.1785,0.2595
ASLGCN,35,1.6639313995838165,0.31809258460998535,0.039,0.0505,0.0762,0.039,0.0485,0.069,0.0745,0.019,0.0148,0.177,0.2595
ASLGCN,36,1.6008430421352386,0.3088710308074951,0.0392,0.0502,0.0779,0.0392,0.0493,0.069,0.0749,0.0188,0.0151,0.176,0.264
