Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.93732875585556,0.2517256736755371,0.0123,0.0156,0.0252,0.0123,0.0159,0.0218,0.0244,0.0061,0.005,0.0595,0.097
LightGCN,2,15.892341375350952,0.24992942810058594,0.0045,0.0055,0.0086,0.0045,0.0057,0.0088,0.01,0.0027,0.0023,0.0265,0.0435
LightGCN,3,15.738334894180298,0.2488563060760498,0.0035,0.004,0.0078,0.0035,0.0049,0.0074,0.0086,0.0022,0.002,0.021,0.0385
LightGCN,4,15.445762038230896,0.24758338928222656,0.0034,0.0037,0.0077,0.0034,0.005,0.0074,0.0087,0.002,0.002,0.0195,0.039
LightGCN,5,15.168660581111908,0.24907565116882324,0.0035,0.0047,0.0082,0.0035,0.005,0.0065,0.0079,0.0023,0.0021,0.022,0.042
LightGCN,6,14.931486785411835,0.2497866153717041,0.0042,0.0054,0.0082,0.0042,0.0053,0.0072,0.0083,0.0023,0.002,0.023,0.039
LightGCN,7,14.703947365283966,0.2496638298034668,0.0042,0.0051,0.0099,0.0042,0.0061,0.0083,0.0098,0.0023,0.0023,0.023,0.0445
LightGCN,8,14.401587426662445,0.2512025833129883,0.0053,0.0067,0.0123,0.0053,0.0074,0.0106,0.0121,0.0029,0.0027,0.0295,0.0525
LightGCN,9,14.09240597486496,0.24944424629211426,0.0065,0.0083,0.0157,0.0065,0.0094,0.0121,0.0142,0.0034,0.0034,0.0345,0.0675
LightGCN,10,13.724033951759338,0.2518899440765381,0.0075,0.009,0.0202,0.0075,0.0117,0.0146,0.0175,0.0039,0.0043,0.0395,0.0835
LightGCN,11,13.320884644985199,0.250363826751709,0.0094,0.0118,0.0244,0.0094,0.0142,0.0179,0.0213,0.0048,0.0051,0.0485,0.0975
LightGCN,12,12.89212942123413,0.24837875366210938,0.0114,0.0146,0.0282,0.0114,0.0165,0.0208,0.0243,0.0061,0.0059,0.06,0.113
