Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,7.77044090628624,0.6119945049285889,0.2091,0.2392,0.3064,0.2091,0.2351,0.3357,0.3444,0.0824,0.0555,0.614,0.7405
MHCN,2,6.576044380664825,0.6134767532348633,0.219,0.2444,0.3172,0.219,0.2472,0.3602,0.3689,0.0855,0.0584,0.6345,0.7595
MHCN,3,6.17285019159317,0.6110029220581055,0.2251,0.2556,0.3265,0.2251,0.2523,0.3646,0.3728,0.0905,0.0604,0.6595,0.777
MHCN,4,5.931280970573425,0.6082377433776855,0.2241,0.2522,0.3262,0.2241,0.2525,0.3656,0.3738,0.0899,0.0608,0.652,0.7725
MHCN,5,5.815167099237442,0.619422197341919,0.2307,0.2613,0.3285,0.2307,0.2569,0.3718,0.3799,0.094,0.0621,0.6625,0.779
MHCN,6,5.556081622838974,0.5995166301727295,0.2284,0.2589,0.3319,0.2284,0.2567,0.3688,0.3772,0.0936,0.0631,0.6685,0.7895
MHCN,7,5.4744678139686584,0.6049981117248535,0.2278,0.2575,0.3335,0.2278,0.2572,0.3694,0.3777,0.0936,0.0633,0.671,0.7915
MHCN,8,5.31087489426136,0.6094725131988525,0.2284,0.2569,0.3324,0.2284,0.2578,0.3698,0.3784,0.0932,0.0632,0.661,0.7825
MHCN,9,5.236059188842773,0.6124703884124756,0.2297,0.2613,0.3304,0.2297,0.2567,0.3723,0.3802,0.0952,0.0632,0.677,0.7915
MHCN,10,5.230691283941269,0.6091899871826172,0.2285,0.2574,0.3327,0.2285,0.2577,0.3725,0.3816,0.0938,0.0633,0.6605,0.7885
MHCN,11,5.130976438522339,0.6070821285247803,0.2305,0.2594,0.3329,0.2305,0.2592,0.377,0.3855,0.0949,0.0639,0.668,0.7895
MHCN,12,4.962691530585289,0.6114723682403564,0.232,0.2631,0.3387,0.232,0.2615,0.3762,0.3848,0.0971,0.0656,0.683,0.808
MHCN,13,4.846489056944847,0.7065393924713135,0.2306,0.2618,0.3365,0.2306,0.2599,0.3735,0.3822,0.0964,0.065,0.678,0.8015
MHCN,14,4.816069707274437,0.6215379238128662,0.2327,0.2613,0.34,0.2327,0.2629,0.3824,0.3902,0.0976,0.0657,0.689,0.8
MHCN,15,4.698619320988655,0.616175651550293,0.2303,0.2598,0.3377,0.2303,0.2609,0.3767,0.3861,0.0958,0.0654,0.6725,0.8045
MHCN,16,4.642283275723457,0.6140537261962891,0.2312,0.2616,0.3432,0.2312,0.2626,0.3766,0.3861,0.0977,0.0664,0.679,0.814
MHCN,17,4.586810946464539,0.6153178215026855,0.2304,0.2589,0.3403,0.2304,0.2617,0.3788,0.3875,0.0965,0.0658,0.684,0.808
MHCN,18,4.6465528309345245,0.6072173118591309,0.2291,0.2586,0.3395,0.2291,0.2601,0.3743,0.3828,0.0967,0.0657,0.6815,0.8035
MHCN,19,4.530921205878258,0.6098990440368652,0.2214,0.252,0.3311,0.2214,0.2518,0.3585,0.3673,0.0941,0.064,0.6665,0.7935
MHCN,20,4.51572784781456,0.6139698028564453,0.2288,0.2585,0.3387,0.2288,0.2597,0.3737,0.3825,0.0975,0.0661,0.6835,0.8065
MHCN,21,4.398041680455208,0.6075401306152344,0.2255,0.2537,0.3332,0.2255,0.2559,0.3697,0.3789,0.0955,0.0646,0.6715,0.802
MHCN,22,4.424619048833847,0.6093370914459229,0.2286,0.2579,0.3399,0.2286,0.2605,0.3738,0.3831,0.0971,0.0666,0.677,0.809
MHCN,23,4.2941665053367615,0.6101899147033691,0.2263,0.2551,0.3392,0.2263,0.2585,0.3699,0.3795,0.0965,0.0663,0.676,0.8125
MHCN,24,4.196546748280525,0.609673261642456,0.2288,0.2589,0.3387,0.2288,0.2597,0.3733,0.3822,0.0977,0.0666,0.681,0.8075
MHCN,25,4.166809797286987,0.6201586723327637,0.2297,0.2599,0.3356,0.2297,0.2591,0.3737,0.3823,0.0985,0.066,0.6805,0.802
