Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,4.851864516735077,0.09889721870422363,0.0009,0.0016,0.0036,0.0009,0.0014,0.001,0.0011,0.0002,0.0002,0.002,0.0045
BPR,2,4.851746559143066,0.0953531265258789,0.0008,0.0016,0.0031,0.0008,0.0012,0.0009,0.0011,0.0002,0.0002,0.002,0.004
BPR,3,4.851548075675964,0.09332680702209473,0.0008,0.0016,0.0031,0.0008,0.0012,0.0009,0.0011,0.0002,0.0002,0.002,0.004
BPR,4,4.8514044880867,0.0928196907043457,0.0008,0.0016,0.0028,0.0008,0.0011,0.0009,0.001,0.0002,0.0002,0.002,0.0035
BPR,5,4.851377904415131,0.09680891036987305,0.0008,0.0016,0.0031,0.0008,0.0012,0.0009,0.001,0.0002,0.0002,0.002,0.004
BPR,6,4.851330578327179,0.09789299964904785,0.0008,0.0016,0.0033,0.0008,0.0013,0.0009,0.0011,0.0002,0.0002,0.002,0.0045
BPR,7,4.8512004017829895,0.09562397003173828,0.0008,0.0016,0.0036,0.0008,0.0013,0.0009,0.0011,0.0002,0.0002,0.002,0.0045
BPR,8,4.85115647315979,0.09299635887145996,0.0008,0.0016,0.0041,0.0008,0.0015,0.0009,0.0011,0.0002,0.0003,0.002,0.0055
BPR,9,4.851088643074036,0.0972142219543457,0.0008,0.0016,0.0038,0.0008,0.0014,0.0009,0.0011,0.0002,0.0003,0.002,0.005
BPR,10,4.851093649864197,0.09739875793457031,0.0008,0.0016,0.0038,0.0008,0.0014,0.0009,0.001,0.0002,0.0003,0.002,0.005
BPR,11,4.851030766963959,0.09712958335876465,0.0006,0.0011,0.0036,0.0006,0.0013,0.0008,0.001,0.0002,0.0002,0.0015,0.0045
BPR,12,4.850964903831482,0.09596538543701172,0.0006,0.0011,0.0041,0.0006,0.0014,0.0008,0.001,0.0002,0.0003,0.0015,0.005
