Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,15.937848269939423,0.32909226417541504,0.017,0.0233,0.0359,0.017,0.0219,0.0295,0.033,0.0085,0.0071,0.083,0.1355
ASLGCN,2,15.900951862335205,0.3327348232269287,0.008,0.0107,0.0196,0.008,0.0114,0.0138,0.0162,0.0042,0.0039,0.041,0.077
ASLGCN,3,15.790515780448914,0.331085205078125,0.0031,0.0048,0.0119,0.0031,0.0058,0.0054,0.0074,0.0019,0.0025,0.0185,0.0495
ASLGCN,4,15.553330063819885,0.32883191108703613,0.0029,0.0041,0.0089,0.0029,0.0047,0.0051,0.0065,0.0018,0.0019,0.017,0.037
ASLGCN,5,15.229186773300171,0.32257795333862305,0.0039,0.0055,0.0087,0.0039,0.0052,0.0066,0.0078,0.0024,0.0021,0.0235,0.0405
ASLGCN,6,14.883716344833374,0.320192813873291,0.0042,0.0047,0.0087,0.0042,0.0058,0.0077,0.009,0.002,0.002,0.0195,0.0385
ASLGCN,7,14.517870545387268,0.32182860374450684,0.0052,0.007,0.0097,0.0052,0.0063,0.0084,0.0094,0.0027,0.0021,0.026,0.0405
ASLGCN,8,14.103392481803894,0.3211696147918701,0.0055,0.0078,0.013,0.0055,0.0075,0.009,0.0105,0.003,0.0026,0.03,0.052
ASLGCN,9,13.595825552940369,0.4129350185394287,0.0081,0.0116,0.0201,0.0081,0.0113,0.0132,0.0155,0.0042,0.0039,0.0415,0.076
ASLGCN,10,12.954739570617676,0.32033228874206543,0.0106,0.0156,0.0253,0.0106,0.0145,0.016,0.019,0.0055,0.005,0.055,0.0975
ASLGCN,11,12.254234850406647,0.32053422927856445,0.0135,0.0195,0.0325,0.0135,0.0184,0.021,0.0244,0.0068,0.0061,0.068,0.119
ASLGCN,12,11.490157783031464,0.32056403160095215,0.0173,0.0249,0.0376,0.0173,0.0222,0.0268,0.0303,0.009,0.0074,0.088,0.14
ASLGCN,13,10.651196897029877,0.32266807556152344,0.0205,0.0287,0.0473,0.0205,0.0272,0.0323,0.0365,0.0108,0.009,0.1045,0.1675
ASLGCN,14,9.786581367254257,0.3261137008666992,0.0241,0.0313,0.0515,0.0241,0.0318,0.0401,0.0451,0.0115,0.0102,0.1125,0.1885
ASLGCN,15,8.929248481988907,0.3243379592895508,0.0274,0.0354,0.0557,0.0274,0.035,0.0463,0.0512,0.0129,0.0108,0.126,0.1985
ASLGCN,16,8.06307664513588,0.32494330406188965,0.0306,0.0395,0.0604,0.0306,0.0386,0.051,0.0563,0.0142,0.0118,0.137,0.2145
ASLGCN,17,7.297076195478439,0.3240015506744385,0.0319,0.0414,0.0646,0.0319,0.0409,0.0529,0.0589,0.0147,0.0126,0.14,0.2285
ASLGCN,18,6.612686187028885,0.3242509365081787,0.034,0.044,0.0666,0.034,0.0428,0.0566,0.0624,0.0157,0.013,0.1495,0.2335
ASLGCN,19,5.996647238731384,0.3267674446105957,0.0349,0.0451,0.0693,0.0349,0.0442,0.0578,0.064,0.0162,0.0135,0.1535,0.2435
ASLGCN,20,5.43554550409317,0.3236358165740967,0.0359,0.0458,0.0697,0.0359,0.0448,0.0598,0.0657,0.0169,0.0135,0.1585,0.2455
ASLGCN,21,4.9454014748334885,0.3254966735839844,0.0369,0.0465,0.0723,0.0369,0.0464,0.0619,0.068,0.0172,0.0139,0.16,0.2495
ASLGCN,22,4.556290552020073,0.3235771656036377,0.0367,0.0468,0.0711,0.0367,0.0459,0.0614,0.0673,0.0174,0.014,0.1615,0.249
ASLGCN,23,4.160573348402977,0.3236687183380127,0.0379,0.0486,0.0716,0.0379,0.0465,0.0635,0.0691,0.0179,0.014,0.1675,0.2505
ASLGCN,24,3.8641394525766373,0.3238201141357422,0.0377,0.0487,0.0727,0.0377,0.0471,0.0634,0.0695,0.0175,0.0143,0.166,0.2555
ASLGCN,25,3.558918684720993,0.3246164321899414,0.0381,0.0483,0.0735,0.0381,0.0478,0.0647,0.0711,0.0178,0.0145,0.1665,0.26
ASLGCN,26,3.3085984885692596,0.32341694831848145,0.0386,0.0487,0.0735,0.0386,0.0482,0.0659,0.0722,0.0177,0.0145,0.1675,0.259
ASLGCN,27,3.0917428582906723,0.3248910903930664,0.0384,0.0485,0.0753,0.0384,0.0487,0.0657,0.0724,0.0178,0.0147,0.1675,0.266
ASLGCN,28,2.8892546594142914,0.3260457515716553,0.0386,0.049,0.0757,0.0386,0.0489,0.0661,0.0727,0.018,0.0148,0.168,0.2645
ASLGCN,29,2.718217931687832,0.324765682220459,0.039,0.05,0.0752,0.039,0.0488,0.066,0.0723,0.0182,0.0148,0.1715,0.2645
ASLGCN,30,2.5396961122751236,0.33037877082824707,0.0398,0.0501,0.0763,0.0398,0.0499,0.0679,0.0744,0.0182,0.015,0.171,0.2675
ASLGCN,31,2.424909621477127,0.4145967960357666,0.04,0.0504,0.0764,0.04,0.05,0.0684,0.0748,0.0184,0.0149,0.1745,0.2685
ASLGCN,32,2.280303455889225,0.32385921478271484,0.0393,0.0503,0.0757,0.0393,0.0491,0.0667,0.0732,0.0183,0.0148,0.173,0.268
ASLGCN,33,2.168540798127651,0.3262007236480713,0.0399,0.051,0.0763,0.0399,0.0497,0.0679,0.0744,0.0185,0.015,0.1735,0.27
ASLGCN,34,2.049032025039196,0.3249523639678955,0.0397,0.0497,0.0758,0.0397,0.0497,0.0684,0.0747,0.0181,0.0149,0.1725,0.2675
ASLGCN,35,1.9863465055823326,0.3244152069091797,0.0393,0.0495,0.076,0.0393,0.0493,0.0671,0.0735,0.018,0.0147,0.17,0.2655
ASLGCN,36,1.9181752875447273,0.32468724250793457,0.0392,0.0488,0.0746,0.0392,0.049,0.0676,0.0736,0.0179,0.0145,0.169,0.259
ASLGCN,37,1.8139953687787056,0.3236701488494873,0.0387,0.048,0.0761,0.0387,0.0494,0.0669,0.0733,0.0175,0.0148,0.1655,0.261
ASLGCN,38,1.7237214967608452,0.32527732849121094,0.0382,0.0475,0.0761,0.0382,0.0491,0.066,0.0726,0.0174,0.0148,0.164,0.2615
ASLGCN,39,1.6420647948980331,0.32344651222229004,0.0387,0.0483,0.076,0.0387,0.0493,0.0662,0.0729,0.0175,0.0147,0.1635,0.262
ASLGCN,40,1.5833215862512589,0.3239011764526367,0.0384,0.0482,0.076,0.0384,0.0491,0.0658,0.0726,0.0174,0.0148,0.164,0.263
ASLGCN,41,1.5352919436991215,0.32010388374328613,0.0386,0.0477,0.0753,0.0386,0.0491,0.0668,0.0736,0.0172,0.0146,0.162,0.26
ASLGCN,42,1.4795782417058945,0.32159948348999023,0.0378,0.0462,0.076,0.0378,0.0491,0.0664,0.0737,0.0167,0.0147,0.157,0.2635
