Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,15.937880754470825,0.34382057189941406,0.02,0.0277,0.0426,0.02,0.0256,0.0327,0.0367,0.0103,0.0084,0.0985,0.1575
ASLGCN,2,15.902725517749786,0.33075976371765137,0.0147,0.0216,0.0358,0.0147,0.0201,0.0217,0.0255,0.0071,0.0065,0.068,0.1235
ASLGCN,3,15.803715944290161,0.3362727165222168,0.0096,0.0136,0.0221,0.0096,0.0128,0.0155,0.0176,0.005,0.0042,0.0485,0.08
ASLGCN,4,15.590974271297455,0.3831191062927246,0.0067,0.0091,0.0162,0.0067,0.0093,0.0115,0.0133,0.0037,0.0033,0.0365,0.064
ASLGCN,5,15.248409748077393,0.3224978446960449,0.0067,0.0088,0.0131,0.0067,0.0084,0.0118,0.0131,0.0034,0.0028,0.034,0.0545
ASLGCN,6,14.810362875461578,0.3234827518463135,0.0062,0.0082,0.013,0.0062,0.0081,0.0115,0.013,0.0033,0.0027,0.033,0.054
ASLGCN,7,14.304341971874237,0.3373725414276123,0.0065,0.0092,0.0174,0.0065,0.0096,0.011,0.0131,0.0037,0.0035,0.0365,0.0675
ASLGCN,8,13.669955849647522,0.3331761360168457,0.0083,0.0117,0.0203,0.0083,0.0115,0.0145,0.0165,0.0046,0.0039,0.045,0.075
ASLGCN,9,12.956781387329102,0.3305389881134033,0.0107,0.015,0.0269,0.0107,0.0151,0.0186,0.0215,0.0055,0.0051,0.054,0.098
ASLGCN,10,12.133744716644287,0.3385148048400879,0.0153,0.0222,0.0347,0.0153,0.0201,0.0257,0.029,0.0076,0.0065,0.0735,0.124
ASLGCN,11,11.217103123664856,0.34029078483581543,0.0179,0.0257,0.041,0.0179,0.0237,0.03,0.0338,0.0093,0.0078,0.09,0.1465
ASLGCN,12,10.258992314338684,0.33746337890625,0.0202,0.0293,0.0477,0.0202,0.0272,0.0333,0.0378,0.0106,0.0092,0.1025,0.171
ASLGCN,13,9.242549777030945,0.34683895111083984,0.0232,0.0338,0.0529,0.0232,0.0304,0.0378,0.0424,0.0126,0.0102,0.1195,0.189
ASLGCN,14,8.297361850738525,0.3389720916748047,0.0251,0.0347,0.0562,0.0251,0.0333,0.0426,0.048,0.0132,0.0109,0.124,0.202
ASLGCN,15,7.396437048912048,0.33858585357666016,0.0268,0.0363,0.0617,0.0268,0.0365,0.0454,0.0516,0.0139,0.0123,0.1325,0.2235
ASLGCN,16,6.5690343379974365,0.3463168144226074,0.0283,0.0378,0.0643,0.0283,0.0383,0.0487,0.0551,0.0145,0.0128,0.1385,0.2335
ASLGCN,17,5.863323599100113,0.34056854248046875,0.0297,0.0397,0.065,0.0297,0.0392,0.0509,0.0568,0.0155,0.013,0.1495,0.237
ASLGCN,18,5.239526569843292,0.3467555046081543,0.0313,0.0415,0.0669,0.0313,0.041,0.0537,0.06,0.0163,0.0136,0.154,0.2455
ASLGCN,19,4.734701111912727,0.33303403854370117,0.0323,0.0432,0.0687,0.0323,0.0421,0.056,0.0623,0.0168,0.014,0.1595,0.2515
ASLGCN,20,4.304525449872017,0.33246922492980957,0.0328,0.0431,0.0701,0.0328,0.043,0.0573,0.0638,0.0169,0.0142,0.1585,0.2545
ASLGCN,21,3.9031557887792587,0.33800601959228516,0.0334,0.0449,0.0707,0.0334,0.0431,0.0576,0.0638,0.0173,0.0142,0.1625,0.255
ASLGCN,22,3.5733160078525543,0.33302950859069824,0.0333,0.0436,0.0717,0.0333,0.0439,0.0587,0.0652,0.0173,0.0145,0.1625,0.259
ASLGCN,23,3.2871885895729065,0.34509706497192383,0.0335,0.043,0.0711,0.0335,0.0441,0.0593,0.0659,0.0171,0.0145,0.1605,0.255
ASLGCN,24,3.067980080842972,0.33890676498413086,0.0342,0.0445,0.0726,0.0342,0.0449,0.0605,0.0673,0.0175,0.0147,0.164,0.262
ASLGCN,25,2.7917209044098854,0.33965301513671875,0.0343,0.0449,0.0728,0.0343,0.0449,0.0604,0.0671,0.0178,0.0148,0.165,0.263
ASLGCN,26,2.6226333901286125,0.34089088439941406,0.0347,0.0457,0.0717,0.0347,0.0445,0.0608,0.067,0.0181,0.0146,0.168,0.261
ASLGCN,27,2.4435025230050087,0.35132455825805664,0.0341,0.0451,0.0724,0.0341,0.0444,0.0597,0.0662,0.0178,0.0147,0.167,0.264
ASLGCN,28,2.3026293963193893,0.34719395637512207,0.0341,0.0447,0.0725,0.0341,0.0446,0.0605,0.0669,0.0175,0.0146,0.166,0.261
ASLGCN,29,2.152960494160652,0.34510016441345215,0.034,0.0449,0.0738,0.034,0.0447,0.0593,0.0658,0.0175,0.0147,0.166,0.2645
ASLGCN,30,2.048023283481598,0.3390824794769287,0.034,0.0444,0.0736,0.034,0.0449,0.0596,0.0662,0.0175,0.0148,0.166,0.2655
ASLGCN,31,1.945213720202446,0.3363492488861084,0.0336,0.0446,0.073,0.0336,0.0444,0.0588,0.0654,0.0174,0.0148,0.166,0.265
ASLGCN,32,1.8437501043081284,0.3417649269104004,0.0334,0.044,0.0716,0.0334,0.044,0.0586,0.0653,0.0172,0.0146,0.1635,0.263
ASLGCN,33,1.7527935653924942,0.4614450931549072,0.0336,0.0433,0.0729,0.0336,0.0449,0.0597,0.0668,0.0169,0.0147,0.16,0.264
ASLGCN,34,1.6759963631629944,0.3442652225494385,0.0333,0.0434,0.0738,0.0333,0.0448,0.0589,0.066,0.017,0.0149,0.1605,0.2665
ASLGCN,35,1.5972833409905434,0.34995150566101074,0.0328,0.0432,0.0714,0.0328,0.0437,0.0579,0.0648,0.0169,0.0145,0.16,0.259
ASLGCN,36,1.5210146233439445,0.3456737995147705,0.0324,0.0424,0.0734,0.0324,0.0442,0.0571,0.0646,0.0165,0.0147,0.1565,0.2645
ASLGCN,37,1.4790882989764214,0.34404683113098145,0.0323,0.043,0.0727,0.0323,0.0436,0.0563,0.0635,0.0168,0.0147,0.159,0.2625
