Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.923729658126831,0.24036884307861328,0.002,0.0027,0.0055,0.002,0.0031,0.0039,0.0047,0.0014,0.0013,0.0135,0.0265
DiffNet,2,15.54309231042862,0.23925089836120605,0.003,0.0039,0.0072,0.003,0.0042,0.0057,0.0066,0.0019,0.0017,0.017,0.031
DiffNet,3,14.667844533920288,0.24053144454956055,0.0033,0.0045,0.0084,0.0033,0.0047,0.0056,0.0067,0.0019,0.0018,0.0185,0.0345
DiffNet,4,13.110478520393372,0.3345932960510254,0.0032,0.0045,0.0088,0.0032,0.0048,0.0052,0.0065,0.0019,0.0019,0.0185,0.0375
DiffNet,5,11.15075832605362,0.2404484748840332,0.003,0.0039,0.0084,0.003,0.0046,0.0051,0.0063,0.0017,0.0019,0.017,0.037
DiffNet,6,9.281751066446304,0.24162793159484863,0.0033,0.0045,0.0077,0.0033,0.0046,0.0056,0.0067,0.0018,0.0017,0.018,0.0335
DiffNet,7,7.748575687408447,0.2426290512084961,0.0033,0.0048,0.0085,0.0033,0.0047,0.0051,0.0063,0.0019,0.0018,0.019,0.036
DiffNet,8,6.56059393286705,0.2401108741760254,0.0037,0.0053,0.0081,0.0037,0.0048,0.0059,0.0069,0.0021,0.0018,0.0205,0.035
DiffNet,9,5.689562946557999,0.23994898796081543,0.0034,0.0047,0.008,0.0034,0.0047,0.0055,0.0065,0.002,0.0018,0.0195,0.0345
DiffNet,10,4.968913450837135,0.23949575424194336,0.0034,0.0049,0.0084,0.0034,0.0047,0.0059,0.0067,0.0022,0.0018,0.0215,0.035
DiffNet,11,4.4111695140600204,0.2396402359008789,0.0035,0.0047,0.0077,0.0035,0.0046,0.0062,0.0072,0.002,0.0017,0.02,0.0335
DiffNet,12,3.989061713218689,0.2388150691986084,0.0034,0.0045,0.0083,0.0034,0.0048,0.0058,0.0068,0.002,0.0018,0.02,0.0355
DiffNet,13,3.6370670199394226,0.24433016777038574,0.0035,0.0046,0.0085,0.0035,0.0049,0.006,0.007,0.002,0.0018,0.0195,0.0345
DiffNet,14,3.331635817885399,0.23977255821228027,0.0034,0.0043,0.0083,0.0034,0.0049,0.006,0.0072,0.0019,0.0018,0.018,0.035
DiffNet,15,3.0982071310281754,0.24201250076293945,0.0037,0.0047,0.0093,0.0037,0.0055,0.0065,0.0078,0.0019,0.002,0.019,0.039
DiffNet,16,2.9029402434825897,0.23958849906921387,0.0038,0.005,0.0094,0.0038,0.0056,0.0066,0.008,0.0019,0.0021,0.019,0.04
DiffNet,17,2.6979858726263046,0.23864054679870605,0.0037,0.0048,0.0088,0.0037,0.0052,0.0062,0.0073,0.0019,0.0018,0.018,0.035
DiffNet,18,2.5749175772070885,0.23895883560180664,0.0033,0.0044,0.0084,0.0033,0.0048,0.0055,0.0066,0.0018,0.0017,0.0175,0.034
DiffNet,19,2.4417693614959717,0.24257683753967285,0.0033,0.0042,0.0077,0.0033,0.0046,0.0057,0.0066,0.0017,0.0016,0.0165,0.0305
DiffNet,20,2.3398908898234367,0.23895907402038574,0.0032,0.0038,0.0072,0.0032,0.0044,0.0052,0.0061,0.0016,0.0015,0.015,0.0285
DiffNet,21,2.2086297273635864,0.23794865608215332,0.0028,0.0036,0.0075,0.0028,0.0042,0.0048,0.0058,0.0015,0.0014,0.0145,0.0285
DiffNet,22,2.176718905568123,0.2391660213470459,0.0028,0.0037,0.0079,0.0028,0.0043,0.0051,0.0062,0.0016,0.0016,0.0155,0.0325
DiffNet,23,2.044452026486397,0.2410411834716797,0.0028,0.0036,0.0068,0.0028,0.004,0.005,0.0059,0.0015,0.0013,0.015,0.027
DiffNet,24,1.9860886856913567,0.2396247386932373,0.0029,0.004,0.0074,0.0029,0.0041,0.0048,0.0058,0.0016,0.0015,0.016,0.0305
DiffNet,25,1.9128661751747131,0.24058771133422852,0.003,0.0048,0.0076,0.003,0.0041,0.0045,0.0054,0.0019,0.0016,0.0185,0.0315
DiffNet,26,1.8752392008900642,0.3389580249786377,0.003,0.0045,0.008,0.003,0.0044,0.0045,0.0057,0.0017,0.0017,0.0165,0.0335
DiffNet,27,1.8195409327745438,0.23936939239501953,0.003,0.0042,0.0077,0.003,0.0044,0.0047,0.0059,0.0016,0.0017,0.016,0.033
