Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.245233535766602,0.24656081199645996,0.0215,0.028,0.0459,0.0215,0.0283,0.0373,0.0419,0.0104,0.0088,0.1005,0.167
LightGCN,2,15.207726836204529,0.2452836036682129,0.0239,0.0329,0.0533,0.0239,0.0314,0.0396,0.0444,0.012,0.0099,0.114,0.1835
LightGCN,3,15.108355224132538,0.2456674575805664,0.0218,0.0299,0.0495,0.0218,0.0292,0.0349,0.0398,0.0107,0.0093,0.104,0.175
LightGCN,4,14.903294265270233,0.24429559707641602,0.0204,0.0296,0.0457,0.0204,0.0265,0.0322,0.0363,0.0099,0.0082,0.0955,0.156
LightGCN,5,14.566369771957397,0.24141335487365723,0.0193,0.0271,0.0418,0.0193,0.0248,0.0314,0.0349,0.0088,0.0075,0.0865,0.1395
LightGCN,6,14.098923087120056,0.24295854568481445,0.0172,0.025,0.0418,0.0172,0.0233,0.0273,0.031,0.0086,0.0076,0.0835,0.141
LightGCN,7,13.53132039308548,0.24391937255859375,0.017,0.0239,0.0398,0.017,0.0228,0.0273,0.0309,0.0083,0.0072,0.082,0.136
LightGCN,8,12.90176111459732,0.24406647682189941,0.0174,0.0237,0.0406,0.0174,0.0237,0.0284,0.0325,0.0085,0.0076,0.083,0.1435
LightGCN,9,12.244555056095123,0.24299120903015137,0.0189,0.0253,0.0458,0.0189,0.0263,0.031,0.0357,0.0091,0.0084,0.0885,0.158
LightGCN,10,11.565572023391724,0.24354314804077148,0.0205,0.0274,0.0474,0.0205,0.0281,0.0337,0.0385,0.0098,0.009,0.0955,0.1675
LightGCN,11,10.908886671066284,0.24389362335205078,0.0214,0.0289,0.0507,0.0214,0.0293,0.0351,0.0401,0.0108,0.0095,0.1045,0.1785
LightGCN,12,10.293174833059311,0.2427353858947754,0.0235,0.0316,0.053,0.0235,0.0314,0.0386,0.0437,0.0115,0.01,0.1115,0.185
LightGCN,13,9.676786124706268,0.24248361587524414,0.0252,0.0348,0.0541,0.0252,0.0325,0.0407,0.0455,0.0124,0.0102,0.119,0.19
LightGCN,14,9.122008442878723,0.2441880702972412,0.0266,0.0361,0.0561,0.0266,0.0343,0.0438,0.049,0.0128,0.0107,0.123,0.199
LightGCN,15,8.644396930932999,0.24386835098266602,0.0278,0.0368,0.0584,0.0278,0.0361,0.0471,0.0527,0.013,0.0111,0.1255,0.207
LightGCN,16,8.203071385622025,0.24385619163513184,0.0282,0.0351,0.0583,0.0282,0.0371,0.0491,0.055,0.0129,0.0112,0.1245,0.208
LightGCN,17,7.797857642173767,0.24372339248657227,0.0288,0.0366,0.0599,0.0288,0.0378,0.0499,0.0558,0.0133,0.0116,0.1285,0.214
LightGCN,18,7.439558029174805,0.24435830116271973,0.0297,0.0379,0.0614,0.0297,0.0388,0.0514,0.0573,0.0137,0.012,0.134,0.222
LightGCN,19,7.150840401649475,0.24362945556640625,0.0306,0.0385,0.0622,0.0306,0.0396,0.0529,0.0587,0.0141,0.0121,0.1375,0.225
LightGCN,20,6.842951089143753,0.242692232131958,0.0315,0.0392,0.0641,0.0315,0.041,0.0547,0.0608,0.0142,0.0124,0.138,0.229
LightGCN,21,6.606426388025284,0.2453773021697998,0.0321,0.0399,0.0644,0.0321,0.0414,0.0555,0.0616,0.0146,0.0126,0.1415,0.232
LightGCN,22,6.3860042989254,0.2514500617980957,0.0324,0.0403,0.0653,0.0324,0.0417,0.0561,0.062,0.0147,0.0126,0.1425,0.231
LightGCN,23,6.179353415966034,0.24403595924377441,0.0333,0.041,0.0638,0.0333,0.0419,0.0578,0.0633,0.0152,0.0125,0.1465,0.2295
LightGCN,24,6.004052400588989,0.24844908714294434,0.0327,0.0414,0.064,0.0327,0.0413,0.056,0.0616,0.0153,0.0126,0.1475,0.232
LightGCN,25,5.852481514215469,0.2429666519165039,0.0328,0.0411,0.0648,0.0328,0.0418,0.0563,0.0623,0.0152,0.0126,0.146,0.2345
LightGCN,26,5.7003505527973175,0.24365496635437012,0.0332,0.0411,0.0662,0.0332,0.0426,0.0574,0.0634,0.0154,0.0129,0.1475,0.237
LightGCN,27,5.588862299919128,0.2428586483001709,0.0336,0.0421,0.0661,0.0336,0.0428,0.0577,0.0637,0.0153,0.0129,0.1475,0.2365
LightGCN,28,5.458082690834999,0.2445507049560547,0.0345,0.0437,0.0661,0.0345,0.043,0.0585,0.0641,0.0159,0.0129,0.153,0.2385
LightGCN,29,5.3667005598545074,0.2434394359588623,0.034,0.0423,0.0664,0.034,0.0432,0.058,0.064,0.0155,0.0129,0.149,0.239
LightGCN,30,5.2826279401779175,0.24397802352905273,0.0339,0.0424,0.0669,0.0339,0.0432,0.0575,0.0638,0.0155,0.0129,0.1475,0.239
LightGCN,31,5.187643647193909,0.24419260025024414,0.0342,0.0429,0.0667,0.0342,0.043,0.0581,0.0637,0.016,0.0129,0.1535,0.2375
LightGCN,32,5.114406645298004,0.25029897689819336,0.0343,0.043,0.0659,0.0343,0.043,0.0582,0.0641,0.0158,0.0128,0.1515,0.238
LightGCN,33,5.039741545915604,0.24517345428466797,0.0341,0.0432,0.0663,0.0341,0.0429,0.0578,0.0638,0.0157,0.0128,0.1505,0.237
LightGCN,34,4.983822241425514,0.24460554122924805,0.0336,0.042,0.0671,0.0336,0.0432,0.0578,0.0641,0.0156,0.013,0.1495,0.2415
LightGCN,35,4.930757567286491,0.24435806274414062,0.034,0.042,0.0666,0.034,0.0433,0.0586,0.0646,0.0157,0.013,0.1515,0.2405
LightGCN,36,4.886309027671814,0.24413084983825684,0.0343,0.0423,0.0671,0.0343,0.0437,0.059,0.0651,0.0157,0.0131,0.151,0.24
LightGCN,37,4.838480696082115,0.2445385456085205,0.0347,0.0435,0.0665,0.0347,0.0435,0.059,0.0648,0.0161,0.013,0.1545,0.239
