Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,6.235205054283142,0.15654373168945312,0.0496,0.0851,0.1343,0.0496,0.0635,0.0469,0.0519,0.0123,0.0101,0.1205,0.194
CSGCN,2,6.224156200885773,0.15320777893066406,0.0749,0.1184,0.1692,0.0749,0.0894,0.0722,0.0773,0.0171,0.0127,0.1645,0.2395
CSGCN,3,6.204096078872681,0.14929533004760742,0.0865,0.1439,0.2035,0.0865,0.1032,0.0818,0.0873,0.0211,0.0152,0.2015,0.2825
CSGCN,4,6.169780910015106,0.150909423828125,0.0959,0.1576,0.2208,0.0959,0.1138,0.0921,0.0981,0.0232,0.0165,0.2205,0.3075
CSGCN,5,6.116208732128143,0.15366387367248535,0.0989,0.1594,0.2306,0.0989,0.119,0.0958,0.1023,0.0237,0.0174,0.2255,0.321
CSGCN,6,6.039573669433594,0.14953899383544922,0.1001,0.1626,0.2302,0.1001,0.1195,0.0959,0.1026,0.0239,0.0176,0.226,0.3225
CSGCN,7,5.93478935956955,0.14807891845703125,0.0993,0.1619,0.23,0.0993,0.1189,0.0956,0.1024,0.0239,0.0175,0.225,0.3225
CSGCN,8,5.806146323680878,0.15027499198913574,0.1004,0.162,0.2322,0.1004,0.1205,0.0972,0.1042,0.024,0.0177,0.2265,0.3265
CSGCN,9,5.648712575435638,0.1529080867767334,0.1023,0.1624,0.238,0.1023,0.1235,0.0999,0.1071,0.0242,0.018,0.227,0.333
CSGCN,10,5.465214312076569,0.14710640907287598,0.1019,0.1664,0.2382,0.1019,0.122,0.0978,0.1047,0.0247,0.018,0.232,0.334
CSGCN,11,5.256482183933258,0.14664530754089355,0.1029,0.1656,0.2427,0.1029,0.1244,0.1001,0.1072,0.0248,0.0184,0.234,0.3415
CSGCN,12,5.032579600811005,0.1504058837890625,0.1024,0.1647,0.2432,0.1024,0.1245,0.0993,0.1066,0.0245,0.0185,0.231,0.3415
CSGCN,13,4.794900178909302,0.15003132820129395,0.1029,0.1652,0.2431,0.1029,0.125,0.0998,0.1074,0.0245,0.0186,0.231,0.3435
CSGCN,14,4.541374891996384,0.24233531951904297,0.1025,0.1651,0.2432,0.1025,0.1247,0.0986,0.1062,0.0246,0.0186,0.232,0.3425
CSGCN,15,4.279327064752579,0.1508171558380127,0.1038,0.1693,0.2432,0.1038,0.1248,0.1,0.107,0.0252,0.0186,0.239,0.3425
CSGCN,16,4.034732103347778,0.14974117279052734,0.1031,0.1694,0.24,0.1031,0.1234,0.0991,0.1061,0.0252,0.0184,0.239,0.338
CSGCN,17,3.783101111650467,0.15334868431091309,0.1043,0.169,0.2427,0.1043,0.1253,0.1012,0.1083,0.0252,0.0186,0.2395,0.341
CSGCN,18,3.547829329967499,0.14750337600708008,0.105,0.1681,0.2426,0.105,0.1263,0.1029,0.1101,0.0251,0.0187,0.237,0.3405
CSGCN,19,3.3085915446281433,0.15345263481140137,0.1058,0.1682,0.2433,0.1058,0.1271,0.1039,0.1112,0.0253,0.0187,0.2375,0.342
CSGCN,20,3.1056775748729706,0.15478730201721191,0.1074,0.1705,0.242,0.1074,0.1277,0.1056,0.1124,0.0257,0.0185,0.242,0.3405
CSGCN,21,2.905451774597168,0.1494290828704834,0.1079,0.1705,0.24,0.1079,0.1276,0.1065,0.1131,0.0258,0.0184,0.244,0.3395
CSGCN,22,2.716841757297516,0.15027856826782227,0.1079,0.1726,0.2424,0.1079,0.1277,0.1055,0.1121,0.0261,0.0185,0.248,0.343
CSGCN,23,2.5498850345611572,0.153245210647583,0.1081,0.1731,0.2407,0.1081,0.1274,0.1059,0.1124,0.026,0.0184,0.2475,0.341
CSGCN,24,2.399545341730118,0.1471703052520752,0.1093,0.1766,0.241,0.1093,0.1276,0.1062,0.1125,0.0265,0.0184,0.2505,0.341
CSGCN,25,2.241080090403557,0.1492166519165039,0.1095,0.1754,0.2403,0.1095,0.128,0.1073,0.1135,0.0264,0.0184,0.2505,0.34
CSGCN,26,2.1253716945648193,0.15473580360412598,0.1095,0.1763,0.2437,0.1095,0.1286,0.1068,0.1135,0.0264,0.0187,0.2485,0.3455
CSGCN,27,2.0008496195077896,0.14877080917358398,0.1091,0.1747,0.2415,0.1091,0.1282,0.1069,0.1137,0.0261,0.0185,0.246,0.3435
CSGCN,28,1.8953646421432495,0.14960765838623047,0.1098,0.176,0.2422,0.1098,0.1286,0.1079,0.1145,0.0264,0.0186,0.2485,0.344
CSGCN,29,1.7899567782878876,0.15082263946533203,0.1103,0.175,0.2404,0.1103,0.1289,0.109,0.1155,0.0263,0.0185,0.2485,0.3425
CSGCN,30,1.7081978917121887,0.15068483352661133,0.11,0.1746,0.2372,0.11,0.128,0.1091,0.1154,0.0262,0.0183,0.248,0.3395
CSGCN,31,1.6113930642604828,0.14905643463134766,0.1095,0.1729,0.2372,0.1095,0.128,0.1091,0.1155,0.0259,0.0183,0.247,0.34
CSGCN,32,1.5299331992864609,0.14794588088989258,0.1084,0.1711,0.2394,0.1084,0.1279,0.1079,0.1146,0.0258,0.0185,0.2465,0.343
CSGCN,33,1.4715696424245834,0.14512920379638672,0.1082,0.1706,0.2366,0.1082,0.127,0.1075,0.1139,0.0258,0.0182,0.2455,0.339
CSGCN,34,1.3986658304929733,0.1481609344482422,0.1082,0.1706,0.2358,0.1082,0.1268,0.1077,0.1141,0.0257,0.0181,0.2455,0.3385
CSGCN,35,1.3404397070407867,0.15129995346069336,0.1074,0.1694,0.2347,0.1074,0.1262,0.1069,0.1134,0.0255,0.0181,0.2445,0.338
CSGCN,36,1.2892840206623077,0.14996337890625,0.1078,0.172,0.2348,0.1078,0.1258,0.1069,0.113,0.026,0.0182,0.2485,0.3385
CSGCN,37,1.2249556332826614,0.14995908737182617,0.1067,0.169,0.2347,0.1067,0.1255,0.1064,0.1127,0.0256,0.0182,0.2445,0.3375
CSGCN,38,1.1866277307271957,0.15169811248779297,0.1063,0.1693,0.2323,0.1063,0.1244,0.1056,0.1118,0.0255,0.0181,0.244,0.335
CSGCN,39,1.1338295862078667,0.15288472175598145,0.1062,0.1692,0.2289,0.1062,0.1234,0.1052,0.111,0.0256,0.0178,0.245,0.3315
CSGCN,40,1.0970183163881302,0.14699554443359375,0.1055,0.1673,0.2276,0.1055,0.1228,0.1047,0.1106,0.0254,0.0178,0.2425,0.33
