Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,6.232882082462311,0.12581086158752441,0.2029,0.288,0.3591,0.2029,0.2229,0.2003,0.2069,0.0383,0.0246,0.3685,0.4635
LightGCN,2,6.209209084510803,0.12419366836547852,0.2497,0.3538,0.4256,0.2497,0.2705,0.2468,0.2536,0.0478,0.0298,0.451,0.5485
LightGCN,3,6.164404332637787,0.12428641319274902,0.2668,0.3808,0.4612,0.2668,0.2897,0.2613,0.2683,0.0517,0.0323,0.4815,0.585
LightGCN,4,6.089574873447418,0.12486600875854492,0.2758,0.3959,0.4699,0.2758,0.2972,0.2694,0.2763,0.054,0.0331,0.499,0.596
LightGCN,5,5.977095127105713,0.12432169914245605,0.2796,0.4012,0.4817,0.2796,0.3028,0.2736,0.281,0.0544,0.0338,0.5015,0.605
LightGCN,6,5.827334523200989,0.12454986572265625,0.2788,0.4015,0.4858,0.2788,0.3032,0.2736,0.2811,0.0543,0.0342,0.504,0.6105
LightGCN,7,5.631317734718323,0.12427377700805664,0.2808,0.4018,0.4898,0.2808,0.3063,0.2767,0.2847,0.0544,0.0346,0.5055,0.6205
LightGCN,8,5.393507182598114,0.12422299385070801,0.2788,0.3969,0.4864,0.2788,0.3049,0.276,0.2842,0.0538,0.0345,0.5,0.6165
LightGCN,9,5.127681195735931,0.12866687774658203,0.2792,0.3971,0.4879,0.2792,0.3054,0.2767,0.2845,0.054,0.0345,0.504,0.6145
LightGCN,10,4.826714396476746,0.12381291389465332,0.2821,0.3993,0.4888,0.2821,0.3079,0.2805,0.2879,0.0542,0.0346,0.508,0.6145
LightGCN,11,4.507781982421875,0.12396883964538574,0.2825,0.398,0.4845,0.2825,0.3075,0.2816,0.289,0.0543,0.0343,0.5065,0.611
LightGCN,12,4.191642314195633,0.12423825263977051,0.2826,0.4022,0.4843,0.2826,0.3065,0.2802,0.2871,0.0547,0.0344,0.512,0.6115
LightGCN,13,3.8653714060783386,0.12511515617370605,0.2808,0.399,0.4887,0.2808,0.3068,0.2783,0.286,0.0541,0.0347,0.5065,0.616
