Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,15.937777280807495,0.3472287654876709,0.0193,0.0254,0.0421,0.0193,0.0255,0.0339,0.0379,0.0092,0.0079,0.0895,0.149
ASLGCN,2,15.902988016605377,0.3379855155944824,0.0138,0.019,0.0353,0.0138,0.0198,0.024,0.0278,0.0071,0.0067,0.0705,0.1275
ASLGCN,3,15.804985105991364,0.33842015266418457,0.0083,0.0115,0.0196,0.0083,0.0114,0.0143,0.0167,0.0047,0.0041,0.047,0.082
ASLGCN,4,15.595276474952698,0.3377420902252197,0.0065,0.0093,0.0161,0.0065,0.0092,0.0111,0.0132,0.0036,0.0035,0.0365,0.068
ASLGCN,5,15.269539535045624,0.33876824378967285,0.0057,0.0079,0.0147,0.0057,0.0083,0.0098,0.0119,0.0034,0.0032,0.0335,0.0645
ASLGCN,6,14.868758916854858,0.34256601333618164,0.0066,0.0091,0.0153,0.0066,0.0091,0.0113,0.0132,0.0037,0.0032,0.036,0.0635
ASLGCN,7,14.396935403347015,0.33629298210144043,0.0082,0.0107,0.0165,0.0082,0.0106,0.0142,0.0159,0.0043,0.0036,0.0435,0.068
ASLGCN,8,13.887026309967041,0.3317553997039795,0.0091,0.0111,0.0176,0.0091,0.0117,0.0165,0.0185,0.0044,0.0038,0.043,0.073
ASLGCN,9,13.303004324436188,0.33227038383483887,0.011,0.0135,0.023,0.011,0.0147,0.0201,0.0228,0.0053,0.0049,0.052,0.093
ASLGCN,10,12.620408475399017,0.33771443367004395,0.0128,0.0154,0.0281,0.0128,0.0177,0.0244,0.028,0.0062,0.006,0.0605,0.115
ASLGCN,11,11.872590124607086,0.3376729488372803,0.0143,0.0188,0.0329,0.0143,0.0194,0.0259,0.0293,0.0079,0.0067,0.0775,0.1265
ASLGCN,12,11.082014113664627,0.33826327323913574,0.0168,0.0226,0.0395,0.0168,0.0231,0.03,0.0342,0.0089,0.008,0.0855,0.149
