Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.93753868341446,0.3183603286743164,0.0098,0.0122,0.0235,0.0098,0.014,0.0177,0.0205,0.0049,0.0047,0.049,0.09
HAGN,2,15.89112514257431,0.41452455520629883,0.0034,0.0049,0.0096,0.0034,0.0051,0.0065,0.0076,0.0021,0.0019,0.021,0.038
HAGN,3,15.7265003323555,0.31721925735473633,0.0022,0.0029,0.0057,0.0022,0.0033,0.0045,0.0053,0.0015,0.0013,0.015,0.026
HAGN,4,15.47618156671524,0.32570719718933105,0.0017,0.0022,0.0062,0.0017,0.0032,0.0037,0.0047,0.0013,0.0014,0.013,0.0285
HAGN,5,15.278624355793,0.32159423828125,0.002,0.0026,0.0063,0.002,0.0034,0.004,0.0051,0.0013,0.0015,0.0125,0.029
HAGN,6,15.05307948589325,0.32235264778137207,0.0031,0.0052,0.01,0.0031,0.0049,0.0048,0.0061,0.0019,0.002,0.0185,0.0395
HAGN,7,14.768116414546967,0.3169567584991455,0.0037,0.0062,0.0111,0.0037,0.0056,0.0055,0.007,0.0023,0.0022,0.022,0.044
HAGN,8,14.427761912345886,0.3158411979675293,0.005,0.0076,0.0131,0.005,0.0071,0.0075,0.0091,0.0027,0.0026,0.0265,0.0505
HAGN,9,14.009744763374329,0.3178889751434326,0.0063,0.0087,0.0163,0.0063,0.009,0.01,0.0119,0.0033,0.0031,0.032,0.0595
HAGN,10,13.5624458193779,0.3100290298461914,0.0082,0.0116,0.0212,0.0082,0.0117,0.013,0.0153,0.0044,0.004,0.043,0.077
HAGN,11,13.060296058654785,0.31202268600463867,0.0111,0.0154,0.0237,0.0111,0.0143,0.0183,0.0208,0.0054,0.0047,0.0525,0.089
HAGN,12,12.494254112243652,0.3111746311187744,0.0121,0.017,0.0257,0.0121,0.0155,0.0201,0.0225,0.0062,0.0051,0.06,0.0955
HAGN,13,11.947555005550385,0.31037211418151855,0.0132,0.0186,0.0303,0.0132,0.0176,0.0223,0.0253,0.0069,0.006,0.0665,0.112
HAGN,14,11.373453795909882,0.3095428943634033,0.0153,0.0203,0.035,0.0153,0.0207,0.0269,0.0306,0.0078,0.0069,0.075,0.1305
HAGN,15,10.77322655916214,0.30901598930358887,0.0161,0.0218,0.0382,0.0161,0.0223,0.0284,0.0327,0.0081,0.0076,0.079,0.143
HAGN,16,10.22548559308052,0.31142354011535645,0.018,0.0243,0.039,0.018,0.0237,0.0319,0.0358,0.0092,0.0079,0.0905,0.1485
HAGN,17,9.671034783124924,0.30937910079956055,0.0191,0.0261,0.0402,0.0191,0.0247,0.0335,0.0376,0.0099,0.0084,0.0945,0.157
HAGN,18,9.157966703176498,0.3087589740753174,0.0207,0.0282,0.0429,0.0207,0.0264,0.0363,0.0403,0.0107,0.0088,0.103,0.164
HAGN,19,8.652999341487885,0.30953168869018555,0.0217,0.0287,0.0437,0.0217,0.0274,0.0385,0.0425,0.011,0.0089,0.106,0.165
HAGN,20,8.215698271989822,0.30922460556030273,0.0227,0.0302,0.0458,0.0227,0.0284,0.0402,0.0439,0.0119,0.0092,0.1145,0.172
HAGN,21,7.788596957921982,0.3090488910675049,0.0225,0.0304,0.0476,0.0225,0.029,0.0397,0.0442,0.0117,0.0096,0.1125,0.178
HAGN,22,7.408369243144989,0.30835485458374023,0.0234,0.0307,0.0503,0.0234,0.0309,0.0416,0.0467,0.0117,0.0102,0.112,0.1875
HAGN,23,7.0191274881362915,0.30893635749816895,0.0243,0.0309,0.0503,0.0243,0.0317,0.0441,0.0491,0.0119,0.0103,0.114,0.1875
HAGN,24,6.667345315217972,0.30889248847961426,0.0243,0.031,0.0517,0.0243,0.0322,0.0442,0.0495,0.012,0.0105,0.1145,0.1915
HAGN,25,6.3726911544799805,0.3129231929779053,0.0248,0.0318,0.0527,0.0248,0.0329,0.0447,0.0501,0.0123,0.0108,0.118,0.197
HAGN,26,6.075728267431259,0.3104972839355469,0.0249,0.0317,0.0539,0.0249,0.0333,0.0447,0.0505,0.0123,0.0109,0.1165,0.1995
HAGN,27,5.777940332889557,0.3094460964202881,0.0259,0.0319,0.0539,0.0259,0.0343,0.0476,0.0532,0.0126,0.0111,0.1195,0.1995
HAGN,28,5.530779555439949,0.3132307529449463,0.026,0.0326,0.0547,0.026,0.0345,0.0476,0.0532,0.0129,0.0113,0.122,0.204
HAGN,29,5.305127650499344,0.4059615135192871,0.0265,0.0343,0.0554,0.0265,0.0346,0.0475,0.0529,0.0134,0.0114,0.127,0.206
HAGN,30,5.059639409184456,0.31088781356811523,0.0271,0.0344,0.0555,0.0271,0.0352,0.0489,0.0544,0.0136,0.0115,0.1285,0.21
HAGN,31,4.86381983757019,0.3128945827484131,0.0271,0.0344,0.0577,0.0271,0.036,0.0491,0.055,0.0135,0.0119,0.1275,0.2155
HAGN,32,4.63751320540905,0.3113522529602051,0.0272,0.0349,0.0576,0.0272,0.036,0.0493,0.0552,0.0134,0.0119,0.127,0.214
HAGN,33,4.494584143161774,0.3133678436279297,0.0275,0.0348,0.0586,0.0275,0.0367,0.0503,0.0562,0.0135,0.012,0.1285,0.216
HAGN,34,4.349741443991661,0.3116755485534668,0.0278,0.0351,0.0583,0.0278,0.0367,0.0504,0.0563,0.0138,0.0121,0.1305,0.2175
HAGN,35,4.174380242824554,0.3115825653076172,0.0287,0.0367,0.0587,0.0287,0.0371,0.0517,0.0573,0.0144,0.0121,0.136,0.2175
HAGN,36,4.0304311364889145,0.311093807220459,0.0284,0.0359,0.0595,0.0284,0.0375,0.0516,0.0576,0.0141,0.0123,0.1335,0.2205
HAGN,37,3.879829838871956,0.3108692169189453,0.0288,0.0365,0.0591,0.0288,0.0375,0.0524,0.0582,0.0142,0.0122,0.135,0.219
HAGN,38,3.783538594841957,0.31335973739624023,0.0293,0.038,0.0593,0.0293,0.0377,0.0522,0.058,0.0145,0.0124,0.1375,0.2225
HAGN,39,3.674766853451729,0.3099992275238037,0.0289,0.038,0.059,0.0289,0.0371,0.0508,0.0564,0.0147,0.0121,0.1395,0.2205
