Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.2452113032341,0.26389098167419434,0.0161,0.0225,0.0388,0.0161,0.022,0.0269,0.0306,0.0088,0.0074,0.0855,0.1395
LightGCN,2,15.215660035610199,0.2657744884490967,0.0162,0.0221,0.0377,0.0162,0.022,0.0262,0.0301,0.0078,0.007,0.0775,0.1345
LightGCN,3,15.13493126630783,0.2568352222442627,0.0116,0.0159,0.0276,0.0116,0.016,0.0187,0.0216,0.0054,0.005,0.0535,0.0955
LightGCN,4,14.966326415538788,0.25652289390563965,0.0088,0.0132,0.0186,0.0088,0.0109,0.0134,0.0149,0.0047,0.0036,0.047,0.07
LightGCN,5,14.695486545562744,0.257051944732666,0.0074,0.0109,0.0174,0.0074,0.0097,0.0121,0.0136,0.004,0.0032,0.0405,0.0635
LightGCN,6,14.334113419055939,0.26071667671203613,0.0077,0.0106,0.0164,0.0077,0.01,0.0133,0.015,0.004,0.0033,0.04,0.065
LightGCN,7,13.921730875968933,0.2660338878631592,0.0071,0.01,0.0167,0.0071,0.0098,0.0119,0.0139,0.0037,0.0034,0.0365,0.0665
LightGCN,8,13.47389280796051,0.2568368911743164,0.0083,0.0122,0.0218,0.0083,0.0119,0.0134,0.0159,0.0041,0.0041,0.0405,0.0795
LightGCN,9,12.98352199792862,0.25856566429138184,0.0103,0.014,0.0252,0.0103,0.0144,0.0166,0.0194,0.0048,0.0046,0.0475,0.0895
LightGCN,10,12.473855674266815,0.2550973892211914,0.0129,0.0175,0.032,0.0129,0.0182,0.0211,0.0246,0.0059,0.0056,0.058,0.11
LightGCN,11,11.907703697681427,0.2586021423339844,0.0163,0.0226,0.0361,0.0163,0.0212,0.0261,0.029,0.0072,0.0061,0.072,0.115
LightGCN,12,11.329382538795471,0.2620706558227539,0.0189,0.0253,0.0406,0.0189,0.0245,0.0309,0.0345,0.0082,0.007,0.08,0.133
LightGCN,13,10.76507392525673,0.2650108337402344,0.0211,0.0275,0.0459,0.0211,0.0279,0.035,0.0396,0.0089,0.008,0.086,0.1515
LightGCN,14,10.187739819288254,0.2577667236328125,0.024,0.0318,0.0494,0.024,0.0306,0.0394,0.0438,0.0105,0.0089,0.1025,0.166
LightGCN,15,9.647983193397522,0.2658815383911133,0.026,0.0342,0.0535,0.026,0.0332,0.0428,0.0474,0.0116,0.0097,0.1125,0.1815
LightGCN,16,9.115541070699692,0.25929880142211914,0.0285,0.0377,0.0555,0.0285,0.0353,0.0473,0.0518,0.013,0.0103,0.1245,0.191
LightGCN,17,8.61595231294632,0.26604652404785156,0.0299,0.0403,0.0588,0.0299,0.0369,0.0487,0.053,0.0142,0.0109,0.1355,0.199
LightGCN,18,8.114608943462372,0.2562696933746338,0.031,0.0413,0.0613,0.031,0.0386,0.0506,0.0553,0.0145,0.0114,0.1385,0.2065
LightGCN,19,7.6917756497859955,0.24863600730895996,0.0321,0.0424,0.0615,0.0321,0.0393,0.0537,0.058,0.0151,0.0115,0.145,0.2075
LightGCN,20,7.275531053543091,0.2404787540435791,0.034,0.0448,0.0639,0.034,0.0412,0.0568,0.0611,0.016,0.0119,0.152,0.216
LightGCN,21,6.9196328818798065,0.23947525024414062,0.0345,0.0449,0.0639,0.0345,0.0419,0.0589,0.0633,0.0159,0.0121,0.153,0.218
LightGCN,22,6.545133739709854,0.24141740798950195,0.0356,0.0469,0.0643,0.0356,0.0423,0.0598,0.0641,0.0166,0.0122,0.157,0.219
LightGCN,23,6.2507849633693695,0.23896145820617676,0.0358,0.0466,0.067,0.0358,0.0436,0.0607,0.0655,0.0166,0.0128,0.158,0.229
LightGCN,24,5.913205415010452,0.24275565147399902,0.0366,0.0469,0.0677,0.0366,0.0447,0.0626,0.0677,0.0166,0.0129,0.158,0.2325
LightGCN,25,5.642075061798096,0.24319171905517578,0.0374,0.0477,0.0681,0.0374,0.0454,0.0643,0.0694,0.017,0.0131,0.161,0.2365
LightGCN,26,5.392307355999947,0.24326300621032715,0.0377,0.0483,0.07,0.0377,0.0462,0.0645,0.0701,0.0171,0.0135,0.1615,0.244
LightGCN,27,5.157840833067894,0.2407975196838379,0.0378,0.048,0.0704,0.0378,0.0465,0.0649,0.0707,0.017,0.0136,0.161,0.244
LightGCN,28,4.954442590475082,0.2428905963897705,0.0381,0.0483,0.0713,0.0381,0.047,0.0656,0.0715,0.0171,0.0137,0.161,0.246
LightGCN,29,4.737599283456802,0.2404651641845703,0.0384,0.0489,0.072,0.0384,0.0474,0.0664,0.0723,0.0171,0.0139,0.162,0.2485
LightGCN,30,4.573727935552597,0.24125242233276367,0.0392,0.0498,0.0729,0.0392,0.0481,0.0678,0.0735,0.0178,0.0141,0.167,0.2505
LightGCN,31,4.384512573480606,0.2414860725402832,0.0387,0.0488,0.0738,0.0387,0.0483,0.0674,0.0733,0.0177,0.0142,0.1665,0.2525
LightGCN,32,4.23929026722908,0.23812389373779297,0.0389,0.0489,0.0745,0.0389,0.0487,0.0678,0.0738,0.0178,0.0144,0.1685,0.256
LightGCN,33,4.087528690695763,0.23888921737670898,0.0394,0.0492,0.0756,0.0394,0.0494,0.0686,0.0749,0.0178,0.0144,0.1675,0.2575
LightGCN,34,3.9479032456874847,0.24051380157470703,0.0392,0.0497,0.0752,0.0392,0.049,0.0682,0.0743,0.018,0.0144,0.1695,0.2575
LightGCN,35,3.8208716213703156,0.23821759223937988,0.039,0.0504,0.0758,0.039,0.0489,0.0671,0.0735,0.018,0.0147,0.169,0.262
LightGCN,36,3.703713595867157,0.24002909660339355,0.0395,0.0517,0.0754,0.0395,0.0489,0.0671,0.0734,0.0182,0.0146,0.172,0.262
LightGCN,37,3.579238623380661,0.23977160453796387,0.0396,0.0516,0.0753,0.0396,0.0489,0.0671,0.0733,0.0184,0.0145,0.1725,0.2605
LightGCN,38,3.460474908351898,0.24243998527526855,0.04,0.0526,0.076,0.04,0.0492,0.0673,0.0735,0.0187,0.0146,0.1745,0.2635
LightGCN,39,3.3680956810712814,0.24090170860290527,0.0401,0.053,0.0762,0.0401,0.0492,0.0673,0.0734,0.0186,0.0146,0.1745,0.2625
LightGCN,40,3.2803466618061066,0.33101439476013184,0.0402,0.0531,0.0764,0.0402,0.0493,0.0675,0.0733,0.0191,0.0147,0.1795,0.2635
LightGCN,41,3.1929467022418976,0.2440509796142578,0.0406,0.0541,0.0755,0.0406,0.0492,0.0678,0.0737,0.0192,0.0147,0.1805,0.2645
LightGCN,42,3.111745536327362,0.24215912818908691,0.0407,0.0545,0.0766,0.0407,0.0496,0.0678,0.0739,0.0192,0.0149,0.18,0.2675
LightGCN,43,3.0359462201595306,0.2389523983001709,0.0407,0.0544,0.0771,0.0407,0.0497,0.0678,0.0739,0.0192,0.015,0.1805,0.269
LightGCN,44,2.9553880393505096,0.240370512008667,0.0405,0.0544,0.0773,0.0405,0.0496,0.067,0.073,0.0193,0.0149,0.1815,0.268
LightGCN,45,2.906181812286377,0.23953461647033691,0.0408,0.0547,0.0771,0.0408,0.0496,0.0677,0.0734,0.0196,0.0148,0.184,0.267
