Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.937710762023926,0.31213879585266113,0.012,0.0156,0.0245,0.012,0.0155,0.0219,0.0244,0.0058,0.0049,0.0585,0.0955
HAGN,2,15.893868744373322,0.3165147304534912,0.004,0.0053,0.0088,0.004,0.0053,0.0074,0.0085,0.0024,0.0021,0.024,0.0405
HAGN,3,15.74783205986023,0.405165433883667,0.0031,0.0044,0.0078,0.0031,0.0044,0.0057,0.0067,0.0022,0.0019,0.022,0.038
HAGN,4,15.47517865896225,0.31411290168762207,0.0025,0.0032,0.0076,0.0025,0.0041,0.0051,0.0062,0.0019,0.0018,0.0185,0.0355
HAGN,5,15.155254602432251,0.31316280364990234,0.003,0.0043,0.0066,0.003,0.0041,0.0054,0.0064,0.0019,0.0017,0.0185,0.033
HAGN,6,14.811209678649902,0.31520938873291016,0.0034,0.0048,0.0079,0.0034,0.0048,0.0063,0.0076,0.002,0.002,0.0195,0.0385
HAGN,7,14.40321397781372,0.3205103874206543,0.0046,0.0065,0.0128,0.0046,0.007,0.0083,0.01,0.0028,0.0027,0.0285,0.054
HAGN,8,13.919243395328522,0.31368398666381836,0.0064,0.0092,0.0165,0.0064,0.0092,0.0112,0.0133,0.0037,0.0034,0.037,0.067
HAGN,9,13.357061862945557,0.32063961029052734,0.0086,0.0122,0.0204,0.0086,0.0117,0.0153,0.0176,0.0048,0.0042,0.0485,0.083
HAGN,10,12.7653306722641,0.3159034252166748,0.0106,0.0151,0.026,0.0106,0.0148,0.0187,0.022,0.0058,0.0055,0.0585,0.1075
HAGN,11,12.153671324253082,0.3248622417449951,0.0124,0.0179,0.0282,0.0124,0.0166,0.0211,0.0243,0.007,0.0061,0.0695,0.117
HAGN,12,11.533937335014343,0.3263208866119385,0.0142,0.0191,0.0313,0.0142,0.0188,0.0253,0.0286,0.0076,0.0066,0.075,0.126
HAGN,13,10.915478259325027,0.3142702579498291,0.0153,0.0195,0.0358,0.0153,0.0214,0.0281,0.0324,0.008,0.0075,0.0785,0.1425
HAGN,14,10.322933286428452,0.3231790065765381,0.0162,0.0211,0.0368,0.0162,0.0221,0.0288,0.0331,0.0088,0.0077,0.0845,0.147
HAGN,15,9.736776411533356,0.31600451469421387,0.0176,0.0235,0.039,0.0176,0.0236,0.0311,0.0355,0.0096,0.0082,0.0925,0.1555
HAGN,16,9.18584656715393,0.3132038116455078,0.0189,0.025,0.041,0.0189,0.025,0.0338,0.038,0.0106,0.0088,0.1025,0.1655
HAGN,17,8.707270503044128,0.32532811164855957,0.0196,0.025,0.0427,0.0196,0.0262,0.0361,0.0406,0.0107,0.009,0.1035,0.1695
HAGN,18,8.21374961733818,0.32676076889038086,0.0198,0.0259,0.043,0.0198,0.0263,0.0356,0.0403,0.0108,0.0091,0.1035,0.1725
HAGN,19,7.775399565696716,0.3194561004638672,0.02,0.0255,0.0443,0.02,0.027,0.0367,0.0414,0.011,0.0093,0.106,0.1745
HAGN,20,7.376316636800766,0.3203089237213135,0.0213,0.0278,0.0449,0.0213,0.0277,0.0384,0.0427,0.0118,0.0095,0.114,0.177
HAGN,21,6.995357006788254,0.3254678249359131,0.0215,0.0279,0.0446,0.0215,0.0277,0.0389,0.0432,0.0118,0.0094,0.114,0.176
HAGN,22,6.682876318693161,0.3279421329498291,0.0213,0.0281,0.045,0.0213,0.0277,0.0384,0.0428,0.0119,0.0096,0.1145,0.179
HAGN,23,6.367648214101791,0.3215765953063965,0.0218,0.0282,0.0457,0.0218,0.0285,0.0394,0.044,0.0119,0.0097,0.1145,0.1815
HAGN,24,6.039676368236542,0.32491612434387207,0.0221,0.0289,0.0459,0.0221,0.0286,0.0396,0.0441,0.0121,0.0099,0.117,0.1825
HAGN,25,5.773014023900032,0.3137049674987793,0.0228,0.0295,0.0465,0.0228,0.0293,0.041,0.0455,0.0125,0.0101,0.12,0.187
HAGN,26,5.552198901772499,0.31713151931762695,0.023,0.0295,0.0469,0.023,0.0296,0.0417,0.0463,0.0123,0.0101,0.1185,0.1865
HAGN,27,5.330820471048355,0.3185276985168457,0.0233,0.0297,0.047,0.0233,0.03,0.0423,0.0469,0.0125,0.0101,0.121,0.188
HAGN,28,5.102186635136604,0.325181245803833,0.0228,0.0289,0.0466,0.0228,0.0296,0.0422,0.0469,0.0122,0.0101,0.1185,0.186
HAGN,29,4.881577119231224,0.3255429267883301,0.0232,0.0294,0.0473,0.0232,0.0301,0.0426,0.0474,0.0123,0.0101,0.1185,0.1875
HAGN,30,4.698251187801361,0.4111442565917969,0.0232,0.0298,0.0478,0.0232,0.0303,0.0422,0.0472,0.0122,0.0102,0.1175,0.1895
HAGN,31,4.550026595592499,0.3139481544494629,0.0234,0.03,0.0478,0.0234,0.0303,0.0425,0.0473,0.0124,0.0103,0.1195,0.1895
HAGN,32,4.366877660155296,0.32071852684020996,0.0237,0.0302,0.0481,0.0237,0.0305,0.043,0.0476,0.0125,0.0102,0.12,0.1885
HAGN,33,4.219046458601952,0.3220996856689453,0.0241,0.0304,0.0466,0.0241,0.0305,0.0442,0.0486,0.0124,0.01,0.1185,0.1825
HAGN,34,4.052536815404892,0.3228018283843994,0.0241,0.0309,0.0478,0.0241,0.0306,0.0439,0.0482,0.0126,0.0101,0.1205,0.1845
HAGN,35,3.9399997740983963,0.3124265670776367,0.024,0.0307,0.0486,0.024,0.0308,0.0438,0.0483,0.0126,0.0103,0.1195,0.187
HAGN,36,3.8505828380584717,0.3098640441894531,0.0238,0.0304,0.0483,0.0238,0.0307,0.0433,0.048,0.0124,0.0103,0.1185,0.1875
HAGN,37,3.706606298685074,0.31723952293395996,0.0234,0.0295,0.0486,0.0234,0.0308,0.0426,0.0475,0.0122,0.0103,0.1165,0.1875
HAGN,38,3.5927472710609436,0.31071949005126953,0.0233,0.0288,0.0477,0.0233,0.0304,0.0424,0.047,0.0124,0.0102,0.117,0.186
HAGN,39,3.4895831495523453,0.31140637397766113,0.0234,0.0299,0.0469,0.0234,0.03,0.0422,0.0466,0.0123,0.01,0.1175,0.182
HAGN,40,3.3614268451929092,0.31136274337768555,0.0236,0.0298,0.0477,0.0236,0.0304,0.0428,0.0472,0.0124,0.0101,0.119,0.1835
HAGN,41,3.303755834698677,0.31424474716186523,0.0241,0.0304,0.0487,0.0241,0.031,0.0436,0.0482,0.0125,0.0102,0.1185,0.1875
HAGN,42,3.192203104496002,0.30977821350097656,0.0238,0.0299,0.0482,0.0238,0.0308,0.0431,0.0478,0.0125,0.0102,0.1175,0.186
HAGN,43,3.1508177518844604,0.3167457580566406,0.024,0.0296,0.0486,0.024,0.0312,0.0439,0.0486,0.0124,0.0103,0.1175,0.1885
HAGN,44,3.0470586121082306,0.31688809394836426,0.0239,0.0298,0.0482,0.0239,0.0309,0.0434,0.048,0.0126,0.0102,0.119,0.1875
HAGN,45,2.986750826239586,0.31515026092529297,0.0242,0.03,0.048,0.0242,0.0311,0.0445,0.0489,0.0127,0.0102,0.12,0.1865
HAGN,46,2.9004883244633675,0.31740784645080566,0.0244,0.0297,0.0478,0.0244,0.0313,0.0452,0.0498,0.0126,0.0101,0.1185,0.186
HAGN,47,2.810481086373329,0.31438708305358887,0.0242,0.0303,0.0483,0.0242,0.031,0.0441,0.0487,0.0127,0.0102,0.1195,0.188
HAGN,48,2.7776648700237274,0.3166203498840332,0.0241,0.03,0.0468,0.0241,0.0306,0.0441,0.0486,0.0125,0.0099,0.1165,0.1815
HAGN,49,2.6866068318486214,0.3097519874572754,0.0238,0.029,0.0464,0.0238,0.0305,0.0442,0.0488,0.0122,0.0098,0.114,0.1795
HAGN,50,2.6488184109330177,0.3098444938659668,0.0239,0.0295,0.0479,0.0239,0.0308,0.0442,0.0487,0.0125,0.01,0.1165,0.1825
HAGN,51,2.5901976972818375,0.3095858097076416,0.0244,0.0303,0.0485,0.0244,0.0311,0.0448,0.0491,0.0128,0.01,0.1195,0.183
HAGN,52,2.53381434828043,0.31128430366516113,0.0243,0.0302,0.0478,0.0243,0.0309,0.0446,0.0489,0.0128,0.01,0.1195,0.182
HAGN,53,2.504042327404022,0.3160686492919922,0.0243,0.0309,0.0486,0.0243,0.031,0.0441,0.0485,0.0128,0.0102,0.121,0.187
HAGN,54,2.438364200294018,0.30904626846313477,0.0235,0.0298,0.049,0.0235,0.0308,0.0429,0.0477,0.0124,0.0102,0.1175,0.1875
HAGN,55,2.3899001851677895,0.30941200256347656,0.0244,0.0309,0.0481,0.0244,0.031,0.0449,0.0494,0.0127,0.0101,0.1205,0.185
HAGN,56,2.3510117307305336,0.30950188636779785,0.0242,0.0303,0.0481,0.0242,0.0309,0.0447,0.0493,0.0126,0.0101,0.1185,0.1855
HAGN,57,2.29197446256876,0.404022216796875,0.0242,0.0298,0.0479,0.0242,0.0311,0.0455,0.0502,0.0126,0.0102,0.117,0.1865
HAGN,58,2.2652812972664833,0.308931827545166,0.0241,0.0295,0.0484,0.0241,0.0312,0.0452,0.0501,0.0125,0.0102,0.1165,0.188
HAGN,59,2.2091483995318413,0.3160388469696045,0.0244,0.0309,0.0487,0.0244,0.0312,0.0449,0.0497,0.0127,0.0103,0.118,0.189
HAGN,60,2.1735730171203613,0.3190288543701172,0.0248,0.0317,0.0491,0.0248,0.0315,0.0457,0.0503,0.0129,0.0103,0.1205,0.1895
HAGN,61,2.1227050870656967,0.3256409168243408,0.0245,0.0309,0.049,0.0245,0.0312,0.0456,0.0503,0.0129,0.0103,0.1205,0.189
HAGN,62,2.0966473147273064,0.30892181396484375,0.0242,0.0308,0.0485,0.0242,0.0309,0.0446,0.0493,0.0127,0.0102,0.119,0.1875
HAGN,63,2.0682221725583076,0.30947208404541016,0.0241,0.0301,0.0482,0.0241,0.0309,0.0448,0.0494,0.0127,0.0101,0.118,0.1855
HAGN,64,2.0518942400813103,0.3238656520843506,0.0241,0.0299,0.0481,0.0241,0.0309,0.045,0.0497,0.0125,0.01,0.116,0.1845
HAGN,65,2.007043242454529,0.3144369125366211,0.0237,0.0292,0.0477,0.0237,0.0307,0.0445,0.0493,0.0123,0.01,0.1145,0.185
HAGN,66,1.970207542181015,0.310319185256958,0.0233,0.029,0.0472,0.0233,0.0302,0.0434,0.0482,0.0122,0.01,0.1135,0.184
HAGN,67,1.9534434527158737,0.3110020160675049,0.0235,0.0291,0.0466,0.0235,0.03,0.0438,0.0483,0.0123,0.0098,0.115,0.181
HAGN,68,1.9224452450871468,0.31073689460754395,0.0237,0.0294,0.0461,0.0237,0.0301,0.0445,0.0489,0.0124,0.0098,0.116,0.1805
HAGN,69,1.9105594530701637,0.32198333740234375,0.0236,0.0293,0.0454,0.0236,0.0298,0.0438,0.0482,0.0123,0.0097,0.1155,0.178
HAGN,70,1.8804526180028915,0.3241720199584961,0.0237,0.0293,0.0449,0.0237,0.0297,0.0442,0.0484,0.0123,0.0095,0.1155,0.1745
