Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,204437.44848632812,0.3247823715209961,0.0888,0.1077,0.1546,0.0888,0.1065,0.1514,0.16,0.0382,0.0286,0.3435,0.4665
SimGCL,2,190380.39672851562,0.323319673538208,0.1447,0.1712,0.2387,0.1447,0.1705,0.2402,0.2508,0.0601,0.0438,0.4885,0.6435
SimGCL,3,182149.87573242188,0.32831454277038574,0.1817,0.2145,0.2847,0.1817,0.2092,0.2927,0.3024,0.0756,0.0531,0.5875,0.7265
SimGCL,4,177264.96899414062,0.4122138023376465,0.2094,0.2443,0.3143,0.2094,0.2364,0.3338,0.3426,0.0875,0.0585,0.65,0.7755
SimGCL,5,173762.74755859375,0.3289673328399658,0.2298,0.2665,0.3436,0.2298,0.2599,0.3635,0.3722,0.0955,0.0645,0.6915,0.8145
SimGCL,6,170978.580078125,0.32439637184143066,0.2456,0.2836,0.363,0.2456,0.2771,0.3843,0.393,0.1019,0.0687,0.719,0.841
SimGCL,7,168405.80151367188,0.3272740840911865,0.26,0.2991,0.3762,0.26,0.2905,0.4062,0.4135,0.108,0.0712,0.749,0.8515
SimGCL,8,167532.61645507812,0.32477736473083496,0.2694,0.3101,0.3882,0.2694,0.3007,0.416,0.4232,0.1122,0.0738,0.766,0.8665
SimGCL,9,165820.19091796875,0.32404422760009766,0.2774,0.3187,0.4008,0.2774,0.3101,0.4265,0.4338,0.1154,0.0763,0.774,0.8745
SimGCL,10,164370.74169921875,0.3244361877441406,0.2858,0.3274,0.4093,0.2858,0.3186,0.438,0.4449,0.1191,0.0784,0.788,0.8855
SimGCL,11,163800.05615234375,0.3309473991394043,0.2934,0.3358,0.4166,0.2934,0.3258,0.4482,0.4546,0.1223,0.0799,0.8,0.8895
SimGCL,12,163014.69482421875,0.3291919231414795,0.3,0.3434,0.4242,0.3,0.3324,0.4559,0.4623,0.1254,0.0815,0.8045,0.895
SimGCL,13,161767.41235351562,0.33249855041503906,0.305,0.3493,0.4293,0.305,0.3372,0.462,0.4682,0.1276,0.0826,0.812,0.8985
SimGCL,14,161706.36450195312,0.3321056365966797,0.3096,0.3535,0.4357,0.3096,0.3427,0.4691,0.4756,0.1295,0.0841,0.8155,0.906
SimGCL,15,160747.87084960938,0.33276867866516113,0.3136,0.3579,0.4421,0.3136,0.3473,0.4736,0.48,0.1315,0.0855,0.8195,0.91
SimGCL,16,160051.67431640625,0.3306906223297119,0.3177,0.361,0.4468,0.3177,0.3521,0.4811,0.4871,0.1329,0.0864,0.8265,0.91
SimGCL,17,159739.06591796875,0.3279445171356201,0.3208,0.3646,0.4505,0.3208,0.3554,0.4848,0.4909,0.1343,0.0873,0.828,0.913
SimGCL,18,159829.29174804688,0.331554651260376,0.3242,0.3674,0.4569,0.3242,0.3601,0.4907,0.4966,0.1355,0.0886,0.834,0.917
SimGCL,19,158730.46313476562,0.33945631980895996,0.3268,0.3701,0.4602,0.3268,0.363,0.4945,0.5004,0.1365,0.0893,0.835,0.918
SimGCL,20,158074.97607421875,0.32913994789123535,0.3306,0.3736,0.463,0.3306,0.3665,0.5,0.5056,0.138,0.09,0.839,0.9175
SimGCL,21,158185.65869140625,0.32443714141845703,0.3326,0.3757,0.4662,0.3326,0.3692,0.5026,0.5082,0.1389,0.0908,0.8425,0.9195
SimGCL,22,157867.33740234375,0.32744932174682617,0.335,0.3775,0.4696,0.335,0.3722,0.5073,0.5127,0.1396,0.0914,0.846,0.922
SimGCL,23,157575.62231445312,0.32277512550354004,0.3371,0.3801,0.4723,0.3371,0.3745,0.5091,0.5148,0.1404,0.092,0.844,0.9225
SimGCL,24,157024.58227539062,0.3243227005004883,0.3394,0.3827,0.4739,0.3394,0.3765,0.5119,0.5175,0.1415,0.0924,0.8475,0.9235
SimGCL,25,156656.72924804688,0.32701587677001953,0.3405,0.3835,0.4768,0.3405,0.3785,0.5135,0.519,0.1419,0.0931,0.85,0.9255
SimGCL,26,156946.88232421875,0.3265366554260254,0.3423,0.3864,0.4778,0.3423,0.3795,0.5145,0.52,0.143,0.0932,0.851,0.927
SimGCL,27,156346.00927734375,0.3228435516357422,0.3453,0.3902,0.48,0.3453,0.3818,0.5177,0.5228,0.1448,0.0937,0.856,0.9275
SimGCL,28,156500.52661132812,0.32293701171875,0.348,0.3936,0.4828,0.348,0.3842,0.5208,0.526,0.1459,0.0944,0.857,0.9285
SimGCL,29,155969.10180664062,0.32300567626953125,0.3494,0.3958,0.4849,0.3494,0.3855,0.5207,0.526,0.1469,0.0947,0.8575,0.931
SimGCL,30,155353.16625976562,0.3290998935699463,0.3513,0.3987,0.4873,0.3513,0.3871,0.5216,0.5268,0.148,0.0952,0.8585,0.9315
SimGCL,31,155234.8984375,0.4098362922668457,0.3529,0.4005,0.4885,0.3529,0.3884,0.5232,0.5283,0.1491,0.0954,0.861,0.933
SimGCL,32,155335.3017578125,0.32459354400634766,0.3546,0.4026,0.4904,0.3546,0.3898,0.5256,0.5304,0.15,0.0957,0.8645,0.9335
SimGCL,33,155098.86694335938,0.3239104747772217,0.3557,0.4034,0.4925,0.3557,0.3914,0.5271,0.5319,0.1504,0.0962,0.865,0.934
SimGCL,34,155224.48583984375,0.32802796363830566,0.3567,0.4038,0.4938,0.3567,0.3929,0.5282,0.5329,0.1505,0.0965,0.866,0.9335
SimGCL,35,154727.984375,0.3264744281768799,0.359,0.4065,0.4952,0.359,0.3946,0.5312,0.5358,0.1517,0.0967,0.8685,0.9345
SimGCL,36,154431.27075195312,0.32407212257385254,0.3597,0.407,0.4971,0.3597,0.3959,0.5313,0.5359,0.1518,0.0972,0.869,0.935
SimGCL,37,154409.19067382812,0.32532358169555664,0.3611,0.4086,0.4983,0.3611,0.3971,0.5335,0.5383,0.1526,0.0975,0.869,0.9365
SimGCL,38,154561.32788085938,0.3235931396484375,0.3624,0.4099,0.4994,0.3624,0.3982,0.5346,0.5394,0.1532,0.0976,0.8695,0.939
SimGCL,39,154380.5654296875,0.32343411445617676,0.3634,0.4106,0.4997,0.3634,0.3991,0.5361,0.541,0.1536,0.0977,0.87,0.94
SimGCL,40,154270.30859375,0.3248252868652344,0.3642,0.4114,0.5011,0.3642,0.4003,0.5371,0.5419,0.1537,0.0982,0.871,0.94
SimGCL,41,154364.37524414062,0.32744336128234863,0.365,0.4117,0.5021,0.365,0.4014,0.5385,0.5433,0.1539,0.0983,0.872,0.9405
SimGCL,42,153920.86352539062,0.32476162910461426,0.3657,0.4129,0.5024,0.3657,0.4018,0.5387,0.5435,0.1544,0.0984,0.8725,0.9405
SimGCL,43,153892.9736328125,0.32378149032592773,0.3662,0.4124,0.5036,0.3662,0.4029,0.5397,0.5445,0.1542,0.0987,0.8725,0.9395
SimGCL,44,153990.677734375,0.3240950107574463,0.367,0.4139,0.5039,0.367,0.4034,0.5402,0.5448,0.1548,0.0988,0.874,0.9385
SimGCL,45,153627.16479492188,0.32869982719421387,0.3676,0.4147,0.5053,0.3676,0.4042,0.5397,0.5445,0.1551,0.099,0.8735,0.9405
SimGCL,46,153276.13110351562,0.3403749465942383,0.3687,0.4157,0.5054,0.3687,0.4049,0.5418,0.5465,0.1556,0.0991,0.874,0.94
SimGCL,47,153334.67993164062,0.3432924747467041,0.3693,0.4158,0.5064,0.3693,0.4059,0.5427,0.5474,0.1557,0.0994,0.8755,0.9395
SimGCL,48,153575.7412109375,0.33057188987731934,0.3697,0.4167,0.5065,0.3697,0.406,0.5419,0.5464,0.1561,0.0994,0.877,0.94
SimGCL,49,153303.166015625,0.3305017948150635,0.37,0.4179,0.5078,0.37,0.4064,0.5411,0.5456,0.1564,0.0997,0.8785,0.9405
SimGCL,50,153042.98901367188,0.3245551586151123,0.3717,0.4203,0.5088,0.3717,0.4077,0.5438,0.5482,0.1571,0.1,0.879,0.9415
SimGCL,51,153315.80712890625,0.32425522804260254,0.3718,0.4205,0.5098,0.3718,0.4081,0.5434,0.5481,0.1572,0.1002,0.878,0.942
SimGCL,52,152739.45288085938,0.32730889320373535,0.3728,0.4211,0.5106,0.3728,0.4093,0.5453,0.5499,0.1575,0.1004,0.8795,0.943
SimGCL,53,152991.62475585938,0.3241543769836426,0.3734,0.4214,0.512,0.3734,0.4103,0.5462,0.5507,0.1575,0.1006,0.8805,0.943
SimGCL,54,152497.42407226562,0.3232250213623047,0.3738,0.4222,0.5136,0.3738,0.411,0.5456,0.5501,0.158,0.1011,0.882,0.9455
SimGCL,55,153050.36352539062,0.3270561695098877,0.374,0.4223,0.5142,0.374,0.4114,0.5467,0.5511,0.1579,0.1013,0.882,0.9445
SimGCL,56,152717.275390625,0.3267531394958496,0.3752,0.4234,0.5148,0.3752,0.4125,0.5483,0.5529,0.1584,0.1014,0.882,0.9465
SimGCL,57,152940.86889648438,0.32398557662963867,0.3754,0.4241,0.5154,0.3754,0.4127,0.5477,0.5523,0.1586,0.1016,0.882,0.9465
SimGCL,58,152890.66772460938,0.4216146469116211,0.3762,0.4245,0.5166,0.3762,0.4138,0.5494,0.554,0.1587,0.1018,0.8825,0.947
SimGCL,59,152891.68383789062,0.3251454830169678,0.3764,0.4253,0.5179,0.3764,0.4142,0.5488,0.5536,0.159,0.1022,0.8805,0.9485
SimGCL,60,152690.45654296875,0.32378697395324707,0.3773,0.4265,0.5181,0.3773,0.4147,0.5499,0.5544,0.1595,0.1021,0.8845,0.9485
SimGCL,61,152242.56811523438,0.32678866386413574,0.378,0.427,0.5192,0.378,0.4156,0.5507,0.5552,0.1598,0.1025,0.885,0.95
SimGCL,62,152501.90185546875,0.324512243270874,0.3781,0.4274,0.5198,0.3781,0.4157,0.5509,0.5554,0.1601,0.1026,0.885,0.95
SimGCL,63,151978.40209960938,0.3232421875,0.3783,0.4278,0.5205,0.3783,0.4162,0.5506,0.5552,0.1601,0.1027,0.8845,0.9505
SimGCL,64,152384.2841796875,0.32517457008361816,0.3788,0.4279,0.521,0.3788,0.4169,0.5519,0.5563,0.1602,0.1029,0.8865,0.949
SimGCL,65,152117.2978515625,0.32473206520080566,0.3793,0.429,0.5225,0.3793,0.4174,0.5513,0.5556,0.1607,0.1032,0.889,0.951
SimGCL,66,152157.18920898438,0.3279130458831787,0.38,0.429,0.5229,0.38,0.4182,0.5528,0.5571,0.1608,0.1032,0.8885,0.9505
SimGCL,67,152198.81591796875,0.32414793968200684,0.3799,0.4291,0.5239,0.3799,0.4186,0.5521,0.5566,0.1608,0.1035,0.888,0.953
SimGCL,68,151887.39208984375,0.32581186294555664,0.3805,0.4301,0.524,0.3805,0.4187,0.5521,0.5566,0.1612,0.1035,0.8875,0.9515
SimGCL,69,151788.46435546875,0.32412219047546387,0.3812,0.4306,0.5252,0.3812,0.4197,0.5535,0.558,0.1613,0.1037,0.888,0.953
SimGCL,70,151968.06030273438,0.3242790699005127,0.3814,0.4313,0.5251,0.3814,0.4196,0.5534,0.558,0.1616,0.1036,0.888,0.9535
SimGCL,71,151587.66918945312,0.3277294635772705,0.3823,0.4331,0.5261,0.3823,0.4201,0.5533,0.5578,0.1622,0.1038,0.8875,0.9525
SimGCL,72,152043.8056640625,0.3243739604949951,0.382,0.4326,0.5269,0.382,0.4203,0.5524,0.5569,0.1623,0.104,0.8885,0.9535
SimGCL,73,151468.03076171875,0.32231831550598145,0.3827,0.4329,0.5273,0.3827,0.4211,0.5542,0.5588,0.1624,0.1041,0.888,0.9545
SimGCL,74,151531.1630859375,0.3291168212890625,0.3827,0.4336,0.5275,0.3827,0.4209,0.5531,0.5577,0.1626,0.1041,0.889,0.954
SimGCL,75,151487.21166992188,0.32435059547424316,0.3836,0.4343,0.5278,0.3836,0.4217,0.5547,0.5593,0.1629,0.1042,0.8895,0.955
SimGCL,76,151913.68237304688,0.32776498794555664,0.384,0.4351,0.5282,0.384,0.422,0.5544,0.559,0.163,0.1042,0.8885,0.9535
SimGCL,77,151425.87817382812,0.327974796295166,0.3845,0.4357,0.5282,0.3845,0.4222,0.5547,0.5593,0.1633,0.1042,0.8895,0.9535
SimGCL,78,151574.60791015625,0.32413554191589355,0.3854,0.4364,0.5295,0.3854,0.4231,0.5561,0.5605,0.1638,0.1045,0.891,0.954
SimGCL,79,151574.9892578125,0.32360100746154785,0.3855,0.4363,0.53,0.3855,0.4236,0.5569,0.5615,0.1637,0.1045,0.89,0.9545
SimGCL,80,151754.71533203125,0.3316950798034668,0.3856,0.4367,0.531,0.3856,0.4239,0.5561,0.5605,0.1638,0.1047,0.8925,0.9545
SimGCL,81,151566.5830078125,0.32442140579223633,0.3864,0.437,0.5308,0.3864,0.4245,0.558,0.5624,0.1639,0.1047,0.893,0.955
SimGCL,82,151632.1728515625,0.32391786575317383,0.3871,0.438,0.531,0.3871,0.4248,0.5583,0.5626,0.1644,0.1047,0.8925,0.954
SimGCL,83,150976.57836914062,0.32480621337890625,0.3879,0.4386,0.5314,0.3879,0.4257,0.5595,0.5636,0.1646,0.1049,0.895,0.955
SimGCL,84,151061.60571289062,0.3255956172943115,0.3886,0.4395,0.532,0.3886,0.4262,0.5601,0.5643,0.165,0.105,0.8955,0.956
SimGCL,85,150990.32495117188,0.412233829498291,0.3885,0.4389,0.5321,0.3885,0.4264,0.5606,0.5647,0.1647,0.105,0.895,0.954
SimGCL,86,151381.28369140625,0.3279564380645752,0.3886,0.439,0.5329,0.3886,0.4269,0.5602,0.5645,0.1647,0.1052,0.894,0.955
SimGCL,87,151236.44799804688,0.32941460609436035,0.3892,0.4398,0.5328,0.3892,0.4271,0.5608,0.5649,0.165,0.1051,0.8955,0.9545
SimGCL,88,150990.03051757812,0.32498812675476074,0.39,0.441,0.5338,0.39,0.4277,0.5617,0.5657,0.1656,0.1054,0.897,0.955
SimGCL,89,151421.68676757812,0.3245065212249756,0.39,0.4406,0.5344,0.39,0.4282,0.5619,0.566,0.1654,0.1055,0.8965,0.9555
SimGCL,90,150793.19580078125,0.32685422897338867,0.3902,0.4406,0.5341,0.3902,0.4284,0.5622,0.5663,0.1653,0.1054,0.896,0.955
SimGCL,91,150662.5009765625,0.3241722583770752,0.391,0.441,0.5354,0.391,0.4294,0.5633,0.5675,0.1657,0.1057,0.896,0.9565
SimGCL,92,150721.3916015625,0.32417726516723633,0.3914,0.4416,0.5345,0.3914,0.4292,0.5636,0.5676,0.1659,0.1055,0.898,0.9555
