Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.937976658344269,0.25247740745544434,0.0239,0.0318,0.0471,0.0239,0.0297,0.0413,0.0453,0.0119,0.0092,0.115,0.1745
LightGCN,2,15.896865606307983,0.250826358795166,0.027,0.0366,0.0594,0.027,0.0354,0.0456,0.051,0.0132,0.0112,0.1265,0.207
LightGCN,3,15.791133880615234,0.256699800491333,0.0275,0.0356,0.0607,0.0275,0.0365,0.0463,0.0516,0.0128,0.0109,0.122,0.2
LightGCN,4,15.575194835662842,0.24895787239074707,0.0247,0.0324,0.0567,0.0247,0.0335,0.0405,0.0458,0.0119,0.0105,0.113,0.193
LightGCN,5,15.23221641778946,0.24908018112182617,0.0214,0.0285,0.0513,0.0214,0.0297,0.0358,0.0409,0.0103,0.0094,0.098,0.173
LightGCN,6,14.75933289527893,0.24786090850830078,0.021,0.0284,0.0482,0.021,0.0282,0.0346,0.039,0.0104,0.0089,0.1015,0.1665
LightGCN,7,14.180883526802063,0.24844074249267578,0.0212,0.0291,0.0473,0.0212,0.0279,0.0346,0.0388,0.0102,0.0085,0.099,0.1595
LightGCN,8,13.540724158287048,0.24943256378173828,0.0216,0.0291,0.0497,0.0216,0.0292,0.036,0.0408,0.0103,0.0091,0.098,0.172
LightGCN,9,12.871165871620178,0.24922609329223633,0.0223,0.0295,0.0518,0.0223,0.0306,0.0385,0.0437,0.0108,0.0097,0.1035,0.1795
LightGCN,10,12.179555177688599,0.2483360767364502,0.0242,0.0332,0.0549,0.0242,0.0322,0.0403,0.0452,0.0122,0.0102,0.115,0.1865
LightGCN,11,11.501055836677551,0.2491605281829834,0.0247,0.0328,0.0583,0.0247,0.0339,0.0412,0.0468,0.0123,0.0108,0.116,0.197
LightGCN,12,10.856288313865662,0.24947190284729004,0.026,0.0348,0.0587,0.026,0.0349,0.0431,0.0486,0.0131,0.0112,0.123,0.2025
LightGCN,13,10.234245389699936,0.2497398853302002,0.0272,0.0364,0.0617,0.0272,0.0367,0.0451,0.0509,0.014,0.0121,0.1305,0.2145
LightGCN,14,9.679732203483582,0.2517380714416504,0.0288,0.0386,0.0633,0.0288,0.038,0.0483,0.0538,0.0148,0.0122,0.1405,0.218
LightGCN,15,9.17140057682991,0.2526566982269287,0.0303,0.0413,0.0642,0.0303,0.0387,0.0501,0.0549,0.0161,0.0125,0.1515,0.221
LightGCN,16,8.676666259765625,0.2493140697479248,0.0309,0.0414,0.0655,0.0309,0.0398,0.0523,0.0575,0.0161,0.0128,0.1515,0.2255
LightGCN,17,8.279864072799683,0.24878740310668945,0.0324,0.0429,0.0664,0.0324,0.0412,0.0555,0.0607,0.0166,0.0131,0.1555,0.232
LightGCN,18,7.918589919805527,0.2499384880065918,0.033,0.0431,0.0673,0.033,0.0422,0.0569,0.0625,0.0167,0.0133,0.1565,0.2365
LightGCN,19,7.596281081438065,0.25032925605773926,0.0331,0.0427,0.0691,0.0331,0.0428,0.0572,0.063,0.0169,0.0137,0.1555,0.241
LightGCN,20,7.333457708358765,0.2511482238769531,0.034,0.0436,0.0693,0.034,0.0434,0.0591,0.0647,0.0173,0.0137,0.1605,0.2415
LightGCN,21,7.055626749992371,0.34648966789245605,0.0345,0.0445,0.0692,0.0345,0.0435,0.0605,0.0658,0.0177,0.0137,0.1645,0.243
LightGCN,22,6.805523127317429,0.25076913833618164,0.0342,0.0441,0.0689,0.0342,0.0434,0.0604,0.0659,0.0175,0.0138,0.1625,0.242
LightGCN,23,6.597951710224152,0.25046801567077637,0.0349,0.0443,0.0689,0.0349,0.0441,0.0623,0.0681,0.0178,0.014,0.164,0.2485
LightGCN,24,6.418915033340454,0.25540781021118164,0.035,0.0443,0.0706,0.035,0.0447,0.0628,0.0685,0.0178,0.0142,0.165,0.25
LightGCN,25,6.256570756435394,0.2592353820800781,0.0349,0.0439,0.0712,0.0349,0.045,0.063,0.069,0.0175,0.0143,0.162,0.25
LightGCN,26,6.116766482591629,0.2597920894622803,0.0347,0.0439,0.0722,0.0347,0.0452,0.0626,0.0689,0.0174,0.0144,0.1615,0.2525
LightGCN,27,5.9822505712509155,0.2591078281402588,0.0349,0.0445,0.0723,0.0349,0.0452,0.0621,0.0683,0.0176,0.0144,0.1645,0.2545
LightGCN,28,5.8312744200229645,0.2610180377960205,0.0361,0.0473,0.0731,0.0361,0.0455,0.0631,0.0686,0.0186,0.0145,0.173,0.2555
LightGCN,29,5.753259062767029,0.2590465545654297,0.0357,0.0469,0.0717,0.0357,0.045,0.0623,0.0681,0.0184,0.0145,0.1705,0.256
LightGCN,30,5.6446209996938705,0.25542426109313965,0.0358,0.0465,0.0741,0.0358,0.0459,0.0625,0.0685,0.0183,0.0148,0.17,0.2605
LightGCN,31,5.532367080450058,0.25506591796875,0.0358,0.0469,0.0739,0.0358,0.0458,0.0625,0.0686,0.0184,0.0148,0.171,0.262
LightGCN,32,5.472437396645546,0.2587583065032959,0.0352,0.0455,0.0744,0.0352,0.046,0.0622,0.0688,0.0178,0.0149,0.1655,0.2615
LightGCN,33,5.381868422031403,0.253833532333374,0.0357,0.0471,0.074,0.0357,0.0456,0.0619,0.0678,0.0184,0.0148,0.1705,0.26
LightGCN,34,5.328420162200928,0.2498173713684082,0.0356,0.047,0.0735,0.0356,0.0455,0.0618,0.0678,0.0181,0.0147,0.169,0.2575
LightGCN,35,5.247027739882469,0.24993205070495605,0.0357,0.0471,0.073,0.0357,0.0454,0.0623,0.0682,0.0181,0.0145,0.1695,0.2565
LightGCN,36,5.17980720102787,0.24995064735412598,0.0357,0.047,0.0738,0.0357,0.0456,0.0622,0.0683,0.0182,0.0147,0.17,0.259
LightGCN,37,5.150329098105431,0.25000739097595215,0.0356,0.0463,0.0741,0.0356,0.046,0.0629,0.0695,0.0177,0.0146,0.165,0.259
LightGCN,38,5.078100875020027,0.2503540515899658,0.0359,0.0473,0.075,0.0359,0.0461,0.0626,0.0687,0.0182,0.0147,0.17,0.2595
LightGCN,39,5.031933575868607,0.2494959831237793,0.0356,0.0468,0.0755,0.0356,0.0462,0.0622,0.0686,0.0182,0.0148,0.1695,0.262
