Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,1502912.779296875,1.563035249710083,0.0515,0.0652,0.0982,0.0515,0.064,0.0852,0.0922,0.022,0.0176,0.2032,0.3052
SimGCL,2,1243636.1875,1.5644476413726807,0.0704,0.0881,0.1308,0.0704,0.0864,0.1154,0.1237,0.0297,0.0231,0.2688,0.3894
SimGCL,3,1194657.396484375,1.7282567024230957,0.0853,0.1065,0.1538,0.0853,0.1028,0.1383,0.1468,0.0358,0.0269,0.3172,0.442
SimGCL,4,1163006.521484375,1.5668365955352783,0.0952,0.1185,0.1666,0.0952,0.1133,0.1531,0.1617,0.0395,0.0292,0.3466,0.4712
SimGCL,5,1140457.005859375,1.566054105758667,0.1041,0.1288,0.178,0.1041,0.1226,0.1666,0.1753,0.043,0.0312,0.3718,0.4982
SimGCL,6,1124521.8984375,1.5608024597167969,0.1104,0.136,0.1875,0.1104,0.1299,0.1762,0.1853,0.0453,0.033,0.3878,0.5214
SimGCL,7,1110723.4345703125,1.5589683055877686,0.1163,0.1425,0.1966,0.1163,0.1367,0.1858,0.1951,0.0474,0.0345,0.4022,0.5354
SimGCL,8,1097786.2822265625,1.5597665309906006,0.1226,0.1498,0.2053,0.1226,0.1435,0.1953,0.2049,0.0498,0.036,0.4168,0.5548
SimGCL,9,1088886.3193359375,1.5684726238250732,0.128,0.1564,0.2128,0.128,0.1492,0.2033,0.213,0.0521,0.0374,0.429,0.5698
SimGCL,10,1078328.54296875,1.7048859596252441,0.1322,0.1606,0.219,0.1322,0.1542,0.2105,0.2201,0.0536,0.0385,0.442,0.5822
SimGCL,11,1071652.6376953125,1.5666821002960205,0.1368,0.1658,0.2239,0.1368,0.1588,0.2176,0.227,0.0553,0.0393,0.4536,0.5906
SimGCL,12,1064091.7705078125,1.56337571144104,0.1412,0.1711,0.228,0.1412,0.1628,0.2239,0.2333,0.0569,0.0401,0.4624,0.597
SimGCL,13,1061265.72265625,1.5625319480895996,0.1448,0.1749,0.2328,0.1448,0.1668,0.2291,0.2384,0.0585,0.0411,0.4736,0.6082
SimGCL,14,1056905.291015625,1.569300651550293,0.1481,0.1791,0.2382,0.1481,0.1706,0.2339,0.2434,0.0599,0.0422,0.4824,0.6208
SimGCL,15,1051342.9248046875,1.5591011047363281,0.1517,0.1828,0.2418,0.1517,0.1742,0.2397,0.249,0.0612,0.0428,0.4906,0.6262
SimGCL,16,1046374.3466796875,1.5579414367675781,0.1549,0.1854,0.2453,0.1549,0.1778,0.2443,0.2538,0.0622,0.0435,0.4956,0.6324
SimGCL,17,1041195.7490234375,1.6884169578552246,0.158,0.1892,0.2506,0.158,0.1815,0.2488,0.2582,0.0635,0.0445,0.505,0.642
SimGCL,18,1040365.556640625,1.564448356628418,0.1609,0.1926,0.2543,0.1609,0.1846,0.2529,0.2623,0.0645,0.0452,0.5122,0.6488
SimGCL,19,1036582.40625,1.5686347484588623,0.1629,0.1946,0.2582,0.1629,0.1872,0.2559,0.2654,0.0654,0.046,0.518,0.654
SimGCL,20,1031281.59765625,1.5631492137908936,0.1652,0.1972,0.2616,0.1652,0.1899,0.2592,0.2688,0.0663,0.0466,0.5238,0.6616
SimGCL,21,1031071.3544921875,1.5643775463104248,0.1679,0.2,0.2644,0.1679,0.1925,0.2634,0.2729,0.0674,0.047,0.5296,0.6666
SimGCL,22,1026089.2578125,1.568037986755371,0.1701,0.2019,0.2681,0.1701,0.1955,0.267,0.2767,0.0681,0.0478,0.5334,0.6724
SimGCL,23,1024938.052734375,1.5732550621032715,0.1727,0.2048,0.2718,0.1727,0.1983,0.2706,0.2802,0.0693,0.0485,0.541,0.6786
SimGCL,24,1021481.33203125,1.7021698951721191,0.1748,0.2072,0.2754,0.1748,0.2008,0.2735,0.283,0.0701,0.0491,0.5456,0.6822
SimGCL,25,1021057.5078125,1.5657052993774414,0.1768,0.2088,0.2774,0.1768,0.2031,0.2768,0.2865,0.0707,0.0495,0.5474,0.6854
SimGCL,26,1018728.2978515625,1.5565779209136963,0.1786,0.2109,0.2793,0.1786,0.2049,0.2792,0.289,0.0713,0.0499,0.551,0.6894
SimGCL,27,1015688.1494140625,1.5637915134429932,0.1809,0.2134,0.2828,0.1809,0.2075,0.2825,0.2921,0.0722,0.0505,0.5566,0.693
SimGCL,28,1015177.0107421875,1.5609307289123535,0.183,0.2159,0.2854,0.183,0.2096,0.2855,0.2949,0.0731,0.051,0.563,0.6972
SimGCL,29,1012935.9921875,1.558774471282959,0.1848,0.2179,0.2884,0.1848,0.2119,0.2883,0.2979,0.0739,0.0516,0.567,0.704
SimGCL,30,1010609.8779296875,1.5654714107513428,0.1866,0.2201,0.29,0.1866,0.2135,0.2908,0.3003,0.0746,0.0519,0.5708,0.7062
SimGCL,31,1009174.8486328125,1.7022619247436523,0.1887,0.2232,0.2919,0.1887,0.2151,0.2932,0.3024,0.0757,0.0523,0.5776,0.7112
SimGCL,32,1007595.42578125,1.566798210144043,0.1902,0.2252,0.2933,0.1902,0.2164,0.2952,0.3043,0.0765,0.0525,0.5816,0.7128
SimGCL,33,1006396.5654296875,1.5630171298980713,0.192,0.2267,0.2949,0.192,0.2182,0.2985,0.3075,0.0772,0.0528,0.5856,0.7146
SimGCL,34,1006088.767578125,1.561011552810669,0.1931,0.2279,0.2971,0.1931,0.2198,0.2998,0.309,0.0774,0.0532,0.5864,0.7188
SimGCL,35,1005669.30078125,1.5579910278320312,0.1945,0.2295,0.2993,0.1945,0.2214,0.3018,0.3111,0.078,0.0537,0.5892,0.7228
SimGCL,36,1001492.935546875,1.5673801898956299,0.1958,0.2311,0.3014,0.1958,0.2229,0.3034,0.3126,0.0786,0.0541,0.5934,0.7264
SimGCL,37,1001466.56640625,1.562690258026123,0.1974,0.2328,0.3034,0.1974,0.2247,0.3061,0.3152,0.0792,0.0545,0.5976,0.73
SimGCL,38,1000387.416015625,1.6946465969085693,0.1979,0.233,0.305,0.1979,0.2259,0.3071,0.3165,0.0791,0.0549,0.5978,0.7332
SimGCL,39,999154.7353515625,1.5663025379180908,0.1996,0.2353,0.307,0.1996,0.2274,0.3092,0.3185,0.0799,0.0553,0.6016,0.7354
SimGCL,40,997378.8125,1.564662218093872,0.2004,0.236,0.308,0.2004,0.2284,0.3107,0.3201,0.0801,0.0555,0.6008,0.7352
SimGCL,41,997187.0615234375,1.5708293914794922,0.2017,0.2374,0.3101,0.2017,0.23,0.3123,0.3217,0.0807,0.0558,0.6036,0.738
SimGCL,42,996340.87890625,1.5677316188812256,0.2029,0.2387,0.3116,0.2029,0.2312,0.3144,0.3239,0.0812,0.0561,0.6048,0.7414
SimGCL,43,996692.654296875,1.567997694015503,0.2036,0.2391,0.3131,0.2036,0.2324,0.3157,0.3256,0.0813,0.0565,0.6044,0.744
SimGCL,44,994040.15234375,1.5673372745513916,0.205,0.2411,0.3142,0.205,0.2335,0.3175,0.3271,0.082,0.0566,0.6088,0.746
SimGCL,45,993358.681640625,1.7097041606903076,0.2059,0.2415,0.3158,0.2059,0.2348,0.3189,0.3287,0.0821,0.0569,0.6094,0.7494
SimGCL,46,991963.38671875,1.564563512802124,0.2071,0.2431,0.3173,0.2071,0.2359,0.3204,0.3299,0.0828,0.0573,0.6144,0.7508
SimGCL,47,991948.3095703125,1.5591681003570557,0.2077,0.2436,0.3179,0.2077,0.2366,0.3218,0.3314,0.0829,0.0574,0.6142,0.752
SimGCL,48,991568.6455078125,1.5609471797943115,0.2086,0.2452,0.319,0.2086,0.2373,0.3227,0.3322,0.0835,0.0575,0.617,0.7526
SimGCL,49,989891.7177734375,1.5628063678741455,0.2094,0.2455,0.3203,0.2094,0.2384,0.3241,0.3336,0.0837,0.0578,0.6182,0.7538
SimGCL,50,989053.9599609375,1.5666236877441406,0.2102,0.2473,0.3212,0.2102,0.2389,0.3244,0.3338,0.0844,0.058,0.6214,0.7562
SimGCL,51,989495.0,1.5639338493347168,0.2109,0.2482,0.3229,0.2109,0.2399,0.3253,0.3346,0.0848,0.0583,0.624,0.7572
SimGCL,52,987100.3037109375,1.7107412815093994,0.2119,0.2492,0.3231,0.2119,0.2406,0.3268,0.336,0.0852,0.0584,0.6254,0.758
SimGCL,53,987920.8642578125,1.5610687732696533,0.2127,0.2506,0.3242,0.2127,0.2412,0.3271,0.3363,0.0857,0.0586,0.628,0.76
SimGCL,54,985656.626953125,1.5688188076019287,0.2135,0.2506,0.3246,0.2135,0.2422,0.3293,0.3385,0.0858,0.0586,0.628,0.7594
SimGCL,55,984612.677734375,1.5674407482147217,0.214,0.2514,0.3254,0.214,0.2427,0.3294,0.3387,0.0861,0.0588,0.6294,0.7612
SimGCL,56,985077.505859375,1.5606906414031982,0.215,0.2522,0.3267,0.215,0.2439,0.3311,0.3404,0.0863,0.0591,0.63,0.7636
SimGCL,57,985066.443359375,1.5564632415771484,0.2157,0.2532,0.3276,0.2157,0.2445,0.3323,0.3415,0.0867,0.0592,0.6316,0.7634
SimGCL,58,983553.44921875,1.570909023284912,0.2162,0.2537,0.3285,0.2162,0.2452,0.3327,0.3419,0.0869,0.0594,0.634,0.7658
SimGCL,59,983951.08984375,1.695310115814209,0.2173,0.2547,0.3291,0.2173,0.2461,0.3349,0.3442,0.0873,0.0595,0.6344,0.7676
SimGCL,60,982387.3564453125,1.567542552947998,0.2175,0.2549,0.3291,0.2175,0.2463,0.3353,0.3446,0.0874,0.0594,0.6358,0.768
SimGCL,61,982101.7529296875,1.560509443283081,0.218,0.2558,0.3297,0.218,0.2467,0.3352,0.3445,0.0876,0.0596,0.6358,0.7674
