Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,177.06132078170776,3.8950002193450928,0.0058,0.0085,0.0158,0.0058,0.0085,0.0093,0.0112,0.003,0.0029,0.0296,0.0568
MHCN,2,174.42281556129456,3.8787355422973633,0.016,0.0225,0.036,0.016,0.0209,0.0239,0.0271,0.0074,0.0062,0.0728,0.1192
MHCN,3,166.7550446987152,3.9983725547790527,0.0602,0.0768,0.111,0.0602,0.0731,0.0968,0.1042,0.0254,0.0195,0.231,0.338
MHCN,4,157.94921803474426,3.8786780834198,0.0805,0.0989,0.1396,0.0805,0.0958,0.1325,0.1408,0.0331,0.0248,0.2944,0.4148
MHCN,5,151.21876215934753,3.880129337310791,0.0969,0.1167,0.1613,0.0969,0.1138,0.1618,0.1705,0.0395,0.0288,0.344,0.471
MHCN,6,148.31363701820374,3.887913227081299,0.0987,0.1196,0.1698,0.0987,0.1175,0.162,0.1713,0.0411,0.0304,0.3576,0.4906
MHCN,7,146.83867263793945,3.888016939163208,0.1064,0.1276,0.1772,0.1064,0.1251,0.179,0.1873,0.0439,0.0322,0.3838,0.5058
MHCN,8,145.31320118904114,3.882612705230713,0.1069,0.1282,0.1798,0.1069,0.1266,0.1791,0.1885,0.0441,0.0327,0.381,0.518
MHCN,9,144.54882216453552,3.8881824016571045,0.1116,0.1345,0.1868,0.1116,0.1313,0.1857,0.195,0.0467,0.0339,0.4006,0.5368
MHCN,10,144.02395915985107,4.026985168457031,0.1084,0.132,0.1805,0.1084,0.1269,0.1792,0.1881,0.0455,0.0327,0.3908,0.5196
MHCN,11,144.1879358291626,3.8833167552948,0.1151,0.139,0.1901,0.1151,0.1344,0.1913,0.2001,0.0486,0.0349,0.4124,0.5412
MHCN,12,142.9300971031189,3.8871006965637207,0.1162,0.1413,0.1895,0.1162,0.1346,0.1921,0.2007,0.0494,0.0348,0.4158,0.5422
MHCN,13,143.05841517448425,3.886077880859375,0.115,0.1397,0.1909,0.115,0.1345,0.1915,0.2004,0.0488,0.0349,0.4188,0.5486
MHCN,14,142.8761785030365,3.8863892555236816,0.1077,0.1301,0.1809,0.1077,0.127,0.1803,0.1897,0.0449,0.0329,0.3848,0.5208
MHCN,15,141.9966902732849,3.8802762031555176,0.1139,0.135,0.1893,0.1139,0.1346,0.1935,0.203,0.0473,0.0349,0.404,0.5406
MHCN,16,141.70418858528137,3.882089138031006,0.106,0.1279,0.178,0.106,0.1249,0.1769,0.1862,0.045,0.0327,0.3844,0.5188
MHCN,17,141.8358211517334,3.885580539703369,0.1137,0.1358,0.1918,0.1137,0.1349,0.1917,0.2012,0.0485,0.0356,0.4144,0.551
MHCN,18,141.51220536231995,4.008899927139282,0.1111,0.133,0.1854,0.1111,0.1308,0.1875,0.1966,0.0471,0.0343,0.4038,0.5372
MHCN,19,140.6882598400116,3.8911421298980713,0.1072,0.1287,0.1816,0.1072,0.127,0.181,0.1901,0.0457,0.0334,0.3924,0.525
MHCN,20,140.5661587715149,3.894357919692993,0.1123,0.1337,0.1857,0.1123,0.1321,0.1902,0.1995,0.048,0.0348,0.407,0.5414
MHCN,21,140.84564685821533,3.8801472187042236,0.1133,0.1345,0.1884,0.1133,0.1336,0.1926,0.2014,0.0482,0.0351,0.41,0.5384
MHCN,22,140.4820647239685,3.880918264389038,0.1084,0.1305,0.1824,0.1084,0.1284,0.1812,0.191,0.0462,0.0342,0.3932,0.5352
MHCN,23,140.84587574005127,3.8794777393341064,0.111,0.1334,0.1821,0.111,0.1298,0.1862,0.1951,0.0474,0.0341,0.4028,0.5304
