Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.937183916568756,0.3088197708129883,0.0075,0.0116,0.0191,0.0075,0.0105,0.0116,0.0138,0.0043,0.0038,0.0425,0.075
HAGN,2,15.890106737613678,0.3045642375946045,0.0033,0.0043,0.0097,0.0033,0.0054,0.0062,0.0076,0.0018,0.0021,0.018,0.0405
HAGN,3,15.724969744682312,0.3081378936767578,0.0025,0.0034,0.0068,0.0025,0.0038,0.0047,0.0055,0.0016,0.0015,0.0155,0.0285
HAGN,4,15.480212569236755,0.30327534675598145,0.0026,0.0033,0.0069,0.0026,0.0041,0.0049,0.006,0.0015,0.0017,0.0145,0.033
HAGN,5,15.22920572757721,0.3032865524291992,0.0029,0.0031,0.0058,0.0029,0.004,0.0063,0.007,0.0018,0.0016,0.0175,0.03
HAGN,6,14.996193945407867,0.3064866065979004,0.0024,0.0025,0.0071,0.0024,0.0041,0.0052,0.0063,0.0015,0.0016,0.015,0.032
HAGN,7,14.65260624885559,0.3053779602050781,0.0035,0.0053,0.0101,0.0035,0.0054,0.0061,0.0075,0.0022,0.0022,0.022,0.0425
HAGN,8,14.254108011722565,0.3072366714477539,0.0057,0.0078,0.0135,0.0057,0.008,0.0108,0.0125,0.0033,0.0031,0.0325,0.0585
HAGN,9,13.787866950035095,0.30468130111694336,0.0075,0.0099,0.0168,0.0075,0.0101,0.0135,0.0153,0.0045,0.0038,0.0445,0.072
HAGN,10,13.27639251947403,0.308809757232666,0.0088,0.0119,0.0202,0.0088,0.0119,0.0157,0.0178,0.0052,0.0043,0.0505,0.0825
HAGN,11,12.757979094982147,0.3053896427154541,0.01,0.0133,0.0228,0.01,0.0136,0.0185,0.0209,0.0057,0.0049,0.056,0.0915
HAGN,12,12.15323007106781,0.3168976306915283,0.0113,0.0147,0.0266,0.0113,0.0157,0.0214,0.0241,0.0065,0.0056,0.0635,0.104
HAGN,13,11.569369852542877,0.3186063766479492,0.0138,0.0183,0.0305,0.0138,0.0181,0.0258,0.0286,0.0076,0.0062,0.073,0.1165
HAGN,14,10.989001780748367,0.31890058517456055,0.0152,0.0189,0.033,0.0152,0.0203,0.0287,0.0322,0.0084,0.0068,0.079,0.1285
HAGN,15,10.42321291565895,0.3215780258178711,0.0167,0.0209,0.0359,0.0167,0.0221,0.0315,0.035,0.0091,0.0075,0.086,0.1405
HAGN,16,9.850737929344177,0.3116755485534668,0.0175,0.0223,0.0383,0.0175,0.0234,0.0336,0.0375,0.0095,0.0079,0.089,0.1465
HAGN,17,9.31800127029419,0.3140120506286621,0.0182,0.0227,0.0385,0.0182,0.0242,0.0353,0.0393,0.0097,0.008,0.0915,0.148
HAGN,18,8.846730530261993,0.4110426902770996,0.0183,0.022,0.0394,0.0183,0.0249,0.0355,0.0398,0.0096,0.0084,0.0905,0.154
HAGN,19,8.391627877950668,0.3033158779144287,0.0195,0.0245,0.0407,0.0195,0.0257,0.0366,0.0407,0.0103,0.0086,0.0975,0.1575
