Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.923038601875305,0.23845839500427246,0.003,0.0038,0.0063,0.003,0.004,0.0052,0.0061,0.0017,0.0015,0.017,0.03
DiffNet,2,15.571804881095886,0.24349164962768555,0.0028,0.0041,0.008,0.0028,0.0044,0.0047,0.0061,0.0018,0.0019,0.018,0.0375
DiffNet,3,14.790372967720032,0.24048566818237305,0.0028,0.0046,0.0089,0.0028,0.0046,0.0041,0.0055,0.0019,0.002,0.0185,0.039
DiffNet,4,13.387107968330383,0.23671531677246094,0.0034,0.0054,0.0089,0.0034,0.0048,0.0053,0.0065,0.0023,0.0021,0.0225,0.0405
DiffNet,5,11.542099326848984,0.23932814598083496,0.003,0.0042,0.0076,0.003,0.0044,0.0047,0.006,0.0018,0.0019,0.017,0.0365
DiffNet,6,9.703682661056519,0.23789238929748535,0.0034,0.0047,0.0074,0.0034,0.0045,0.0055,0.0065,0.0021,0.0018,0.0195,0.0335
DiffNet,7,8.08590379357338,0.23801255226135254,0.0037,0.0049,0.0077,0.0037,0.0048,0.0063,0.0071,0.0022,0.0018,0.021,0.034
DiffNet,8,6.806061744689941,0.238753080368042,0.0031,0.0039,0.0073,0.0031,0.0045,0.0054,0.0065,0.0016,0.0017,0.0155,0.033
DiffNet,9,5.867741420865059,0.23778986930847168,0.0031,0.0039,0.0073,0.0031,0.0044,0.0054,0.0065,0.0017,0.0017,0.016,0.033
DiffNet,10,5.0744319409132,0.23807191848754883,0.0036,0.0051,0.0072,0.0036,0.0044,0.0057,0.0063,0.0022,0.0017,0.0215,0.0315
DiffNet,11,4.483051538467407,0.23748278617858887,0.0038,0.0049,0.0075,0.0038,0.0048,0.0062,0.007,0.0022,0.0018,0.021,0.0335
DiffNet,12,4.022707477211952,0.2379159927368164,0.0034,0.0042,0.007,0.0034,0.0045,0.0059,0.0069,0.0019,0.0016,0.0185,0.0315
DiffNet,13,3.6929848343133926,0.23845934867858887,0.0033,0.0041,0.0074,0.0033,0.0046,0.0059,0.0069,0.002,0.0017,0.019,0.033
DiffNet,14,3.3443512469530106,0.33267760276794434,0.0032,0.0041,0.0079,0.0032,0.0047,0.0057,0.0068,0.0019,0.0018,0.0185,0.035
DiffNet,15,3.0941008031368256,0.23754572868347168,0.0033,0.0042,0.0073,0.0033,0.0045,0.0059,0.0069,0.0019,0.0016,0.0185,0.032
DiffNet,16,2.872558280825615,0.2434697151184082,0.0034,0.0043,0.0072,0.0034,0.0045,0.0063,0.0072,0.002,0.0017,0.0195,0.0325
DiffNet,17,2.6945463195443153,0.23811674118041992,0.0034,0.0043,0.008,0.0034,0.0047,0.0062,0.0072,0.0021,0.0018,0.02,0.0345
DiffNet,18,2.5265385657548904,0.24193906784057617,0.0036,0.0048,0.0077,0.0036,0.0046,0.0065,0.0072,0.0023,0.0017,0.0225,0.0335
DiffNet,19,2.3948505595326424,0.2364335060119629,0.0034,0.0046,0.0076,0.0034,0.0046,0.0061,0.007,0.0021,0.0018,0.0205,0.0345
DiffNet,20,2.266038902103901,0.23841619491577148,0.0033,0.0042,0.0084,0.0033,0.0049,0.0062,0.0074,0.0021,0.0019,0.02,0.0375
DiffNet,21,2.1563339829444885,0.2361617088317871,0.0032,0.0039,0.0077,0.0032,0.0046,0.0061,0.0071,0.0019,0.0017,0.0185,0.034
DiffNet,22,2.0581149533391,0.2363290786743164,0.0032,0.0042,0.0077,0.0032,0.0046,0.0061,0.0072,0.002,0.0018,0.0195,0.0345
