Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,6.228163957595825,0.12220120429992676,0.0061,0.0111,0.0171,0.0061,0.0077,0.005,0.0055,0.0014,0.0011,0.0135,0.021
DiffNet,2,6.108416259288788,0.12127184867858887,0.0057,0.0112,0.023,0.0057,0.0088,0.0041,0.0051,0.0013,0.0014,0.0125,0.0275
DiffNet,3,5.9210450649261475,0.11934733390808105,0.0079,0.0167,0.0243,0.0079,0.01,0.0055,0.0063,0.002,0.0015,0.0195,0.031
DiffNet,4,5.627896785736084,0.12139272689819336,0.0083,0.0163,0.0232,0.0083,0.01,0.0064,0.0069,0.002,0.0014,0.02,0.0285
DiffNet,5,5.211135566234589,0.12095308303833008,0.0075,0.0143,0.026,0.0075,0.0106,0.006,0.007,0.0017,0.0016,0.017,0.032
DiffNet,6,4.68425589799881,0.12036514282226562,0.0069,0.013,0.0245,0.0069,0.0099,0.0056,0.0065,0.0016,0.0015,0.016,0.0295
DiffNet,7,4.086426794528961,0.11916017532348633,0.007,0.0121,0.0233,0.007,0.01,0.0059,0.0069,0.0015,0.0014,0.015,0.029
DiffNet,8,3.475036382675171,0.11902904510498047,0.0068,0.0118,0.0216,0.0068,0.0094,0.0059,0.0067,0.0015,0.0013,0.0145,0.027
DiffNet,9,2.929339587688446,0.1210627555847168,0.0069,0.0126,0.0202,0.0069,0.0089,0.0057,0.0064,0.0015,0.0013,0.015,0.026
DiffNet,10,2.4082356095314026,0.1199793815612793,0.0066,0.0117,0.0191,0.0066,0.0086,0.0057,0.0063,0.0015,0.0012,0.0145,0.024
DiffNet,11,1.996553748846054,0.11922144889831543,0.0058,0.0107,0.0205,0.0058,0.0084,0.0048,0.0056,0.0014,0.0013,0.0135,0.0265
DiffNet,12,1.6632907688617706,0.11994814872741699,0.0062,0.0121,0.0206,0.0062,0.0084,0.0049,0.0056,0.0015,0.0013,0.0145,0.026
DiffNet,13,1.4013752490282059,0.11878108978271484,0.0062,0.0121,0.0208,0.0062,0.0084,0.0049,0.0055,0.0015,0.0012,0.0145,0.0245
DiffNet,14,1.1985177248716354,0.11903166770935059,0.0057,0.0108,0.0198,0.0057,0.0081,0.0046,0.0053,0.0013,0.0012,0.013,0.0235
DiffNet,15,1.0537852346897125,0.11980891227722168,0.0059,0.0116,0.02,0.0059,0.0081,0.0046,0.0053,0.0014,0.0012,0.014,0.024
