Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.93750387430191,0.30463290214538574,0.0123,0.0163,0.0263,0.0123,0.0159,0.021,0.0233,0.0058,0.0048,0.0575,0.0925
HAGN,2,15.893102943897247,0.30177736282348633,0.0064,0.0086,0.0157,0.0064,0.0089,0.0107,0.0124,0.0034,0.0029,0.033,0.057
HAGN,3,15.740240931510925,0.2987556457519531,0.0033,0.0044,0.0088,0.0033,0.005,0.0066,0.0079,0.0019,0.0019,0.0185,0.037
HAGN,4,15.455805540084839,0.30745577812194824,0.0027,0.003,0.0072,0.0027,0.0044,0.0063,0.0076,0.0016,0.0018,0.0155,0.034
HAGN,5,15.138548851013184,0.31024980545043945,0.0037,0.0049,0.0077,0.0037,0.0047,0.0072,0.008,0.0023,0.0017,0.0225,0.034
HAGN,6,14.799923777580261,0.3039681911468506,0.0048,0.0077,0.012,0.0048,0.0065,0.0079,0.0093,0.0025,0.0022,0.025,0.0435
HAGN,7,14.37874460220337,0.30454277992248535,0.0073,0.0102,0.0168,0.0073,0.0097,0.0107,0.0123,0.0034,0.0029,0.034,0.0585
HAGN,8,13.897211015224457,0.30444931983947754,0.0095,0.014,0.021,0.0095,0.0123,0.0132,0.0153,0.0044,0.0037,0.044,0.073
HAGN,9,13.349934577941895,0.3043828010559082,0.0113,0.0162,0.0249,0.0113,0.0146,0.0162,0.0186,0.0051,0.0044,0.0515,0.085
HAGN,10,12.760998964309692,0.3081076145172119,0.0129,0.0174,0.0284,0.0129,0.0172,0.0201,0.0232,0.0056,0.0051,0.0555,0.098
HAGN,11,12.129698097705841,0.3108358383178711,0.0141,0.0195,0.032,0.0141,0.019,0.022,0.0254,0.0062,0.0058,0.061,0.111
HAGN,12,11.498466283082962,0.31136465072631836,0.0158,0.0221,0.0339,0.0158,0.0203,0.0246,0.0276,0.0073,0.0061,0.072,0.116
