Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,15.935342490673065,0.3959615230560303,0.0196,0.0265,0.0435,0.0196,0.0262,0.0343,0.0387,0.0099,0.0085,0.0955,0.1605
CSGCN,2,15.885260105133057,0.28866124153137207,0.026,0.0339,0.0566,0.026,0.0345,0.0463,0.0517,0.0132,0.0111,0.127,0.2065
CSGCN,3,15.756313025951385,0.2956655025482178,0.0271,0.0332,0.0569,0.0271,0.0357,0.0495,0.0549,0.0131,0.0111,0.1255,0.207
CSGCN,4,15.499900817871094,0.2897815704345703,0.0264,0.033,0.0528,0.0264,0.0335,0.0488,0.0533,0.0132,0.0104,0.125,0.1935
CSGCN,5,15.09132206439972,0.28777170181274414,0.0239,0.0301,0.0522,0.0239,0.0318,0.0444,0.0493,0.0121,0.0101,0.116,0.189
CSGCN,6,14.530170023441315,0.28792357444763184,0.023,0.0301,0.0498,0.023,0.0301,0.0416,0.046,0.0119,0.0096,0.114,0.177
CSGCN,7,13.857664287090302,0.2883322238922119,0.0229,0.0308,0.0482,0.0229,0.0292,0.0407,0.0447,0.012,0.0093,0.1155,0.1745
CSGCN,8,13.085520505905151,0.28644609451293945,0.0226,0.0294,0.0499,0.0226,0.0301,0.0414,0.0461,0.0116,0.0098,0.112,0.182
CSGCN,9,12.285369992256165,0.29038238525390625,0.024,0.0313,0.0523,0.024,0.0319,0.0444,0.0495,0.012,0.0104,0.1165,0.192
CSGCN,10,11.476544171571732,0.283458948135376,0.0253,0.0331,0.0547,0.0253,0.0335,0.0464,0.0517,0.0128,0.011,0.122,0.1995
CSGCN,11,10.671465367078781,0.2829775810241699,0.0265,0.0356,0.0556,0.0265,0.0341,0.0474,0.0522,0.0139,0.011,0.1315,0.201
CSGCN,12,9.882021486759186,0.2863140106201172,0.0285,0.0377,0.056,0.0285,0.0354,0.0514,0.0558,0.0144,0.0112,0.1365,0.201
CSGCN,13,9.189599454402924,0.2849385738372803,0.0296,0.039,0.059,0.0296,0.0371,0.0531,0.0579,0.0149,0.0117,0.14,0.2105
CSGCN,14,8.505726367235184,0.28440093994140625,0.0305,0.0386,0.0618,0.0305,0.0391,0.0559,0.0613,0.015,0.0123,0.1415,0.222
CSGCN,15,7.880564659833908,0.3115105628967285,0.0317,0.0412,0.0633,0.0317,0.0401,0.0574,0.0626,0.0157,0.0126,0.1485,0.227
CSGCN,16,7.3421837985515594,0.28753232955932617,0.0326,0.042,0.0643,0.0326,0.041,0.0596,0.0648,0.016,0.0128,0.1515,0.23
CSGCN,17,6.8115953505039215,0.2952096462249756,0.0329,0.0419,0.0658,0.0329,0.0418,0.0596,0.065,0.0163,0.0133,0.1525,0.235
CSGCN,18,6.384546190500259,0.29384946823120117,0.0328,0.0415,0.0673,0.0328,0.0424,0.06,0.0655,0.0163,0.0135,0.1545,0.2375
CSGCN,19,5.960496693849564,0.28627443313598633,0.0328,0.0421,0.0674,0.0328,0.0425,0.0594,0.0652,0.0162,0.0135,0.154,0.2395
CSGCN,20,5.591093987226486,0.2955594062805176,0.0331,0.0431,0.0688,0.0331,0.043,0.059,0.0652,0.0163,0.0137,0.1525,0.242
CSGCN,21,5.2533789575099945,0.29748106002807617,0.0338,0.0435,0.0686,0.0338,0.0434,0.0606,0.0665,0.0168,0.0138,0.1575,0.2425
CSGCN,22,4.950649484992027,0.28832077980041504,0.0343,0.0445,0.0702,0.0343,0.044,0.0615,0.0673,0.0172,0.014,0.1615,0.2475
CSGCN,23,4.688361957669258,0.3922770023345947,0.0335,0.0431,0.069,0.0335,0.0433,0.0603,0.0663,0.0169,0.0138,0.157,0.2445
CSGCN,24,4.460958018898964,0.29531359672546387,0.0327,0.0411,0.0685,0.0327,0.0429,0.0593,0.0656,0.0167,0.0138,0.1545,0.245
CSGCN,25,4.209090977907181,0.29172420501708984,0.0331,0.0417,0.0692,0.0331,0.0433,0.0603,0.0666,0.0167,0.0138,0.156,0.247
CSGCN,26,4.045091480016708,0.28438472747802734,0.0328,0.0411,0.0708,0.0328,0.0436,0.06,0.0665,0.0166,0.0141,0.1555,0.2495
CSGCN,27,3.8272468894720078,0.2964200973510742,0.0325,0.0411,0.0702,0.0325,0.0431,0.0596,0.0659,0.0164,0.0138,0.1545,0.2465
CSGCN,28,3.66929030418396,0.2918710708618164,0.032,0.0406,0.0702,0.032,0.0429,0.0587,0.0653,0.0161,0.0139,0.152,0.249
CSGCN,29,3.5006321519613266,0.28406596183776855,0.032,0.0407,0.0692,0.032,0.0425,0.0589,0.0653,0.0162,0.0138,0.153,0.2465
CSGCN,30,3.3692128658294678,0.29846787452697754,0.0324,0.0423,0.0692,0.0324,0.0421,0.0582,0.064,0.0169,0.0137,0.159,0.2455
CSGCN,31,3.229468673467636,0.28736400604248047,0.0321,0.0413,0.0683,0.0321,0.0419,0.0582,0.0641,0.0166,0.0136,0.157,0.2435
CSGCN,32,3.1220013350248337,0.28881096839904785,0.0314,0.0409,0.067,0.0314,0.0411,0.0568,0.0628,0.0162,0.0134,0.1535,0.242
CSGCN,33,2.988795094192028,0.28569769859313965,0.0312,0.0402,0.0644,0.0312,0.0404,0.0562,0.0619,0.016,0.0132,0.1525,0.2365
