Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,67.30514860153198,2.1267356872558594,0.0652,0.0595,0.0903,0.0652,0.0766,0.1587,0.1696,0.044,0.0346,0.3665,0.526
MHCN,2,64.04808151721954,2.1200432777404785,0.0852,0.078,0.1157,0.0852,0.0991,0.2003,0.2106,0.0582,0.0446,0.4615,0.6105
MHCN,3,62.82997953891754,2.2220458984375,0.0909,0.0813,0.1206,0.0909,0.1052,0.2177,0.2284,0.0611,0.0467,0.4785,0.6365
MHCN,4,62.25725317001343,2.118010997772217,0.0966,0.0882,0.13,0.0966,0.112,0.2286,0.2401,0.0662,0.051,0.5065,0.674
MHCN,5,61.47914659976959,2.1183347702026367,0.104,0.0936,0.1379,0.104,0.1201,0.2437,0.2546,0.0708,0.0539,0.5355,0.6915
MHCN,6,61.04922807216644,2.118244171142578,0.1048,0.0953,0.1436,0.1048,0.123,0.2421,0.2536,0.0719,0.056,0.536,0.702
MHCN,7,60.790661692619324,2.1170637607574463,0.1042,0.0933,0.1413,0.1042,0.1222,0.2449,0.2563,0.0709,0.0553,0.5325,0.6955
MHCN,8,60.43538045883179,2.1227869987487793,0.1104,0.0996,0.1459,0.1104,0.1274,0.256,0.2667,0.0752,0.0569,0.564,0.714
MHCN,9,60.15128314495087,2.1171019077301025,0.1117,0.0987,0.1457,0.1117,0.1289,0.2659,0.2772,0.0747,0.0573,0.5605,0.7245
MHCN,10,59.945525765419006,2.11784291267395,0.1124,0.101,0.1463,0.1124,0.129,0.262,0.2737,0.0764,0.0581,0.5595,0.7245
MHCN,11,59.74620234966278,2.1176562309265137,0.1108,0.0988,0.1476,0.1108,0.1286,0.259,0.2708,0.0763,0.0584,0.5625,0.734
MHCN,12,59.453063011169434,2.1308295726776123,0.1151,0.1014,0.149,0.1151,0.1323,0.27,0.2813,0.0777,0.0591,0.571,0.7335
MHCN,13,59.37568008899689,2.1195170879364014,0.1104,0.0974,0.1444,0.1104,0.1277,0.26,0.272,0.0743,0.0573,0.548,0.718
MHCN,14,59.31900131702423,2.119102954864502,0.1133,0.1007,0.1462,0.1133,0.1297,0.2646,0.2762,0.0772,0.0582,0.5645,0.73
MHCN,15,58.89824962615967,2.116323709487915,0.1146,0.1019,0.1481,0.1146,0.1309,0.2662,0.277,0.0783,0.0586,0.572,0.725
MHCN,16,58.82404971122742,2.118065595626831,0.1134,0.1003,0.149,0.1134,0.1315,0.2675,0.2791,0.0767,0.0596,0.57,0.7375
MHCN,17,58.661115407943726,2.1234896183013916,0.1159,0.1019,0.1525,0.1159,0.1345,0.2723,0.2842,0.0784,0.061,0.568,0.739
MHCN,18,58.52717614173889,2.1228318214416504,0.1132,0.1012,0.1461,0.1132,0.1294,0.2651,0.2766,0.077,0.0585,0.567,0.732
MHCN,19,58.528602719306946,2.1161599159240723,0.1143,0.1017,0.1476,0.1143,0.1305,0.2664,0.2768,0.0786,0.0595,0.5775,0.7275
MHCN,20,58.33434855937958,2.118452787399292,0.1161,0.1022,0.1482,0.1161,0.1321,0.2727,0.2836,0.0794,0.0594,0.5835,0.74
MHCN,21,58.05488967895508,2.124635696411133,0.1153,0.1033,0.1493,0.1153,0.1317,0.2682,0.2796,0.0793,0.0599,0.577,0.7385
MHCN,22,58.002402544021606,2.1206302642822266,0.1104,0.0978,0.144,0.1104,0.1275,0.2598,0.2714,0.0745,0.0577,0.549,0.7175
MHCN,23,57.815776109695435,2.1228232383728027,0.1158,0.1008,0.1497,0.1158,0.1333,0.2743,0.2855,0.0779,0.0599,0.572,0.7315
MHCN,24,57.74743390083313,2.1237587928771973,0.1115,0.0997,0.1478,0.1115,0.1286,0.2605,0.2717,0.0768,0.0588,0.564,0.724
MHCN,25,57.676838755607605,2.1213836669921875,0.1165,0.1014,0.1505,0.1165,0.1342,0.2769,0.2888,0.0785,0.0606,0.574,0.7435
MHCN,26,57.46189284324646,2.1215128898620605,0.1144,0.1009,0.149,0.1144,0.1315,0.2694,0.2815,0.0777,0.0596,0.5655,0.739
MHCN,27,57.444660902023315,2.1169238090515137,0.1129,0.1008,0.1504,0.1129,0.131,0.2609,0.2731,0.0783,0.0606,0.5655,0.7425
MHCN,28,57.22494459152222,2.1238980293273926,0.115,0.1017,0.154,0.115,0.1343,0.2679,0.2797,0.0791,0.062,0.576,0.7425
MHCN,29,57.21309840679169,2.1214654445648193,0.1157,0.1023,0.1474,0.1157,0.1315,0.2702,0.2807,0.0793,0.0593,0.5725,0.7245
MHCN,30,57.11413896083832,2.123133659362793,0.1112,0.0996,0.1486,0.1112,0.1293,0.258,0.269,0.0772,0.0595,0.5645,0.723
MHCN,31,57.03459298610687,2.118502378463745,0.1152,0.1011,0.1488,0.1152,0.1321,0.2721,0.2832,0.0788,0.0599,0.5745,0.7325
